,lemma,word form,sentence,doc index,sent index,token index,tokenized sentence,is_randomized,randomized indices,randomized sentence,new token index
767,eat,eat,but my friend shirley convinced me to eat one,36973,40,7,"('but', 'my', 'friend', 'shirley', 'convinced', 'me', 'to', 'eat', 'one')",False,,,
2370,eat,eating,Yesterday ah..i was sick lor..duno why also..mabbe lack carbo..havent been eating carbo for a few days.,127,1,18,"('Yesterday', 'ah', '..', 'i', 'was', 'sick', 'lor', '..', 'duno', 'why', 'also', '..', 'mabbe', 'lack', 'carbo', '..', 'havent', 'been', 'eating', 'carbo', 'for', 'a', 'few', 'days', '.')",False,,,
2152,eat,eaten,"I've never eaten out at so much fast food restaurants so many times in 7 days, in my whole life.",30914,26,3,"('I', ""'ve"", 'never', 'eaten', 'out', 'at', 'so', 'much', 'fast', 'food', 'restaurants', 'so', 'many', 'times', 'in', '7', 'days', ',', 'in', 'my', 'whole', 'life', '.')",False,,,
2757,eat,eaten,It's like they've never had cake before...or eaten befoe or something.,6432,2,11,"('It', ""'s"", 'like', 'they', ""'ve"", 'never', 'had', 'cake', 'before', '...', 'or', 'eaten', 'befoe', 'or', 'something', '.')",False,,,
744,eat,Eat,"Eat, sleep, poop, something like that?",994,5,0,"('Eat', ',', 'sleep', ',', 'poop', ',', 'something', 'like', 'that', '?')",False,,,
1143,eat,eat,"i simply love fruits lor..today they wanted to go foodcourt 6, den we go lor..there got no food to eat lor..all not appealing..so fruits is just the best solution.",115,2,24,"('i', 'simply', 'love', 'fruits', 'lor', '..', 'today', 'they', 'wanted', 'to', 'go', 'foodcourt', '6', ',', 'den', 'we', 'go', 'lor', '..', 'there', 'got', 'no', 'food', 'to', 'eat', 'lor', '..', 'all', 'not', 'appealing', '..', 'so', 'fruits', 'is', 'just', 'the', 'best', 'solution', '.')",False,,,
2211,eat,ate,we also watched 13 going on 30 and ate spicy cheese nachos.,24128,2,8,"('we', 'also', 'watched', '13', 'going', 'on', '30', 'and', 'ate', 'spicy', 'cheese', 'nachos', '.')",False,,,
3108,eat,eat,y a sudden urge wanting to eat cj's strawberry pies eh?,26527,43,6,"('y', 'a', 'sudden', 'urge', 'wanting', 'to', 'eat', 'cj', ""'s"", 'strawberry', 'pies', 'eh', '?')",False,,,
2166,eat,ate,Eeww~ i ate alot !,39824,27,2,"('Eeww~', 'i', 'ate', 'alot', '!')",False,,,
1628,eat,eat,4:15-we eat at johnny rockets.,30114,20,3,"('4:15', '-', 'we', 'eat', 'at', 'johnny', 'rockets', '.')",False,,,
1907,eat,ate,im dead pag-uwi ni ate.,37507,41,7,"('i', 'm', 'dead', 'pag', '-', 'uwi', 'ni', 'ate', '.')",False,,,
2817,eat,eating,"'i know i am eating some of this great candy',said danielle. good idea.",705,94,5,"(""'"", 'i', 'know', 'i', 'am', 'eating', 'some', 'of', 'this', 'great', ""candy',said"", 'danielle', '.', 'good', 'idea', '.')",False,,,
712,eat,eat,You know the mood where you get all stressed because you don't have any presents for anyone and where you're in a bad mood because your relatives are coming over and the turkey is dry so you don't eat it and go hungry and where there's mass confusion everywhere..(catches breath),31498,29,41,"('You', 'know', 'the', 'mood', 'where', 'you', 'get', 'all', 'stressed', 'because', 'you', 'do', ""n't"", 'have', 'any', 'presents', 'for', 'anyone', 'and', 'where', 'you', ""'re"", 'in', 'a', 'bad', 'mood', 'because', 'your', 'relatives', 'are', 'coming', 'over', 'and', 'the', 'turkey', 'is', 'dry', 'so', 'you', 'do', ""n't"", 'eat', 'it', 'and', 'go', 'hungry', 'and', 'where', 'there', ""'s"", 'mass', 'confusion', 'everywhere', '..', '(catches', 'breath', ')')",False,,,
898,eat,eating,(chicken and veggies)  it's been tough eating right at night because i have started dating a new guy and he loves to go out (like i object) to eat at great places!,37304,13,10,"('(', 'chicken', 'and', 'veggies', ')', ' ', 'it', ""'s"", 'been', 'tough', 'eating', 'right', 'at', 'night', 'because', 'i', 'have', 'started', 'dating', 'a', 'new', 'guy', 'and', 'he', 'loves', 'to', 'go', 'out', '(', 'like', 'i', 'object', ')', 'to', 'eat', 'at', 'great', 'places', '!')",False,,,
1763,eat,eating,I know where i'll be eating out from now on :).,20772,10,6,"('I', 'know', 'where', 'i', ""'ll"", 'be', 'eating', 'out', 'from', 'now', 'on', ':)', '.')",False,,,
3679,eat,eat,"Wake up, eat, work, eat, work, come home, sleep.",31512,27,3,"('Wake', 'up', ',', 'eat', ',', 'work', ',', 'eat', ',', 'work', ',', 'come', 'home', ',', 'sleep', '.')",False,,,
3758,eat,eat,"Heading for the nearest wh smith i bought a backet of chocolate raisins, and a newspaper (too read, not too eat).",30628,4,23,"('Heading', 'for', 'the', 'nearest', 'wh', 'smith', 'i', 'bought', 'a', 'backet', 'of', 'chocolate', 'raisins', ',', 'and', 'a', 'newspaper', '(', 'too', 'read', ',', 'not', 'too', 'eat', ')', '.')",False,,,
2276,eat,eaten,"but then everything went terribly wrong: shampoo called the vet, explained what had happened and how she wasn't sure if i had eaten anything, and then she listened intently for a few minutes, and hung up.",20492,46,25,"('but', 'then', 'everything', 'went', 'terribly', 'wrong', ':', 'shampoo', 'called', 'the', 'vet', ',', 'explained', 'what', 'had', 'happened', 'and', 'how', 'she', 'was', ""n't"", 'sure', 'if', 'i', 'had', 'eaten', 'anything', ',', 'and', 'then', 'she', 'listened', 'intently', 'for', 'a', 'few', 'minutes', ',', 'and', 'hung', 'up', '.')",False,,,
2005,eat,eating,i haf been eating noodle for like 8 days?!,36146,28,3,"('i', 'haf', 'been', 'eating', 'noodle', 'for', 'like', '8', 'days', '?', '!')",False,,,
1905,eat,eating,"I feel my life shifting for the better...i've started eating better and, by cutting out diet soda, the weight is starting to fly off (and isn't that ironic that to lose weight you have to not drink diet soda?), i'm making new friends, i'm painting again, my home is great, my cat is cute as hell, and my best friend is happy.",25207,48,11,"('I', 'feel', 'my', 'life', 'shifting', 'for', 'the', 'better', '...', ""i've"", 'started', 'eating', 'better', 'and', ',', 'by', 'cutting', 'out', 'diet', 'soda', ',', 'the', 'weight', 'is', 'starting', 'to', 'fly', 'off', '(', 'and', 'is', ""n't"", 'that', 'ironic', 'that', 'to', 'lose', 'weight', 'you', 'have', 'to', 'not', 'drink', 'diet', 'soda', '?', ')', ',', 'i', ""'m"", 'making', 'new', 'friends', ',', 'i', ""'m"", 'painting', 'again', ',', 'my', 'home', 'is', 'great', ',', 'my', 'cat', 'is', 'cute', 'as', 'hell', ',', 'and', 'my', 'best', 'friend', 'is', 'happy', '.')",False,,,
2787,eat,eat,"I know someone that won't eat anything that doesn't 'look good', i eat most things, looking good or not, and i never refuse free food.",8069,9,17,"('I', 'know', 'someone', 'that', 'wo', ""n't"", 'eat', 'anything', 'that', 'does', ""n't"", ""'"", 'look', 'good', ""'"", ',', 'i', 'eat', 'most', 'things', ',', 'looking', 'good', 'or', 'not', ',', 'and', 'i', 'never', 'refuse', 'free', 'food', '.')",False,,,
2006,eat,eating,"A pussy-eating man will never be heard ordering a 'decaf cafe latte with skim or with a twist of lemon' and he will never, ever know what artificial sweetener tastes like.",28772,20,3,"('A', 'pussy', '-', 'eating', 'man', 'will', 'never', 'be', 'heard', 'ordering', 'a', ""'"", 'decaf', 'cafe', 'latte', 'with', 'skim', 'or', 'with', 'a', 'twist', 'of', 'lemon', ""'"", 'and', 'he', 'will', 'never', ',', 'ever', 'know', 'what', 'artificial', 'sweetener', 'tastes', 'like', '.')",False,,,
3436,eat,eat,"Wake up, go eat lunch, and then come home and post this.",821,7,4,"('Wake', 'up', ',', 'go', 'eat', 'lunch', ',', 'and', 'then', 'come', 'home', 'and', 'post', 'this', '.')",False,,,
1022,eat,eat,"We don't eat much sugar anymore, and that was way overdose.",9630,20,3,"('We', 'do', ""n't"", 'eat', 'much', 'sugar', 'anymore', ',', 'and', 'that', 'was', 'way', 'overdose', '.')",False,,,
3456,eat,eat,"On friday afternoon, on the way home from sacramento, i manage to avoid the car that wanted to eat troll's bumper, the fire watchers, remember?",23857,2,20,"('On', 'friday', 'afternoon', ',', 'on', 'the', 'way', 'home', 'from', 'sacramento', ',', 'i', 'manage', 'to', 'avoid', 'the', 'car', 'that', 'wanted', 'to', 'eat', 'troll', ""'s"", 'bumper', ',', 'the', 'fire', 'watchers', ',', 'remember', '?')",False,,,
1741,eat,eating,I'm eating mysterious popcorn.,28110,7,2,"('I', ""'m"", 'eating', 'mysterious', 'popcorn', '.')",False,,,
839,eat,ate,"(read yesterday's review if you haven't already)  after i ate, i still had another hour to burn.",33855,4,14,"('(', 'read', 'yesterday', ""'s"", 'review', 'if', 'you', 'have', ""n't"", 'already', ')', ' ', 'after', 'i', 'ate', ',', 'i', 'still', 'had', 'another', 'hour', 'to', 'burn', '.')",False,,,
3786,eat,eating,but it is not to appealing to look at squid pieces and silk worm larvae and know that people enjoy eating them.,20113,18,20,"('but', 'it', 'is', 'not', 'to', 'appealing', 'to', 'look', 'at', 'squid', 'pieces', 'and', 'silk', 'worm', 'larvae', 'and', 'know', 'that', 'people', 'enjoy', 'eating', 'them', '.')",False,,,
355,eat,eating,i guess these religious leaders should try eating their own dog foods.,37518,62,7,"('i', 'guess', 'these', 'religious', 'leaders', 'should', 'try', 'eating', 'their', 'own', 'dog', 'foods', '.')",False,,,
1796,eat,ate,"ate wicked montreal bagels n cream cheese in the morning, and got on the road by 9am.",35795,4,0,"('ate', 'wicked', 'montreal', 'bagels', 'n', 'cream', 'cheese', 'in', 'the', 'morning', ',', 'and', 'got', 'on', 'the', 'road', 'by', '9', 'am', '.')",False,,,
3032,eat,eat,"If i didn't still hurt, and i could eat solid food without puking it would have been great news.",19728,2,10,"('If', 'i', 'did', ""n't"", 'still', 'hurt', ',', 'and', 'i', 'could', 'eat', 'solid', 'food', 'without', 'puking', 'it', 'would', 'have', 'been', 'great', 'news', '.')",False,,,
520,eat,ate,"I went out with chin han and woon han today, i was itchy all over, must be something i ate, very gao wei man, in the train with the itch all over, can't wait to get home, but after i slept and then woke up, its ok, think its some allergy of some sort.",18127,11,21,"('I', 'went', 'out', 'with', 'chin', 'han', 'and', 'woon', 'han', 'today', ',', 'i', 'was', 'itchy', 'all', 'over', ',', 'must', 'be', 'something', 'i', 'ate', ',', 'very', 'gao', 'wei', 'man', ',', 'in', 'the', 'train', 'with', 'the', 'itch', 'all', 'over', ',', 'ca', ""n't"", 'wait', 'to', 'get', 'home', ',', 'but', 'after', 'i', 'slept', 'and', 'then', 'woke', 'up', ',', 'its', 'ok', ',', 'think', 'its', 'some', 'allergy', 'of', 'some', 'sort', '.')",False,,,
2988,eat,eating,"I walk through the grocery store and think, 'i don't want any of this.'  (note: i am eating enough, i'm just not enjoying it.",34382,6,25,"('I', 'walk', 'through', 'the', 'grocery', 'store', 'and', 'think', ',', ""'"", 'i', 'do', ""n't"", 'want', 'any', 'of', 'this', '.', ""'"", ' ', '(', 'note', ':', 'i', 'am', 'eating', 'enough', ',', 'i', ""'m"", 'just', 'not', 'enjoying', 'it', '.')",False,,,
1575,eat,eating,"I was eating handfuls of m&m's with handfuls of pretzels, and i gotta say - it was pretty good.",38805,3,2,"('I', 'was', 'eating', 'handfuls', 'of', 'm&m', ""'s"", 'with', 'handfuls', 'of', 'pretzels', ',', 'and', 'i', 'got', 'ta', 'say', '-', 'it', 'was', 'pretty', 'good', '.')",False,,,
827,eat,eats,"There's always fat kat who eats alfie's breakfast, the greedy moose.",10286,3,6,"('There', ""'s"", 'always', 'fat', 'kat', 'who', 'eats', 'alfie', ""'s"", 'breakfast', ',', 'the', 'greedy', 'moose', '.')",False,,,
1799,eat,eat,So that gave me some time to eat a little something-something and check the newsgroups online to see if there was anything good.,16340,4,7,"('So', 'that', 'gave', 'me', 'some', 'time', 'to', 'eat', 'a', 'little', 'something', '-', 'something', 'and', 'check', 'the', 'newsgroups', 'online', 'to', 'see', 'if', 'there', 'was', 'anything', 'good', '.')",False,,,
1866,eat,Eating,"Eating food on the mrt is so kinda' dangerous that it can even slap you with a five hundred dollar fine, which is so kinda' stupid",8100,25,0,"('Eating', 'food', 'on', 'the', 'mrt', 'is', 'so', 'kinda', ""'"", 'dangerous', 'that', 'it', 'can', 'even', 'slap', 'you', 'with', 'a', 'five', 'hundred', 'dollar', 'fine', ',', 'which', 'is', 'so', 'kinda', ""'"", 'stupid')",False,,,
2656,eat,ate,"In her own words:  ' ate lengy, it's okay to feel.'",15575,10,7,"('In', 'her', 'own', 'words', ':', ' ', ""'"", 'ate', 'lengy', ',', 'it', ""'s"", 'okay', 'to', 'feel', '.', ""'"")",False,,,
1401,eat,eat,I suppose i ought to find something to eat and try to find my ritalin.,31971,61,8,"('I', 'suppose', 'i', 'ought', 'to', 'find', 'something', 'to', 'eat', 'and', 'try', 'to', 'find', 'my', 'ritalin', '.')",False,,,
1310,eat,eat,"It amazes me that i can start a day in my own house, travel through 2 different states, celebrate/chill/eat in a third state and retrace my steps so i can crawl back into bed with my f at the end of day.",29840,4,24,"('It', 'amazes', 'me', 'that', 'i', 'can', 'start', 'a', 'day', 'in', 'my', 'own', 'house', ',', 'travel', 'through', '2', 'different', 'states', ',', 'celebrate', '/', 'chill', '/', 'eat', 'in', 'a', 'third', 'state', 'and', 'retrace', 'my', 'steps', 'so', 'i', 'can', 'crawl', 'back', 'into', 'bed', 'with', 'my', 'f', 'at', 'the', 'end', 'of', 'day', '.')",False,,,
4089,eat,ate,"I wasn't dating the missus just yet; i think i attended a house party in del ray, alexandria, ate a lot of watermelon and drank even more beer (11 to be exact) then went home and threw it all up.",29771,20,22,"('I', 'was', ""n't"", 'dating', 'the', 'missus', 'just', 'yet', ';', 'i', 'think', 'i', 'attended', 'a', 'house', 'party', 'in', 'del', 'ray', ',', 'alexandria', ',', 'ate', 'a', 'lot', 'of', 'watermelon', 'and', 'drank', 'even', 'more', 'beer', '(', '11', 'to', 'be', 'exact', ')', 'then', 'went', 'home', 'and', 'threw', 'it', 'all', 'up', '.')",False,,,
2401,eat,ate,"I went to six flags, that was fun, i went on some rides, ate a shitty burrito, and then went on this spinning thing, it was very fun.",18302,1,16,"('I', 'went', 'to', 'six', 'flags', ',', 'that', 'was', 'fun', ',', 'i', 'went', 'on', 'some', 'rides', ',', 'ate', 'a', 'shitty', 'burrito', ',', 'and', 'then', 'went', 'on', 'this', 'spinning', 'thing', ',', 'it', 'was', 'very', 'fun', '.')",False,,,
1716,eat,eating,We began by drinking some wine and eating some cheese and sausage and almonds.,29445,9,7,"('We', 'began', 'by', 'drinking', 'some', 'wine', 'and', 'eating', 'some', 'cheese', 'and', 'sausage', 'and', 'almonds', '.')",False,,,
653,eat,eaten,i haven't (pretty much) eaten anything the past two days.,13053,33,7,"('i', 'have', ""n't"", '(', 'pretty', 'much', ')', 'eaten', 'anything', 'the', 'past', 'two', 'days', '.')",False,,,
3458,eat,eat,"5 things i do when i'm bored: eat, clean house, nap, shop online, and swim.",35954,0,9,"('5', 'things', 'i', 'do', 'when', 'i', ""'m"", 'bored', ':', 'eat', ',', 'clean', 'house', ',', 'nap', ',', 'shop', 'online', ',', 'and', 'swim', '.')",False,,,
2910,eat,eaten,Then he was comparing all the key lime pies he has ever eaten.,9619,45,12,"('Then', 'he', 'was', 'comparing', 'all', 'the', 'key', 'lime', 'pies', 'he', 'has', 'ever', 'eaten', '.')",False,,,
542,eat,eat,"What to eat,  urllink what to eat ....",28788,15,2,"('What', 'to', 'eat', ',', ' ', 'urllink', 'what', 'to', 'eat', '....')",False,,,
792,eat,eaten,"Aaron was a genius and decided to have the game outside, so that we got eaten alive by bugs and sweated due to the humidity.",23908,88,16,"('Aaron', 'was', 'a', 'genius', 'and', 'decided', 'to', 'have', 'the', 'game', 'outside', ',', 'so', 'that', 'we', 'got', 'eaten', 'alive', 'by', 'bugs', 'and', 'sweated', 'due', 'to', 'the', 'humidity', '.')",False,,,
385,eat,eating,"This truly sent me over the edge as it ran for about ten very long, very loud minutes, and i sat on the front step barefoot and in my nightgown, eating an apple (organic, pesticide-free, from one of my apple trees in the yard) til the cop showed up.",32189,6,33,"('This', 'truly', 'sent', 'me', 'over', 'the', 'edge', 'as', 'it', 'ran', 'for', 'about', 'ten', 'very', 'long', ',', 'very', 'loud', 'minutes', ',', 'and', 'i', 'sat', 'on', 'the', 'front', 'step', 'barefoot', 'and', 'in', 'my', 'nightgown', ',', 'eating', 'an', 'apple', '(', 'organic', ',', 'pesticide', '-', 'free', ',', 'from', 'one', 'of', 'my', 'apple', 'trees', 'in', 'the', 'yard', ')', 'til', 'the', 'cop', 'showed', 'up', '.')",False,,,
2187,eat,ate,Then i just took my leftover chicken from the night before and got the kc masterpiece sauce out and ate that while reading a little of milton’s paradise lost.,23218,27,19,"('Then', 'i', 'just', 'took', 'my', 'leftover', 'chicken', 'from', 'the', 'night', 'before', 'and', 'got', 'the', 'kc', 'masterpiece', 'sauce', 'out', 'and', 'ate', 'that', 'while', 'reading', 'a', 'little', 'of', 'milton', '’s', 'paradise', 'lost', '.')",False,,,
1338,eat,eating,"Lazy day   after not doing anything the whole morning and afternoon, except eating, checking the roses in the backyard and more eating, i decided to go for a swim at 8:30.",797,0,14,"('Lazy', 'day', '  ', 'after', 'not', 'doing', 'anything', 'the', 'whole', 'morning', 'and', 'afternoon', ',', 'except', 'eating', ',', 'checking', 'the', 'roses', 'in', 'the', 'backyard', 'and', 'more', 'eating', ',', 'i', 'decided', 'to', 'go', 'for', 'a', 'swim', 'at', '8:30', '.')",False,,,
2020,eat,eating,"Like when you start taking a bite of chocolate, you just can't stop eating it till the last bite.",10758,79,15,"('Like', 'when', 'you', 'start', 'taking', 'a', 'bite', 'of', 'chocolate', ',', 'you', 'just', 'ca', ""n't"", 'stop', 'eating', 'it', 'till', 'the', 'last', 'bite', '.')",False,,,
3763,eat,eat,I'm supposed to go eat with my mom tonight and i guess we're going to fredericksburg tomorrow.,16913,11,5,"('I', ""'m"", 'supposed', 'to', 'go', 'eat', 'with', 'my', 'mom', 'tonight', 'and', 'i', 'guess', 'we', ""'re"", 'going', 'to', 'fredericksburg', 'tomorrow', '.')",False,,,
837,eat,eating,such a great movie...  the last couple nights ive been eating chocolate chips out of the bag.,28678,5,13,"('such', 'a', 'great', 'movie', '...', ' ', 'the', 'last', 'couple', 'nights', 'i', 've', 'been', 'eating', 'chocolate', 'chips', 'out', 'of', 'the', 'bag', '.')",False,,,
204,eat,eat,"ok, then after i was like..i should pack something to eat at school, cuz obviously i am a human being and i need to eat, and i get hungry..well guess what??",3772,16,28,"('ok', ',', 'then', 'after', 'i', 'was', 'like', '..', 'i', 'should', 'pack', 'something', 'to', 'eat', 'at', 'school', ',', 'cuz', 'obviously', 'i', 'am', 'a', 'human', 'being', 'and', 'i', 'need', 'to', 'eat', ',', 'and', 'i', 'get', 'hungry', '..', 'well', 'guess', 'what', '?', '?')",False,,,
2277,eat,eating,my classmates to 'study' but end up eating in the canteen.,10054,12,9,"('my', 'classmates', 'to', ""'"", 'study', ""'"", 'but', 'end', 'up', 'eating', 'in', 'the', 'canteen', '.')",False,,,
53,eat,eat,"but anyway, yah it was definitely really nice- there was even a portion of the tour where we got to go into the grape fields and actually pick and eat different grapes that they use for different wines!",36955,33,30,"('but', 'anyway', ',', 'yah', 'it', 'was', 'definitely', 'really', 'nice-', 'there', 'was', 'even', 'a', 'portion', 'of', 'the', 'tour', 'where', 'we', 'got', 'to', 'go', 'into', 'the', 'grape', 'fields', 'and', 'actually', 'pick', 'and', 'eat', 'different', 'grapes', 'that', 'they', 'use', 'for', 'different', 'wines', '!')",False,,,
2253,eat,eating,I job shadowed missy at work for a couple of days and this is a picture of missy eating her breakfast from a paper cup.,1368,2,18,"('I', 'job', 'shadowed', 'missy', 'at', 'work', 'for', 'a', 'couple', 'of', 'days', 'and', 'this', 'is', 'a', 'picture', 'of', 'missy', 'eating', 'her', 'breakfast', 'from', 'a', 'paper', 'cup', '.')",False,,,
3462,eat,eating,Who wants to huddle together underground eating canned spam?,2,15,6,"('Who', 'wants', 'to', 'huddle', 'together', 'underground', 'eating', 'canned', 'spam', '?')",False,,,
3271,eat,ate,ate.,11481,9,0,"('ate', '.')",False,,,
4174,eat,eating,Yea im finally back after a good long clearing walk and rest in the shade of the trees as i right this i'm eating my dinner so i cant do much about legend yet,29964,0,25,"('Yea', 'i', 'm', 'finally', 'back', 'after', 'a', 'good', 'long', 'clearing', 'walk', 'and', 'rest', 'in', 'the', 'shade', 'of', 'the', 'trees', 'as', 'i', 'right', 'this', 'i', ""'m"", 'eating', 'my', 'dinner', 'so', 'i', 'ca', 'nt', 'do', 'much', 'about', 'legend', 'yet')",False,,,
2193,eat,eat,"I'm gonna go eat, which is what i do best.",30816,16,5,"('I', ""'m"", 'gon', 'na', 'go', 'eat', ',', 'which', 'is', 'what', 'i', 'do', 'best', '.')",False,,,
3509,eat,eat,"I take a mental note of where i have packed these, so i can eat one whilst i'm driving home.",10099,13,15,"('I', 'take', 'a', 'mental', 'note', 'of', 'where', 'i', 'have', 'packed', 'these', ',', 'so', 'i', 'can', 'eat', 'one', 'whilst', 'i', ""'m"", 'driving', 'home', '.')",False,,,
1170,eat,eat,The coward stands right beside her and let's her eat the fruit.,19559,19,10,"('The', 'coward', 'stands', 'right', 'beside', 'her', 'and', 'let', ""'s"", 'her', 'eat', 'the', 'fruit', '.')",False,,,
2278,eat,eat,"we had breakfast, went to the pool (for like 3 hours), ate lunch, watched tv, watched freaky friday, went to the pool, took a bubble bath, eat dinner, watch tv, and now they're finally sleeping!",13018,51,35,"('we', 'had', 'breakfast', ',', 'went', 'to', 'the', 'pool', '(', 'for', 'like', '3', 'hours', ')', ',', 'ate', 'lunch', ',', 'watched', 'tv', ',', 'watched', 'freaky', 'friday', ',', 'went', 'to', 'the', 'pool', ',', 'took', 'a', 'bubble', 'bath', ',', 'eat', 'dinner', ',', 'watch', 'tv', ',', 'and', 'now', 'they', ""'re"", 'finally', 'sleeping', '!')",False,,,
584,eat,eat,All i do is eat bad things and do homework.,23144,17,4,"('All', 'i', 'do', 'is', 'eat', 'bad', 'things', 'and', 'do', 'homework', '.')",False,,,
262,eat,eat,it was ok since i eat in class.,26983,4,5,"('it', 'was', 'ok', 'since', 'i', 'eat', 'in', 'class', '.')",False,,,
4139,eat,eat,"so really i think, breathe, eat, drink, gahsaw 115 hours every two weeks!",37306,24,7,"('so', 'really', 'i', 'think', ',', 'breathe', ',', 'eat', ',', 'drink', ',', 'gahsaw', '115', 'hours', 'every', 'two', 'weeks', '!')",False,,,
4042,eat,eat,"I don't know what to say about this dessert, it was so rich i could only eat a few bites.",25369,28,18,"('I', 'do', ""n't"", 'know', 'what', 'to', 'say', 'about', 'this', 'dessert', ',', 'it', 'was', 'so', 'rich', 'i', 'could', 'only', 'eat', 'a', 'few', 'bites', '.')",False,,,
3113,eat,eat,"If you're one of the many who've had to listen to my theological beliefs on why i won't eat seafood, you'd know better than to listen to me rant twice on one issue.",15744,2,21,"('If', 'you', ""'re"", 'one', 'of', 'the', 'many', 'who', ""'ve"", 'had', 'to', 'listen', 'to', 'my', 'theological', 'beliefs', 'on', 'why', 'i', 'wo', ""n't"", 'eat', 'seafood', ',', 'you', ""'d"", 'know', 'better', 'than', 'to', 'listen', 'to', 'me', 'rant', 'twice', 'on', 'one', 'issue', '.')",False,,,
2169,eat,eating,we went to peony's just because we didnt feel like walking around chinatown and end up eating at some little dirty restaurant.,36913,7,18,"('we', 'went', 'to', 'peony', ""'s"", 'just', 'because', 'we', 'did', 'nt', 'feel', 'like', 'walking', 'around', 'chinatown', 'and', 'end', 'up', 'eating', 'at', 'some', 'little', 'dirty', 'restaurant', '.')",True,"(20, 9, 13, 11, 15, 21, 18, 7, 2, 6, 4, 1, 5, 10, 23, 22, 3, 0, 17, 8, 16, 14, 19, 24, 12)","('some', 'nt', 'around', 'like', 'and', 'little', 'eating', 'we', 'to', 'because', ""'s"", 'went', 'just', 'feel', 'restaurant', 'dirty', 'peony', 'we', 'up', 'did', 'end', 'chinatown', 'at', '.', 'walking')",6.0
