lemma (V),sentence,dobj,dobj index
watch,"It was about 5pm, so i hung out at a cafe for the next couple hours, then went to wait in his room and watched tv there.",tv,28
watch,So i just had kfc for dinner    i'm gonna watch a dvd now      woopeedoo!!,dvd,14
watch,So i just had kfc for dinner    i'm gonna watch a dvd now      woopeedoo!!,woopeedoo,17
watch,Watched the england-brazil match at a pub yesterdat afternoon (the telecast here was at 4.30pm).,match,5
watch,"Let it be known, i'm not exactly a huge crazed fan of soccer, but i do enjoy watching the game now and then, especially between good teams.",game,22
watch,"But i think i still prefer watching it by myself, or with a smaller group of people.",it,7
watch,"But there were these calm collected group of girls at the next table too, watching the game, having chips and wedges and the occasional lemon ruski.",game,17
watch,"over to the sheffield's door she was selling some make-up, the father saw more she had style, she had flair, she was there that's how she became the nanny...         who would have thought that this girl we described would just exactly be what the doctor prescribed          now the father found her beguiling (watch out c.c.!)",c.c,65
watch,I just watch it once in awhile when i happen to flip the channel.,it,3
watch,Guess it must be all that   sex and the city   that i've been watching.,that,12
watch,"Anyways, gtg watch ricwb now.",ricwb,4
watch,"(one of the classes is tv cultures, and have been doing   tonnes   of research for it - heheh watching the tube that is....)  5.",tube,24
watch,Bake in oven till cheese has melted (i usually put it at a really high temperature so i don't have to wait too long...but that means you gotta watch it so it doesn't burn),it,34
watch,"We had yum cha, then watched the bourne identity (featuring many out-of-focus shots), then watched a lil' footy (it was the grand final after all - the brisbane lions beat the collingwood magpies 75-66) on the big screen at crown casino while our friends played a lil' rapid roulette hehe...",identity,9
watch,"We had yum cha, then watched the bourne identity (featuring many out-of-focus shots), then watched a lil' footy (it was the grand final after all - the brisbane lions beat the collingwood magpies 75-66) on the big screen at crown casino while our friends played a lil' rapid roulette hehe...",footy,26
watch,"Am plannign to watch lilo n stitch later, prob at highpoint.",stitch,6
watch,"Man, i've really been watching lotsa movies these couple of days...prob to make up for the months of abstinence hehe.  okies, cheerio.",movies,8
watch,"Man, i've really been watching lotsa movies these couple of days...prob to make up for the months of abstinence hehe.  okies, cheerio.",okies,26
watch,I have returned from watching goldmember.,goldmember,5
watch,Watch too much channel 8 serials ....',serials,5
watch,"Tired...   eek..the last leg of my essay mash..trying to read all the stuff on domesticity for tv cultures essay, except i did exactly what the readings said lotsa pple so with tv..watch it in the background.",it,41
watch,"Nice...  had a nice day today, hanging out with charles watching the banger sisters, and then having dinner and a date with eg.",sisters,16
watch,"Yesterday night was a movie marathon as i spent a couple hours under the star-less, cloudy sky at the royal botanic gardens, watching y tu mama tambien as part of the moonlight cinema festival.",tambien,30
watch,"Following the nice picnic under the star-less, cloudy sky at the royal botanic gardens, eg and i joined charles, alan and shawn watching double-o-seven on the big screen at 12.45 am - explosions and diamonds for everybody!",o,30
watch,"Following the nice picnic under the star-less, cloudy sky at the royal botanic gardens, eg and i joined charles, alan and shawn watching double-o-seven on the big screen at 12.45 am - explosions and diamonds for everybody!",-,31
watch,"Following the nice picnic under the star-less, cloudy sky at the royal botanic gardens, eg and i joined charles, alan and shawn watching double-o-seven on the big screen at 12.45 am - explosions and diamonds for everybody!",seven,32
watch,"Am also facing possibility that we might hang about westfield shopping town in doncaster for a bit, when all i want to do is go home, rest my tired aching feet and numb self, and watch a good night of sitcoms on channel seven.",night,41
watch,Today is the day i can watch 24 on tv instead of taping it.,24,7
watch,I have missed many many episodes...didn't bother watching the tapes.,tapes,11
watch,"I know i haven't been blogging much, so to calculate, i would have to say it's the number of people who actually know about this blog, coupled with the trajectory of minute comet fragments floating down from space after burning up in the atmosphere, multiplied by the incessant number of phone calls answered in the cinema by a loud 'ah, an zua? watching movie lah', divided by the intensity of fear factor contestants' projectile vomit after searching for objects in a tank full of live maggots with their mouths, which brings me to a grand total of...two, yes two people who read this blog regularly besides me.",movie,72
watch,"Half way thru dinner, i tried to switch on the tv to watch the chingay procession 'live' but can't get it.",live,18
watch,"And there's the praying meeting in an hour-and-a-half's time, which i don't feel like going to, yet don't wish to spend my night distracting myself with the meaningless void of watching tv or a movie.",tv,43
watch,"Watching your glycemic intake, eating smaller but more frequent meals, among other things.",intake,3
watch,"On another note, am also checking out this supposedly free weight-loss programme, also touting long term effects, by watching calories.",calories,24
watch,"Sometimes i'm reading, sometimes watching tv, sometimes reading blogs online, and sometimes talking to west coast friends.",tv,7
watch,"I used to actually stay up to watch letterman, but tv bores me more and more lately.",letterman,8
watch,"Tonight, they are listening to the radio and they have what i think is a subwoofer cranked up so as i sit here trying to watch tv or listen to my music, i just hear deep voices and bass.",tv,27
watch,"Ok, so i always have some kind of noise on, i hate quiet, but when i am watching tv and they bang, and i check the volume, it is on 2 bars.",tv,21
watch,"I can't watch news on tv anymore, unless it's bbc and then only when i'm actually in england, because the inane (trying to be) analytic dribble drabble that procludes from these people's mouths is too much for me to stand.",news,4
watch,Do you remember watching music videos?,videos,5
watch,"I mean really watching them, like for hours.",them,4
watch,"We were banned from such filth as kids though we seemed to watch endless amounts of it, our parents not as quick as they were prudish.",amounts,14
watch,"Some flashy hip-hop song was on and i paused, filling the commercial time during another program and actually watched a whole video.",video,24
watch,I haven't watched another video since that fuse moment months ago.,video,5
watch,"It did nothing for them because kids don't watch videos anymore, they want the (non) reality shows or the watered down, over-produced, uncreative pop star in their mist, and they only want the 10 best knows videos of the day.",videos,10
watch,I use it for writing and internet and well… music and pictures and to watch movies and a to play a game for about an hour every 6 months or so.,movies,16
watch,Are they watching a movie?,movie,4
watch,"I prompt him with “i’m sitting, i’m playing nintendo, i’m reading a book, i’m watching tv, i’m eating…”",tv,23
watch,"I watch every documentary i find, rent movies with that take place in new york, read books with nyc as the setting, and read blogs of nyc dwellers.",documentary,3
watch,"Tonight going to my good friend's house to watch the finale of friends (um finally, thank god)",finale,11
watch,"The next night at a.'s wedding i sat with my mom and dad, my dad's cousins, one of my dad's brothers, and my cousin r. as we watched a. and b. swish around the room.",a.,34
watch,I’ll be knitting up a storm and reading and watching my little nieces and nephew play.,nieces,13
watch,I sat quietly and watched the other customers.,customers,7
watch,"Then, this guy that i adore,went on to tell me that at the last mac expo (or whatever) when steve jobs gave his closing statement, he had a friend over to his house during their lunch hour and they watched it on the internet while eating macaroni and then for dessert they had applesauce.",it,46
watch,Time to watch movies and relax.,movies,3
watch,"Watching your nieces you relive your cousin time at the beach, at salter path family campground, on the bogue sound.",nieces,2
watch,"but more often than not the house winds up getting trashed, while he is watching cnn in the bedroom!",cnn,16
watch,We watched old monster movies and carved pumpkins.,movies,4
watch,"I was watching tv last week, and i hit rock bottom.",tv,3
watch,It sucked...  and i was stupider for having watched it.,it,11
watch,And along the miss america walk of (f/sh)ame watching jender do the 'elbow-elbow-wrist-wrist-wrist' wave was a hoot.,jender,12
watch,So did you watch 24 last night?,24,4
watch,"On a completely different topic i was watching trading spaces with my sister this weekend and vern was painting a room red, the walls and the ceiling, and my sister and i got to talking:    traci:",spaces,9
watch,"Pull up a chair and mainline the ginko it's time for last night's dream:    i'm at home with my sis and her husband about to watch a movie, so we dim the lights.",movie,32
watch,"But i did get to watch  newsies  and i almost cried, i would have if i didn't think traci would get on me for it.",newsies,7
watch,"I'm gonna watch the rest of qaf and buffy, but that's about it.",rest,6
watch,I was up last night watching the sopranos with my sis.,sopranos,7
watch,"I just hope the age difference doesn't show too much, 'cause i still want to be able to watch cartoons and play video games.",cartoons,21
watch,"It's great, but they wouldn't let me watch it.",it,11
watch,It's kinda sad that i still watch this.,this,8
watch,'cause i'm still gonna watch a little must-see-tee-vee.,tee,13
watch,'cause i'm still gonna watch a little must-see-tee-vee.,-,14
watch,'cause i'm still gonna watch a little must-see-tee-vee.,vee,15
watch,"My favorite thing to say now when people bring up current events that i'm not familiar with is to say, 'oh i'm sorry, i don't watch straight porn.'",porn,33
watch,Last night after watching a very homophobic  blossom ...,blossom,8
watch,"Spark got a weird look on his face, and i'm like; 'that's okay we can put something else on, i'll just watch it in 10 years when nostalgia is in.'",it,29
watch,So i've been watching the olympics a lot.,olympics,6
watch,"Shit, but as i always say: 'you gotta spend money to watch porn.'",porn,16
watch,"I started cracking up 'cause i'm like 'you should get him the pro-trim, and you can be like i saw how your eyes lit up when we watched that commercial.'",commercial,34
watch,I've been watching c-span all week on the fma debate.,span,6
watch,one day he disobeyed his parents and turned on the t.v.(john wasnt alowed to watch t.v b/c it made him even madder.)so he turned the t.v to station 8.,b,17
watch,"if anyone wants to join this lovely website, just leave a tag message telling who u are and ur e-mail.now i must retreat home to watch golden eye and the core.",eye,28
watch,"'fine, after this will u let me go home, i have to watch the si-fi channel, there is a show without guns on tonight', replys john. 'fair enough, or u could live there!', said kingo getting mighty excited,(jumping up and down like a little girl) ' we can sing nick nack patty wack all day long.!!'",channel,20
watch,i gotta go watch the si-fi channel *betty-,channel,9
watch,so john couldnt watch the sci-fi channel or any other channel(except weather) for a year.,channel,9
watch,"Guess every other students chooses a time as early as 10 to collect theirs...and only a couple of unlucky teens (like me) choose such a time where everyone is back at home, watching tvs and enjoying themselves...11.45 am is the time.",tvs,38
watch,And i wanted to watch the day after tomorrow..but jiali wanted shrek2...,day,6
watch,And i am so proud of myself that i told her to watch dat instead of shrek!,that,7
watch,And i am so proud of myself that i told her to watch dat instead of shrek!,dat,13
watch,I was watching one of these creature one day.,one,3
watch,Watching the waving motions of the peloton is truly hypnotic.,motions,3
watch,"Chicago cubs        went to shane's house to watch the game with james, seungju and jamie.",game,11
watch,"Pop up a bottle of beer or get a glass of wine or milk or water, turn off the heat in the stove and the oven, find your tv remote, turn to foodtv channel and start eating while watching one of those masters cooking their own food.",one,42
watch,"I'm telling you, you can almost taste what they're cooking if you have something to eat while you're watching one of those shows.",one,23
watch,"Baseball game   woohoo, the group is planning to watch a baseball game in houston next weeken.",game,13
watch,Braves   just got back from minute maid stadium in downtown houston to watch the baseball game with the whole office group minus henry and john.,game,16
watch,Today i have my computer science ap class; i think we're watching  harry potter and cos  for the two hour exam period.,potter,16
watch,"Nothing left for me to do this summer except sleep, play video games, and go watch movies.",movies,18
watch,"I've had this dvd for over a year, but never got around to watching it until last night (well, technically early this morning).",it,16
watch,"While it's probably not going to be a movie that i watch as often as some of my others ( galaxyquest ,  the mummy (returns) , etc.), this has to have been one of the best non-action and saddest movies that i've seen in a very long time.",that,10
watch,"Nodding his head, he turned back to watch the sea.",sea,10
watch,"i am off to watch some us olympic trials for track & field now, then a 2-hour special on trading spaces!",trials,8
watch,"i am off to watch some us olympic trials for track & field now, then a 2-hour special on trading spaces!",special,20
watch,im going to go watch last comic standing now.,standing,8
watch,"that show is kind of dumb, but i am somewhat addicted (what else are you going to do on a tuesday night other than sit at home and watch tv?...rhetorical question alert).",tv?,31
watch,after the party i sat at home and watched the us open.,us,10
watch,not like i would be able to watch it since we dont get espn anymore...,it,8
watch,-- i spent a lot of time this week watching the reagan funeral.,funeral,12
watch,i was watching the nba finals game 3.,game,6
watch,it is the only show where i can still crack up even if ive seen it 3 or 4 times before (yes i just watched it on tbs: bless you ted turner...,it,27
watch,"i enjoyed watching todd hamilton win the british open, its hard not to be happy for someone like him.",hamilton,4
watch,"i will say 4th, just for patterns sake :)after watching the playoff, i went to get my suit for senior pics.",playoff,13
watch,i forced myself out of bed this morning so i could watch some of the british open.,some,12
watch,"since it wasnt really worth watching, i watched outback jack (speaking of not really worth watching).",jack,11
watch,i am going to go watch the allstar game in a bit (go al!,game,8
watch,"as i watched the trading spaces special tonight (quite interesting, especially finding out frank is married...to a woman)",spaces,5
watch,"i am off to watch some us olympic trials for track & field now, then a 2-hour special on trading spaces!",trials,8
watch,"i am off to watch some us olympic trials for track & field now, then a 2-hour special on trading spaces!",special,20
watch,i just watched william hungs video for 'we are the champions'!,video,5
watch,"interesting people...we also watched a parade, where i found out that they only give candy to little kids.",parade,7
watch,"anyway...then we watched a street something or other, like a magician who didnt do much until the very end.",street,6
watch,"anyway...then we watched a street something or other, like a magician who didnt do much until the very end.",something,7
watch,Interviewer:   was it difficult to watch yourselves argue like that?,yourselves,8
watch,Entertainment value -- why do people watch comedies?,comedies,7
watch,"Now we have to bear through another season watching alison cheat, lie, flirt, and backstab -- only this time while she travels (at least partway) around the world.",cheat,10
watch,"It was great, lounging around watching the short films.. great stuff.",films,9
watch,"But the lyrics, they are the best.. and i wish i had written down his set so i could remember it better, i was so scared i'd forget about it when i was watching him.",him,38
watch,Sunday night we watched some of the olympics that we had taped earlier.,some,4
watch,We watched the stadium jumping finals and germany won.,finals,5
watch,I just enjoyed watching all the beautiful horses!,horses,7
watch,Anyone watching the competition can clearly see that patterson was the most mechanically correct out of the entire field.,competition,3
watch,I watched a show where this er surgeon had worked mids for three years.,show,3
watch,I've settled into the familiar routine of watching absolutely nothing but sports for days on end until three in the morning.,nothing,10
watch,"In about a week, i'll be at a loss as of what to watch for a while and then i'll settle into another routine- the same one that i had  before  the olympics.",what,13
watch,Have they ever watched this guy at the lunch line?).,guy,5
watch,"*pun intended  a-rod tells arroyo to go, 'fuck himself' (thanks to tivo for the mountless times i've watched this fight this weekend).",fight,28
watch,"It was really one of the more enetertaining regular season games, ever, in my history of watching sports.",sports,19
watch,I haven't wrote anything basically because i was physically zapped by watching all 6 of these last games versus atlanta and new york.,6,14
watch,"Which include movies, pizza, watching 4 little girls, and acting like complete morons!!",girls,9
watch,I watched a movie yesterday.,movie,3
watch,"Then i layed back down, at some leftover vegetarian lasgana, watched a movie, vistied with my visit-ees.",movie,14
watch,I watched the greatest film that i have ever seen in a long time last night.,film,4
watch,"When  everyone finally got up we all watched weird science (except dan, because he was still sleeping, until he left at like 10:45) and then dazed and confused, i left around 1:30.",science,10
watch,Were all heading over to bob's house (same people) and watching a few good movies!,movies,17
watch,"If you watch movies from era's like the 50's, 60's and such, they all look so comfortable.",movies,3
watch,I want to watch the first season of red vs. blue.,season,6
watch,"I've been trying to watch this world news stuff, okay.",stuff,9
watch,I really need to finish watching evangelion.,evangelion,6
watch,"Then we all just kinda sat around, trampoline, watched bob play starcraft, a few movies, ect.",starcraft,13
watch,"Of coarse i was outside when i was talking to him, they were watching tv inside, so i was being polite.",tv,15
watch,Made me sad that i couldn't watch any of my videos last night since they lack the capeablities of dsl.,any,8
watch,"Didn't do much, played videogames, ddr, watched some anime.",anime,12
watch,I want to play our games and watch our movies and have our friends.,movies,9
watch,"we took care of business on jenny's tramp, and we watched a few quality movies such as hollow man, memento and small portion or rats.",movies,16
watch,me tess claire clay travis dave and byers had a tramp party and we all watched claire jump retardidly (i dont know why she looks so funny haha).,jump,17
watch,day1: it was tight cuz we just kinda chilled at our coaches house and ate a lot of food and watched van wilder.,wilder,23
watch,"Anyways - back to watching the basketball, after seeing england go down to france tonight, a pistons win would be the icing on the cake :)",basketball,6
watch,"Oh, and i've found out that i'll have a  choice  as to where i can watch the euro 2004 final.",euro,22
watch,In that dark cold night...staring right into those eyes who had been watching me as i walked through that dark...,me,15
watch,Those eyes that had watched me...that had followed me..all the way through the forest....,me,5
watch,Watch me as i stand there...bleeding....,me,1
watch,"I'm watching you, mr. moore.",you,3
watch,People who regularly or occasionally watch tv and read the newspaper at the same time: 74.2%  *,tv,6
watch,People who regularly or occasionally watch tv while going online: 66.2%.,tv,6
watch,"What people do as they wait for downloads from the internet: listen to the radio (52.1%); watch tv (61.8%), read the newspaper (20.2%)",tv,22
watch,Dare watching commercial television for even a short while and you will be flooded with promises aimed at men that they will have more sex and more fun if they buy certain products or participate in certain activities.,television,3
watch,idk confusing  i need to go on more walks...its fun and i need some more sun and i need to work off the fat i'm developing from sitting around watching tv and eating..its crazy i'm craving everything!,tv,34
watch,and i think he had to go watch a movie w/ his family.,movie,9
watch,came home then changed and went to garvin park to watch some bands preform and called cody and his dad brought him over and we went on a walk around the lake.,preform,13
watch,"hmm well actually i woke up and my mom called and asked if i wanted to go out to lunch w/ her so me and her went to hacienda...which was fun and my leftover fettucini fernando (sp?) served as my dinner, then after dinner i went to the library and go the stupid book we have to read for school and then got a movie that me and my mom watched together while my dad went to some bible study for the jr high.",that,71
watch,"its one of those yum, im so stuffed and i just wanna sit back and watch a movie and not do anything kind of stuffed- not one of those-",movie,19
watch,"Or if you have ten minutes, do yourself a favor and  urllink watch the speech .",speech,16
watch,"Hm, actually it's goin to hard to decide which movie i'm going to watch after my exams..",movie,11
watch,"Otherwise, one is watching choices without clear motivation, and the result can be a frustrating chaos.",choices,5
watch,"thankfully, i didn't have to endure watching a cartoon lizard/rabbit thing step in feces this time, but i did get weary of the 'c-3po has switched heads with another robot' gag.",step,15
watch,"well it looks like someone in the 'bureaucracy' as bush puts it, has some ethics and doesn't owe their job to the oil companies - watch the bush squirm http://www.salon.com/news/wire/2002/06/04/climate_change/index.html?x",http://www.salon.com/news/wire/2002/06/04/climate_change/index.html?x,33
watch,I'd rather watch 'the golden girls.',girls,7
watch,Jk can't say i watch television much at all anymore since about four years ago.,television,6
watch,Others never really caught my eye enough to watch them.,them,9
watch,"i don't really watch tv much anymore (maybe an hour or so a week), but when i do, i watch enterprise (the latest star trek), junkyard wars, the daily show, battlebots... also, pretty much anything having to do with science, technology, or otherwise geekworthy topics on tlc and discovery channel that i might stumble across.",tv,5
watch,"i don't really watch tv much anymore (maybe an hour or so a week), but when i do, i watch enterprise (the latest star trek), junkyard wars, the daily show, battlebots... also, pretty much anything having to do with science, technology, or otherwise geekworthy topics on tlc and discovery channel that i might stumble across.",enterprise,25
watch,"Jesus, i watch way too much television.",television,7
watch,"I adore matlock, but it acts as a morphine injection when i watch it...and i don't think i should combine percocet and morphine.",it,14
watch,"Now... on the lighter side of things, i watched monsters inc. for the first time last night.",inc,12
watch,"Now... on the lighter side of things, i watched monsters inc. for the first time last night.",.,13
watch,"A spokesman offered the absurd explanation that dr. rajcoomar was detained because he had watched the unfolding incident 'too closely.'  please read the rest of the article to get the full story on how airport security has gone bezerk -   dr. bob rajcoomar, a u.s. citizen and former military physician from lake worth, fla., found himself handcuffed and taken into custody last month in one of the many episodes of hysteria to erupt on board airliners in the u.s. since the sept. 11 attacks.",incident,18
watch,"A spokesman offered the absurd explanation that dr. rajcoomar was detained because he had watched the unfolding incident 'too closely.'  if that becomes a criterion for arrest in the u.s., a lot of us reporters are headed for jail.",incident,18
watch,And the guards watching him through the plate-glass wall were rotated round the clock.,him,4
watch,"An affable federal agent named ed sat next to candy in the waiting room, passing the time watching the television news.",news,21
watch,"please watch us on cable channel six on december 5th 10:30-11:30 and listen to our radio show, which may be starting as early as dec 2nd!",us,2
watch,"i enviously watched them, having their heads kept above water so easily as i struggled to swim.",them,3
watch,boy you're your favourite stranger and we all like to watch so shimmy once and do it again bring your sister if you can't handle it she says you control it then she says you don't control it then she says you're controlling the way she makes you crawl she's your cocaine your exodus laughing,shimmy,13
watch,I just watched the clip and thought 'huh.,clip,4
watch,It was even conceivable that they watched everybody all the time.,everybody,7
watch,"Oh, susan, the hope of fusion is that the halo will reappear it may be pure illusion but it's beautiful while it's here i had some trouble with the  goodbye i checked my roman candle supply and watched the vapor trail in the sky",trail,45
watch,"I was busy watching the backs of my eyelids, choking on my throat and nasal congestion.",backs,5
watch,ben had just made out with ethan hawke and i was getting ready to watch uma thurman strip to 'underneath it all' when the damn phone rang.,strip,17
watch,"You can dance, you can jive, having the time of your life  see that girl, watch that scene, diggin the dancing queen",scene,21
watch,"You can dance, you can jive, having the time of your life  see that girl, watch that scene, diggin the dancing queen",scene,21
watch,"Sure, we watched the wtc fall; we watched the people jumping from windows.",fall,6
watch,Now that some of you from the game have watched the oscars...do you now believe me when i say renee zellweger is a twig?,oscars,11
watch,"I still prefer living in the heathen us, wearing my holy blue jeans, ratty old t-shirt, eating my cheeseburger, deep fried potatoe strips, and watching american football on tv, or better yet, laughing at some of the ugly dresses the actresses wear to all the awards shows.",football,33
watch,"But, i'm sorry, protecting a museum was probably the last thing on the minds of the soldiers as they were watching there backs for remnants of the republican guard or the fedayeen...",backs,25
watch,"I was watching star wars for the 10,000th time the other night and i think i caught a little continuity gaff.",wars,4
watch,i totally missed it while watching it.,it,6
watch,i'm watching my 2 stepchildren today and they are trying me nuts.,stepchildren,5
watch,I watched the last episode of buffy.,episode,4
watch,"The only discrepancy in the whole article that troubled me was bush's insistence that he initially watched it on television, if the evidence shows he did not.",it,18
watch,"If the article is factual on this point, i would have preferred if bush had said he heard about it through an aide, or that it was confusing and no one clearly knew what was going on, than to create a story about watching it on television.",it,47
watch,"Sometime, watch the whole arc of season 3 with the mayor, or season 5 with glory.",arc,5
watch,"Then watch season 7, and note how it skips and sputters to the end.",season,2
watch,Did anyone here ever watch farscape on scifi?,farscape,5
watch,"For that matter, what of the son or daughter of the other individual, who, having watched the loved one die, dedicates him- or herself to raising a stronger and more loved family than might have been possible before?",die,22
watch,"Perhaps the network is attempting to scare away republicans, who might be afraid that their tv will give them cooties -- or worse, that they might be caught watching the wrong thing when jesus returns in all his glory to separate the straight wheat from the queer chaff.",thing,33
watch,"I saw this coming, because i watch 'third watch,' and they had an episode where the power went out in nyc because the heat of the summer and too many air conditioners running was just too much for the power grid.",watch,10
watch,Every third tuesday i watch 4 hours of wb sitcoms as penance.,hours,6
watch,I think it wil be fun to watch the 8(?) of them go at each other now as they try to find a sticking campaign point.,8,9
watch,That's just what i gleaned from watching him the few times that i have...,him,8
watch,Did anyone else watch the first part of the battlestar galactica mini-series last night?,part,6
watch,"Instead, we watched a rerun of early edition on pax.",rerun,5
watch,"Their work was all so intimate that i almost felt voyueristic watching it at times, especially bill murray.",it,12
watch,i watched it about 4 months ago and i thought it was one of the most contrived pieces of crap that i'd ever seen - what happened?,it,2
watch,"Watching the press conference live on cable yesterday, i was struck only by the mutual train wreck:  journalists behaving like a pack of dogs, and a poor government functionary who made a wrong choice a long time ago and now believes in the empty role he performs.",conference,3
watch,"We're watching the video ricky showed jane earlier,  of the empty white plastic bag being blown about.",video,4
watch,You can actually sit in front of a monitor and watch a sample of everything that everyone in the world is searching for.,sample,12
watch,i watched the speech last night and richard actually clapped at one point.,speech,3
watch,"Yesterday afternoon i spent almost an hour with my wife, two youngest boys, my daughter, my mother-in-law, and probably 100 other kids and family members watching a school music program in a church parking lot, in 90 degree weather, cooking like a steak on the asphalt of the parking lot.",program,37
watch,"My 2 year old has a lot of 'hey, y'all, watch this' in his future, i am afraid.",this,15
watch,and i was there around 5pm so that i could watch paris from the top of it.,paris,12
watch,"To watch a beautiful couple kiss each other at such close quarters, as inside a lift, within a feet away from you, is a sight to be savoured every second!",couple,4
watch,Its 5 years old and all along it has been like that with the dumb speakers staring at her and the poor lady has been watching her movies in another sister's room!she had tried calling up the technical support for no avail.,movies,27
watch,"So i was watching 'the transporter' today..and the main actress, is shu qi, a taiwanese girl.",transporter,6
watch,and like feel the smoke..and everything..wow..weird..then the next day i had like an urge to smoke something cuz i was watching this movie..and the girl was like smoking marijuana right?,movie,30
watch,"so i went up stairs..sat in my room, did 'homework' while staring outside of my bedroom window, to watch for him just incase he came.",incase,28
watch,* i can't wait to start watching them..with a bowl of popcorn..,them,8
watch,Jo wanted to walk around the mall and  watch a movie..but for sum reason the moive she wanted to watch was sold out..but jo really wanted to watch a movie and spend a lil cash she had .,movie,11
watch,Jo wanted to walk around the mall and  watch a movie..but for sum reason the moive she wanted to watch was sold out..but jo really wanted to watch a movie and spend a lil cash she had .,movie,34
watch,So we watched this really really gay movie that had to do sumthin witt bunnies and more bunnies tryin to kill other bunnies...,movie,7
watch,so we watched the rest of the moive..,rest,4
watch,"Just watched kill bill part one and two...     they're alright, nothing bad about them but they're not brilliant either.",bill,3
watch,"She watches my kids, makes sure they get to school and never complains about it.",kids,3
watch,"When  you work a 12 hour day, the thought of watching a movie curled up on the couch with a beer and a cigarette trumps the idea of reading anything.",movie,14
watch,"You have a plan and this i know a plan to bring me life, a plan to watch my darkest hours to call forth your wife.",hours,21
watch,So today we're headed to watch the game and have b.b.q. with some new friends we made sat (paolo and janelle).,game,8
watch,"It was nice to kick back, relax and watch our penelope (our dog) frolic around in her american flag dress",penelope,11
watch,Well i can live without cable since i don't watch alot of tv plus it gets me to do other things like read books!,alot,11
watch,"Well thats all for tonight, gonna watch a movie carlene",carlene,12
watch,"There we watched tennis, and european football...and made fun of french and german people.",tennis,3
watch,"Here i am, watching over the little ones.",ones,8
watch,We watch the little ones while at the same time ski-balling and racing.,ones,4
watch,"So i have this totally sweet storm with thunder and lightning and all that other stuff, and i'm to tired to watch it.",it,24
watch,"This morning is the exception, but generally i have this routine of watching the news as i get ready.",news,15
watch,I watch local news on channel 3 and nbcs today show.,news,3
watch,"I remember that day--i was at school, watching a tv in the library, and i started crying as i watched people jumping out of windows in the wtc.",tv,12
watch,"While waiting, some chp (california highway patrol, for those who didn't grow up watching chips) pig rolled up behind me, beeping at me.",chips,18
watch,I was watching the news this morning,news,4
watch,"Even though i watch a lot of tv and movies, i make sure to read a lot.",lot,5
watch,"I have been watching lots of movies this week (it's only thursday), going after work (because i get off early enough to catch matinees).",lots,4
watch,"I got fed, watched tfc (the filipino channel) variety shows for a bit, and napped for like 2 hours, cozy in clean linens that used to be mine.",tfc,5
watch,"I remember we used to watch captain caveman and he man on the usa cartoon express, and his mom (my auntie nenet) got me hooked on bar none candy bars (i wish they still made those).",caveman,7
watch,For some reason the tv was on espn (what did i watch last night?),what,9
watch,I went to work and went home and watched tv til i fell asleep.,tv,9
watch,"One point in the night i told adrienne and hatty, watch this.",this,12
watch,I finally watched the surreal life on vh1.,life,5
watch,Friday night i watched all episodes as i packed up 80% of my belongings in preparation for my move to oakland.,episodes,5
watch,"I cant stand to watch herit makes me want to get violent (dropkick her in her neck, smack her upside her head, pull her hair out, etc.).",herit,6
watch,We watched  starsky & hutch  at tim's grandmother's apartment.,starsky,3
