lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,ENSEMBLE tag,ENSEMBLE replacements,entropy,%OPENCLASS
ear,ears,0.0017452006980802,0.0,1,"They are a face to talk to - eyes that cannot see your pain, noses that cannot smell the fear, lips that cannot speak words you dont want to obey, ears that words fall deafly onto and no arms to reach out and comfort you lest you break down and tell all.",22291,22,37,"('They', 'are', 'a', 'face', 'to', 'talk', 'to', '-', 'eyes', 'that', 'can', 'not', 'see', 'your', 'pain', ',', 'noses', 'that', 'can', 'not', 'smell', 'the', 'fear', ',', 'lips', 'that', 'can', 'not', 'speak', 'words', 'you', 'do', 'nt', 'want', 'to', 'obey', ',', 'ears', 'that', 'words', 'fall', 'deafly', 'onto', 'and', 'no', 'arms', 'to', 'reach', 'out', 'and', 'comfort', 'you', 'lest', 'you', 'break', 'down', 'and', 'tell', 'all', '.')",573.0,NOUN,"['hands', 'lips', 'face', 'skin', 'mouth']",0.018505805829786615,0.9982578397212544
beginning,beginning,0.0018867924528301,0.0,1,It'll be interesting to see how/if north korea comes in line given whats going on in the middle east (saudi's beginning to crack down on wahabbism) - heh.,5470,2,26,"('It', ""'ll"", 'be', 'interesting', 'to', 'see', 'how', '/', 'if', 'north', 'korea', 'comes', 'in', 'line', 'given', 'what', 's', 'going', 'on', 'in', 'the', 'middle', 'east', '(', 'saudi', ""'s"", 'beginning', 'to', 'crack', 'down', 'on', 'wahabbism', ')', '-', 'heh', '.')",530.0,NOUN,"['trying', 'efforts', 'decision', 'plan', 'plans']",0.019794682453732056,1.0
story,storied,0.0003032140691328,0.001516070345664,1,"For me, most of those reasons were the rich storied-ness that he note evoked.",12751,21,10,"('For', 'me', ',', 'most', 'of', 'those', 'reasons', 'were', 'the', 'rich', 'storied', '-', 'ness', 'that', 'he', 'note', 'evoked', '.')",3298.0,PUNCT,"['-', 'emotional', 'human', '', 'sad']",0.020364737742370496,0.9996968778417702
alive,aliving,0.0020449897750511,0.0,1,so i am still aliving ..haven’t dead……………………,17186,2,4,"('so', 'i', 'am', 'still', 'aliving', '..', 'have', 'n’t', 'dead', '……', '……', '……', '……')",489.0,ADV,"['here', 'living', 'live', 'around', 'there']",0.0212165839283308,1.0
full,fulled,0.00092980009298,0.0,2,Why is everything so fulled up wif problems.,34720,0,4,"('Why', 'is', 'everything', 'so', 'fulled', 'up', 'wif', 'problems', '.')",2151.0,VERB,"['tied', 'made', 'set', 'fucked', 'filled']",0.021407986239059918,0.9885110294117648
full,fulling,0.00092980009298,0.0,2,"I am trying my hand at fulling/felting, so will be starting with a boojabag, and then one pair of fuzzyfeet (knitty.com).",30602,3,6,"('I', 'am', 'trying', 'my', 'hand', 'at', 'fulling', '/', 'felting', ',', 'so', 'will', 'be', 'starting', 'with', 'a', 'boojabag', ',', 'and', 'then', 'one', 'pair', 'of', 'fuzzyfeet', '(', 'knitty.com', ')', '.')",2151.0,NOUN,"['making', 'pattern', 'batik', 'felt', 'thread']",0.021407986239059918,0.9885110294117648
parent,parenting,0.0021088148460565,0.0,5,Isn't parenting a two person job?,16880,11,2,"('Is', ""n't"", 'parenting', 'a', 'two', 'person', 'job', '?')",2371.0,PRON,"['it', 'that', 'this', 'there', 'work']",0.021785163717192937,1.0
parent,parent,0.0021088148460565,0.0,5,"They know that parents have to parent, that children can’t achieve unless we raise their expectations and turn off the television sets and eradicate the slander that says a black youth with a book is acting white.",9254,41,6,"('They', 'know', 'that', 'parents', 'have', 'to', 'parent', ',', 'that', 'children', 'ca', 'n’t', 'achieve', 'unless', 'we', 'raise', 'their', 'expectations', 'and', 'turn', 'off', 'the', 'television', 'sets', 'and', 'eradicate', 'the', 'slander', 'that', 'says', 'a', 'black', 'youth', 'with', 'a', 'book', 'is', 'acting', 'white', '.')",2371.0,VERB,"['help', 'listen', 'change', 'do', 'work']",0.021785163717192937,1.0
parent,parent,0.0021088148460565,0.0,5,"but then there's this other part of me -- the part of me that's trying to parent by surrounding my kids in the stories of the bible -- instead of in the decadence of church-bubble-culture -- that goes: wow.  jaelyn just reached deep for a better, bigger expression of joy, and came out with a storied truth -- possibly ritualized for her in the three year old class in the basement of our little church -- but ultimately, she found that story meaningful.",12656,16,18,"('but', 'then', 'there', ""'s"", 'this', 'other', 'part', 'of', 'me', '--', 'the', 'part', 'of', 'me', 'that', ""'s"", 'trying', 'to', 'parent', 'by', 'surrounding', 'my', 'kids', 'in', 'the', 'stories', 'of', 'the', 'bible', '--', 'instead', 'of', 'in', 'the', 'decadence', 'of', 'church', '-', 'bubble', '-', 'culture', '--', 'that', 'goes', ':', 'wow', '.', ' ', 'jaelyn', 'just', 'reached', 'deep', 'for', 'a', 'better', ',', 'bigger', 'expression', 'of', 'joy', ',', 'and', 'came', 'out', 'with', 'a', 'storied', 'truth', '--', 'possibly', 'ritualized', 'for', 'her', 'in', 'the', 'three', 'year', 'old', 'class', 'in', 'the', 'basement', 'of', 'our', 'little', 'church', '--', 'but', 'ultimately', ',', 'she', 'found', 'that', 'story', 'meaningful', '.')",2371.0,VERB,"['teach', 'win', 'grow', 'celebrate', 'help']",0.021785163717192937,1.0
parent,parented,0.0021088148460565,0.0,5,"I really do think, i was parented in their own way, by both my siblings and my grandfather.",16885,29,7,"('I', 'really', 'do', 'think', ',', 'i', 'was', 'parented', 'in', 'their', 'own', 'way', ',', 'by', 'both', 'my', 'siblings', 'and', 'my', 'grandfather', '.')",2371.0,VERB,"['raised', 'affected', 'helped', 'loved', 'treated']",0.021785163717192937,1.0
parent,parent,0.0021088148460565,0.0,5,"They know that parents have to parent, that children can't achieve unless we raise their expectations and eradicate the slander that says a black youth with a book is acting white.'",1315,5,6,"('They', 'know', 'that', 'parents', 'have', 'to', 'parent', ',', 'that', 'children', 'ca', ""n't"", 'achieve', 'unless', 'we', 'raise', 'their', 'expectations', 'and', 'eradicate', 'the', 'slander', 'that', 'says', 'a', 'black', 'youth', 'with', 'a', 'book', 'is', 'acting', 'white', '.', ""'"")",2371.0,VERB,"['help', 'work', 'listen', 'do', 'change']",0.021785163717192937,1.0
dumb,dumb,0.0022075055187637,0.0,1,"He was probably more like me and had the same thirst for knowledge and to get to a story first, but i still think it would have been wrong to dumb myself down.",21126,18,31,"('He', 'was', 'probably', 'more', 'like', 'me', 'and', 'had', 'the', 'same', 'thirst', 'for', 'knowledge', 'and', 'to', 'get', 'to', 'a', 'story', 'first', ',', 'but', 'i', 'still', 'think', 'it', 'would', 'have', 'been', 'wrong', 'to', 'dumb', 'myself', 'down', '.')",453.0,VERB,"['let', 'put', 'turn', 'slow', 'bring']",0.022658871367063266,0.9847826086956522
cookie,cookiing,0.0023980815347721,0.0,1,"I told him, 'uh, i've been cookiing rice since i was ten years old!'",22134,13,10,"('I', 'told', 'him', ',', ""'"", 'uh', ',', 'i', ""'ve"", 'been', 'cookiing', 'rice', 'since', 'i', 'was', 'ten', 'years', 'old', '!', ""'"")",417.0,AUX,"['eating', 'making', 'cooking', 'on', 'smoking']",0.024328219136044073,1.0
site,sited,0.0018124150430448,0.0004531037607612,4,"And then we went and visited amy...er..well, we drove around the block until we sited her and lisa higbee's kids trick-or-treating (sorry bout all the lisas, guys).",20961,22,19,"('And', 'then', 'we', 'went', 'and', 'visited', 'amy', '...', 'er', '..', 'well', ',', 'we', 'drove', 'around', 'the', 'block', 'until', 'we', 'sited', 'her', 'and', 'lisa', 'higbee', ""'s"", 'kids', 'trick', '-', 'or', '-', 'treating', '(', 'sorry', 'bout', 'all', 'the', 'lisas', ',', 'guys', ')', '.')",2207.0,VERB,"['saw', 'found', 'met', 'passed', 'got']",0.02480500791407693,1.0
site,site,0.0018124150430448,0.0004531037607612,4,"I also have to site to kill a mockingbird by harper lee as a sentimental favorite  ms. tyson read it to us in seventh grade, and it taught me that books read in school can be cool.",7025,10,4,"('I', 'also', 'have', 'to', 'site', 'to', 'kill', 'a', 'mockingbird', 'by', 'harper', 'lee', 'as', 'a', 'sentimental', 'favorite', ' ', 'ms', '.', 'tyson', 'read', 'it', 'to', 'us', 'in', 'seventh', 'grade', ',', 'and', 'it', 'taught', 'me', 'that', 'books', 'read', 'in', 'school', 'can', 'be', 'cool', '.')",2207.0,VERB,"['mention', 'add', 'remember', 'list', 'say']",0.02480500791407693,1.0
site,siting,0.0018124150430448,0.0004531037607612,4,My butt hurts from siting down so long...,33872,6,4,"('My', 'butt', 'hurts', 'from', 'siting', 'down', 'so', 'long', '...')",2207.0,VERB,"['sitting', 'going', 'being', 'coming', 'standing']",0.02480500791407693,1.0
site,site,0.0018124150430448,0.0004531037607612,4,"Apparently, if you only site one named souce and one anonymous source when proclaiming a crisis, it's considered 'sloppy journalism'.",6762,1,5,"('Apparently', ',', 'if', 'you', 'only', 'site', 'one', 'named', 'souce', 'and', 'one', 'anonymous', 'source', 'when', 'proclaiming', 'a', 'crisis', ',', 'it', ""'s"", 'considered', ""'"", 'sloppy', 'journalism', ""'"", '.')",2207.0,VERB,"['use', 'cite', 'have', 'quote', 'provide']",0.02480500791407693,1.0
pm,pm,0.0003579098067287,0.0019685039370078,2,I have got some pretty dramatic ideas but i need to pm james and ask him if they're okay because they could kinda be a bit too explicit!,33697,45,11,"('I', 'have', 'got', 'some', 'pretty', 'dramatic', 'ideas', 'but', 'i', 'need', 'to', 'pm', 'james', 'and', 'ask', 'him', 'if', 'they', ""'re"", 'okay', 'because', 'they', 'could', 'kinda', 'be', 'a', 'bit', 'too', 'explicit', '!')",5588.0,VERB,"['call', 'email', 'see', 'text', 'find']",0.025144052751123882,1.0
pm,pm,0.0003579098067287,0.0019685039370078,2,"Actually i had seen her in a room before, but never got to pm her.",38927,35,14,"('Actually', 'i', 'had', 'seen', 'her', 'in', 'a', 'room', 'before', ',', 'but', 'never', 'got', 'to', 'pm', 'her', '.')",5588.0,VERB,"['meet', 'know', 'see', 'touch', 'hug']",0.025144052751123882,1.0
case,cased,0.0025075225677031,0.0,5,"Sunrise, cased in past: prisons.",21344,18,2,"('Sunrise', ',', 'cased', 'in', 'past', ':', 'prisons', '.')",1994.0,CCONJ,"['and', 'as', 'back', 'but', 'set']",0.025276846367727823,1.0
case,cased,0.0025075225677031,0.0,5,"Sunrise, cased in past: prisons.",21344,10,2,"('Sunrise', ',', 'cased', 'in', 'past', ':', 'prisons', '.')",1994.0,CCONJ,"['and', 'as', 'back', 'but', 'set']",0.025276846367727823,1.0
case,cased,0.0025075225677031,0.0,5,"Sunrise, cased in past: prisons.",21344,4,2,"('Sunrise', ',', 'cased', 'in', 'past', ':', 'prisons', '.')",1994.0,CCONJ,"['and', 'as', 'back', 'but', 'set']",0.025276846367727823,1.0
case,cased,0.0025075225677031,0.0,5,"I'll post the clue each day here on the blog, so you'll be able to get it in cased you miss it oon the air.",3702,11,21,"('I', ""'ll"", 'post', 'the', 'clue', 'each', 'day', 'here', 'on', 'the', 'blog', ',', 'so', 'you', ""'ll"", 'be', 'able', 'to', 'get', 'it', 'in', 'cased', 'you', 'miss', 'it', 'oon', 'the', 'air', '.')",1994.0,SCONJ,"['if', 'case', 'when', 'should', 'before']",0.025276846367727823,1.0
case,cased,0.0025075225677031,0.0,5,"Sunrise, cased in past: prisons.",21344,14,2,"('Sunrise', ',', 'cased', 'in', 'past', ':', 'prisons', '.')",1994.0,CCONJ,"['and', 'as', 'back', 'but', 'set']",0.025276846367727823,1.0
ticket,ticketed,0.0026178010471204,0.0,2,"Last week we were out cycling, and i got ticketed for not wearing a helmet.",17828,1,10,"('Last', 'week', 'we', 'were', 'out', 'cycling', ',', 'and', 'i', 'got', 'ticketed', 'for', 'not', 'wearing', 'a', 'helmet', '.')",764.0,VERB,"['mad', 'called', 'hit', 'caught', 'points']",0.026225743127487676,1.0
ticket,ticketed,0.0026178010471204,0.0,2,"But if you are going to have a multi-tiered ticketed event, with multiple banks of metal detectors, individual searches of attendees, even to the extent of not allowing umbrellas into the rally, then you had better do it for all the attendees.",34071,8,11,"('But', 'if', 'you', 'are', 'going', 'to', 'have', 'a', 'multi', '-', 'tiered', 'ticketed', 'event', ',', 'with', 'multiple', 'banks', 'of', 'metal', 'detectors', ',', 'individual', 'searches', 'of', 'attendees', ',', 'even', 'to', 'the', 'extent', 'of', 'not', 'allowing', 'umbrellas', 'into', 'the', 'rally', ',', 'then', 'you', 'had', 'better', 'do', 'it', 'for', 'all', 'the', 'attendees', '.')",764.0,NOUN,"['security', 'police', 'safety', 'rally', 'enforcement']",0.026225743127487676,1.0
window,window,0.001610305958132,0.000805152979066,2,The first link is: 'window me users go here'  hey!!!,32445,39,6,"('The', 'first', 'link', 'is', ':', ""'"", 'window', 'me', 'users', 'go', 'here', ""'"", ' ', 'hey', '!', '!', '!')",1242.0,VERB,"['Let', 'let', 'like', 'Help', 'help']",0.026697425223536735,0.9975903614457832
window,window,0.001610305958132,0.000805152979066,2,I am forever tainted and know that i can never recklessly window shop again.,16733,44,11,"('I', 'am', 'forever', 'tainted', 'and', 'know', 'that', 'i', 'can', 'never', 'recklessly', 'window', 'shop', 'again', '.')",1242.0,VERB,"['window', 'online', 'coffee', 'sex', 'shop']",0.026697425223536735,0.9975903614457832
problem,Problem,0.000938673341677,0.0012515644555694,3,Problem with that being i had to be at work this morning by 7.,23461,4,0,"('Problem', 'with', 'that', 'being', 'i', 'had', 'to', 'be', 'at', 'work', 'this', 'morning', 'by', '7', '.')",3196.0,ADV,"['So', 'and', 'so', 'And', 'Well']",0.028757393396128355,0.999687206756334
problem,problem,0.000938673341677,0.0012515644555694,3,"ya see, were supposed to sell ads to raise money which is all well and good, but it seems rehersals get out at 5 when stores close...problem anyone?",9462,2,30,"('ya', 'see', ',', 'were', 'supposed', 'to', 'sell', 'ads', 'to', 'raise', 'money', 'which', 'is', 'all', 'well', 'and', 'good', ',', 'but', 'it', 'seems', 'rehersals', 'get', 'out', 'at', '5', 'when', 'stores', 'close', '...', 'problem', 'anyone', '?')",3196.0,VERB,"['.', 'help', 'guess', 'tips', 'wonder']",0.028757393396128355,0.999687206756334
problem,Problem,0.000938673341677,0.0012515644555694,3,"Problem with all that is that i'll soon need a memory upgrade to remember all those urls, passwords and so on.",19904,7,0,"('Problem', 'with', 'all', 'that', 'is', 'that', 'i', ""'ll"", 'soon', 'need', 'a', 'memory', 'upgrade', 'to', 'remember', 'all', 'those', 'urls', ',', 'passwords', 'and', 'so', 'on', '.')",3196.0,NOUN,"['Problem', 'Sad', 'problem', 'issue', 'Issue']",0.028757393396128355,0.999687206756334
machine,machined,0.0029498525073746,0.0,2,"This isn't some kit gun, the guy actually machined a number of internal parts, namely: the frame rails, took off the front strap finger grove, the front sight dovetail, .250 beavertail cut, beveled magwell, blended the rear of the slide to the frame, checkered the back sooo cool.",5992,1,10,"('This', 'is', ""n't"", 'some', 'kit', 'gun', ',', 'the', 'guy', 'actually', 'machined', 'a', 'number', 'of', 'internal', 'parts', ',', 'namely', ':', 'the', 'frame', 'rails', ',', 'took', 'off', 'the', 'front', 'strap', 'finger', 'grove', ',', 'the', 'front', 'sight', 'dovetail', ',', '.250', 'beavertail', 'cut', ',', 'beveled', 'magwell', ',', 'blended', 'the', 'rear', 'of', 'the', 'slide', 'to', 'the', 'frame', ',', 'checkered', 'the', 'back', 'sooo', 'cool', '.')",678.0,VERB,"['changed', 'removed', 'made', 'fixed', 'did']",0.029043382123428604,1.0
machine,machine,0.0029498525073746,0.0,2,Maybe we will machine a part to get a tight seal and use a hanheld pump.,27051,18,3,"('Maybe', 'we', 'will', 'machine', 'a', 'part', 'to', 'get', 'a', 'tight', 'seal', 'and', 'use', 'a', 'hanheld', 'pump', '.')",678.0,VERB,"['add', 'buy', 'make', 'build', 'change']",0.029043382123428604,1.0
huge,huge,0.0008361204013377,0.0008361204013377,1,At night we seat at that tree and he huge me so tightly n said the sweet word... ',25438,37,9,"('At', 'night', 'we', 'seat', 'at', 'that', 'tree', 'and', 'he', 'huge', 'me', 'so', 'tightly', 'n', 'said', 'the', 'sweet', 'word', '...', ""'"")",1196.0,VERB,"['held', 'hold', 'hug', 'took', 'pulled']",0.02925974699040692,1.0
purpose,purposes,0.0030257186081694,0.0,2,I have complete faith that god will use this time for whatever he purposes.,18445,8,13,"('I', 'have', 'complete', 'faith', 'that', 'god', 'will', 'use', 'this', 'time', 'for', 'whatever', 'he', 'purposes', '.')",661.0,VERB,"['wants', 'will', 'needs', 'can', 'does']",0.029679324366532724,1.0
purpose,purposes,0.0030257186081694,0.0,2,"Create a standard that says, 'god is in control, and he purposes things to happen.'",24650,33,14,"('Create', 'a', 'standard', 'that', 'says', ',', ""'"", 'god', 'is', 'in', 'control', ',', 'and', 'he', 'purposes', 'things', 'to', 'happen', '.', ""'"")",661.0,VERB,"['wants', 'causes', 'allows', 'forces', 'needs']",0.029679324366532724,1.0
member,member,0.0009267840593141,0.0018535681186283,1,"Megan~ girl you kewl as hell, you member those blue balls and shit too.",18516,22,8,"('Megan~', 'girl', 'you', 'kewl', 'as', 'hell', ',', 'you', 'member', 'those', 'blue', 'balls', 'and', 'shit', 'too', '.')",1079.0,VERB,"['got', 'have', 'love', 'get', 'like']",0.030165431127565118,1.0
table,tabled,0.0009407337723424,0.0,1,"not only did they refuse to do so, but when she tabled that idea as a motion, the council also turned it down.",17812,16,12,"('not', 'only', 'did', 'they', 'refuse', 'to', 'do', 'so', ',', 'but', 'when', 'she', 'tabled', 'that', 'idea', 'as', 'a', 'motion', ',', 'the', 'council', 'also', 'turned', 'it', 'down', '.')",1063.0,VERB,"['submitted', 'brought', 'put', 'raised', 'offered']",0.030558560348042354,1.0
user,user,0.0031545741324921,0.0,1,I am learning to user blogger.,30867,0,4,"('I', 'am', 'learning', 'to', 'user', 'blogger', '.')",317.0,VERB,"['use', 'be', 'love', 'write', 'do']",0.030753173912389797,1.0
guy,guies,0.0001328197635808,0.0030548545623588,1,He restores my soul;  he guies me in the paths of righteousness for his name's sake.,19550,32,7,"('He', 'restores', 'my', 'soul', ';', ' ', 'he', 'guies', 'me', 'in', 'the', 'paths', 'of', 'righteousness', 'for', 'his', 'name', ""'s"", 'sake', '.')",7529.0,VERB,"['places', 'takes', 'helps', 'lead', 'draws']",0.031824323576770015,0.999867197875166
basis,bases,0.0032894736842105,0.0,1,"It all bases around the phrase, 'commercially useful'.",23839,21,2,"('It', 'all', 'bases', 'around', 'the', 'phrase', ',', ""'"", 'commercially', 'useful', ""'"", '.')",304.0,VERB,"['centres', 'goes', 'comes', 'circles', 'spins']",0.03186923386363768,1.0
safe,safes,0.0034843205574912,0.0,2,"If it must be that the language starts to support this kind of pattern ( of what i am not so terribly sure ), then please, with sugger on top, make it easy to read, nice to look at, and in a way that safes you a lot of typing.",11433,29,49,"('If', 'it', 'must', 'be', 'that', 'the', 'language', 'starts', 'to', 'support', 'this', 'kind', 'of', 'pattern', '(', 'of', 'what', 'i', 'am', 'not', 'so', 'terribly', 'sure', ')', ',', 'then', 'please', ',', 'with', 'sugger', 'on', 'top', ',', 'make', 'it', 'easy', 'to', 'read', ',', 'nice', 'to', 'look', 'at', ',', 'and', 'in', 'a', 'way', 'that', 'safes', 'you', 'a', 'lot', 'of', 'typing', '.')",574.0,VERB,"['save', 'costs', 'spare', 'gives', 'gets']",0.03346719734251922,1.0
safe,safe,0.0034843205574912,0.0,2,"Back to the movie,i think i m so impressed for the part tat the spidey 1st time show his face at public to safe the train passengers.",32567,7,25,"('Back', 'to', 'the', 'movie', ',', 'i', 'think', 'i', 'm', 'so', 'impressed', 'for', 'the', 'part', 'tat', 'the', 'spidey', '1st', 'time', 'show', 'his', 'face', 'at', 'public', 'to', 'safe', 'the', 'train', 'passengers', '.')",574.0,VERB,"['all', 'see', 'show', 'face', 'impress']",0.03346719734251922,1.0
scared,scared,0.0015698587127158,0.0015698587127158,1,Another big change and people scared for their jobs.,3866,4,5,"('Another', 'big', 'change', 'and', 'people', 'scared', 'for', 'their', 'jobs', '.')",637.0,VERB,"['looking', 'fighting', 'running', 'leaving', 'fight']",0.03376947378879584,1.0
folk,folks,0.0015723270440251,0.0015723270440251,1,"I don't have anything to post today, but since i'm going to be a little more active on this site from now on, i was just curious what kind of things you folks out there think we could do to improve caliblog.",38676,0,36,"('I', 'do', ""n't"", 'have', 'anything', 'to', 'post', 'today', ',', 'but', 'since', 'i', ""'m"", 'going', 'to', 'be', 'a', 'little', 'more', 'active', 'on', 'this', 'site', 'from', 'now', 'on', ',', 'i', 'was', 'just', 'curious', 'what', 'kind', 'of', 'things', 'you', 'folks', 'out', 'there', 'think', 'we', 'could', 'do', 'to', 'improve', 'caliblog', '.')",636.0,PRON,"['guys', 'people', 'all', 'folks', 'readers']",0.033815431529034295,1.0
proud,proud,0.0015847860538827,0.0015847860538827,1,We should proud that we still have chance to watch this kind of traditional dance.,17637,8,2,"('We', 'should', 'proud', 'that', 'we', 'still', 'have', 'chance', 'to', 'watch', 'this', 'kind', 'of', 'traditional', 'dance', '.')",631.0,VERB,"['remember', 'appreciate', 'know', 'celebrate', 'hope']",0.03404723440081702,0.9984177215189872
cancer,cancer,0.0039682539682539,0.0,1,"In contrast, type ii errors are far more worrisome, since they would indicate that you did not cancer when you really did.",32285,6,19,"('In', 'contrast', ',', 'type', 'ii', 'errors', 'are', 'far', 'more', 'worrisome', ',', 'since', 'they', 'would', 'indicate', 'that', 'you', 'did', 'not', 'cancer', 'when', 'you', 'really', 'did', '.')",252.0,VERB,"['know', 'understand', 'succeed', 'register', 'test']",0.03736947889021895,1.0
