word,VERB_lemma,VERB_count,VERB%,VERB_sents,PROPN_lemma,PROPN_count,PROPN%,PROPN_sents,PART_lemma,PART_count,PART%,PART_sents,NUM_lemma,NUM_count,NUM%,NUM_sents,X_lemma,X_count,X%,X_sents,PUNCT_lemma,PUNCT_count,PUNCT%,PUNCT_sents,ADJ_lemma,ADJ_count,ADJ%,ADJ_sents,ADP_lemma,ADP_count,ADP%,ADP_sents,ADV_lemma,ADV_count,ADV%,ADV_sents,AUX_lemma,AUX_count,AUX%,AUX_sents,CCONJ_lemma,CCONJ_count,CCONJ%,CCONJ_sents,DET_lemma,DET_count,DET%,DET_sents,INTJ_lemma,INTJ_count,INTJ%,INTJ_sents,NOUN_lemma,NOUN_count,NOUN%,NOUN_sents,PRON_lemma,PRON_count,PRON%,PRON_sents,SCONJ_lemma,SCONJ_count,SCONJ%,SCONJ_sents,CONJ_lemma,CONJ_count,CONJ%,CONJ_sents,SYM_lemma,SYM_count,SYM%,SYM_sents
be-,be-,1,0.333333333,,be-,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
coupling,couple,1,0.333333333,,Coupling,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
drew,draw,4,0.333333333,,Drew,8,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
espn,espn,1,0.333333333,,espn,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
heeren,heeren,1,0.333333333,,heeren,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
mee,mee,1,0.333333333,,mee,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
rob,rob,1,0.333333333,,Rob,2,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
urllink,urllink,4,0.006655574,,urlLink,388,0.645590682,,,0,0,,,0,0,,urllink,104,0.173044925,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,urllink,105,0.174708819,,,0,0,,,0,0,,,0,0,,,0,0,
alter,alter,2,0.4,,Alter,3,0.6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
border,border,1,0.2,,Border,3,0.6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,border,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,
whack,whack,1,0.2,,Whack,3,0.6,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,whack,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
rose,rise,1,0.142857143,,rose,4,0.571428571,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,rose,2,0.285714286,,,0,0,,,0,0,,,0,0,,,0,0,
master,master,1,0.045454545,,Master,12,0.545454545,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,master,9,0.409090909,,,0,0,,,0,0,,,0,0,,,0,0,
spark,spark,1,0.090909091,,Spark,6,0.545454545,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,spark,4,0.363636364,,,0,0,,,0,0,,,0,0,,,0,0,
park,park,4,0.137931034,,Park,15,0.517241379,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,park,10,0.344827586,,,0,0,,,0,0,,,0,0,,,0,0,
e,e,1,0.021276596,,E,24,0.510638298,,,0,0,,,0,0,,e,1,0.021276596,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,e,15,0.319148936,,e,6,0.127659574,,,0,0,,,0,0,,,0,0,
bloom,bloom,1,0.5,,bloom,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
cap,cap,1,0.5,,Cap,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
careen,careen,1,0.5,,careen,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
de,de,1,0.045454545,,De,11,0.5,,,0,0,,,0,0,,de,10,0.454545455,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
digest,digest,1,0.5,,Digest,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
dread,dread,1,0.5,,Dread,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
flushing,flush,2,0.5,,Flushing,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
fuse,fuse,2,0.5,,FUSE,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
geuss,geuss,1,0.25,,GEUSS,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,geuss,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
grant,grant,1,0.5,,Grant,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
l,l,1,0.25,,L,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,l,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,
mapquest,mapquest,1,0.5,,MapQuest,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
pierce,pierce,1,0.5,,Pierce,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
poke,poke,2,0.5,,Poke,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
ponder,ponder,1,0.5,,Ponder,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
relpys,relpy,1,0.5,,relpys,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
seal,seal,1,0.5,,Seal,1,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
grind,grind,1,0.076923077,,Grind,6,0.461538462,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,grind,6,0.461538462,,,0,0,,,0,0,,,0,0,,,0,0,
leaf,leaf,1,0.111111111,,Leaf,4,0.444444444,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,leaf,4,0.444444444,,,0,0,,,0,0,,,0,0,,,0,0,
aim,aim,2,0.2,,AIM,4,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,aim,4,0.4,,,0,0,,,0,0,,,0,0,,,0,0,
coast,coast,1,0.066666667,,Coast,6,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,coast,8,0.533333333,,,0,0,,,0,0,,,0,0,,,0,0,
dye,dye,2,0.4,,Dye,2,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,dye,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,
gota,gota,1,0.2,,gota,2,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,gota,1,0.2,,,0,0,,gota,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
un,un,1,0.2,,un,2,0.4,,,0,0,,,0,0,,,0,0,,,0,0,,un,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,un,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,
hee,hee,1,0.055555556,,Hee,7,0.388888889,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,hee,10,0.555555556,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
mark,mark,4,0.25,,mark,6,0.375,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,mark,6,0.375,,,0,0,,,0,0,,,0,0,,,0,0,
vault,vault,1,0.125,,Vault,3,0.375,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,vault,4,0.5,,,0,0,,,0,0,,,0,0,,,0,0,
bluff,bluff,1,0.333333333,,Bluff,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,bluff,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
burns,burn,1,0.333333333,,Burns,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,burn,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
ensure,ensure,2,0.666666667,,Ensure,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
folds,fold,2,0.333333333,,Folds,2,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,fold,2,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
guide,guide,2,0.666666667,,Guide,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
im,im,3,0.5,,IM,2,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,im,1,0.166666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
lightening,lighten,1,0.333333333,,Lightening,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,lightening,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
luv,luv,2,0.666666667,,Luv,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
preserve,preserve,2,0.666666667,,preserve,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
request,request,2,0.666666667,,Request,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
returns,return,2,0.666666667,,Returns,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
shelter,shelter,2,0.666666667,,Shelter,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
shining,shine,2,0.666666667,,SHINING,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
smashing,smash,2,0.666666667,,Smashing,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
states,state,6,0.285714286,,States,7,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,state,8,0.380952381,,,0,0,,,0,0,,,0,0,,,0,0,
suan,suan,1,0.333333333,,suan,1,0.333333333,,,0,0,,,0,0,,suan,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
sue,sue,2,0.666666667,,Sue,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
suffering,suffer,1,0.333333333,,Suffering,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,suffering,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
tape,tape,1,0.333333333,,tape,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,tape,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
tickle,tickle,1,0.333333333,,tickle,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,tickle,1,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
trading,trade,1,0.166666667,,trading,2,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,,trading,1,0.166666667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,trading,2,0.333333333,,,0,0,,,0,0,,,0,0,,,0,0,
sat,sit,22,0.647058824,,sat,11,0.323529412,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,sat,1,0.029411765,,,0,0,,,0,0,,,0,0,,,0,0,
climb,climb,5,0.714285714,,climb,2,0.285714286,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
d,d,4,0.181818182,,d,6,0.272727273,,,0,0,,,0,0,,,0,0,,,0,0,,d,1,0.045454545,,,0,0,,,0,0,,d,6,0.272727273,,,0,0,,,0,0,,,0,0,,d,4,0.181818182,,d,1,0.045454545,,,0,0,,,0,0,,,0,0,
miss,miss,52,0.732394366,,Miss,18,0.253521127,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,miss,1,0.014084507,,,0,0,,,0,0,,,0,0,,,0,0,
arrested,arrest,3,0.75,,Arrested,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
breathing,breathe,3,0.75,,Breathing,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
challenged,challenge,2,0.5,,Challenged,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,challenged,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
coloured,colour,1,0.25,,Coloured,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,coloured,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
cruise,cruise,1,0.25,,Cruise,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,cruise,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,
cup,cup,1,0.0625,,cup,4,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,cup,11,0.6875,,,0,0,,,0,0,,,0,0,,,0,0,
cure,cure,3,0.375,,cure,2,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,cure,3,0.375,,,0,0,,,0,0,,,0,0,,,0,0,
edit,edit,1,0.25,,Edit,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,edit,2,0.5,,,0,0,,,0,0,,,0,0,,,0,0,
embrace,embrace,2,0.5,,Embrace,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,embrace,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,
graduate,graduate,1,0.125,,Graduate,2,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,graduate,1,0.125,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,graduate,4,0.5,,,0,0,,,0,0,,,0,0,,,0,0,
haul,haul,3,0.75,,Haul,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
lit,light,5,0.625,,Lit,2,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,lit,1,0.125,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
spice,spice,2,0.5,,Spice,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,spice,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,
sporting,sport,3,0.75,,sporting,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,
spy,spy,2,0.5,,Spy,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,spy,1,0.25,,,0,0,,,0,0,,,0,0,,,0,0,
state,state,1,0.03125,,state,8,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,state,23,0.71875,,,0,0,,,0,0,,,0,0,,,0,0,
tour,tour,1,0.125,,tour,2,0.25,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,tour,5,0.625,,,0,0,,,0,0,,,0,0,,,0,0,
rolling,roll,8,0.615384615,,Rolling,3,0.230769231,,,0,0,,,0,0,,,0,0,,,0,0,,rolling,1,0.076923077,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,rolling,1,0.076923077,,,0,0,,,0,0,,,0,0,,,0,0,
target,target,1,0.076923077,,Target,3,0.230769231,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,target,9,0.692307692,,,0,0,,,0,0,,,0,0,,,0,0,
brown,brown,1,0.045454545,,brown,5,0.227272727,,,0,0,,,0,0,,,0,0,,,0,0,,brown,14,0.636363636,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,brown,2,0.090909091,,,0,0,,,0,0,,,0,0,,,0,0,
jazz,jazz,1,0.111111111,,Jazz,2,0.222222222,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,jazz,6,0.666666667,,,0,0,,,0,0,,,0,0,,,0,0,
fish,fish,3,0.157894737,,Fish,4,0.210526316,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,fish,12,0.631578947,,,0,0,,,0,0,,,0,0,,,0,0,
race,race,2,0.027027027,,Race,15,0.202702703,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,race,57,0.77027027,,,0,0,,,0,0,,,0,0,,,0,0,
blossom,blossom,2,0.4,,Blossom,1,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,blossom,2,0.4,,,0,0,,,0,0,,,0,0,,,0,0,
crash,crash,7,0.7,,CRASH,2,0.2,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,crash,1,0.1,,,0,0,,,0,0,,,0,0,,,0,0,
