Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Mask_Tags_5
10,2,the,DET,DET,None
10,3,very,ADV,ADV,None
10,4,few,ADJ,ADJ,None
10,5,who,PRON,PRON,None
10,6,actually,ADV,ADV,None
10,7,read,VERB,VERB,None
10,8,my,PRON,PRON,None
10,9,blog,NOUN,NOUN,None
10,10,have,AUX,AUX,None
10,11,not,PART,PART,None
10,12,come,VERB,VERB,None
10,13,across,ADP,ADP,None
10,14,this,PRON,PRON,None
10,15,yet,ADV,ADV,None
10,16,",",PUNCT,PUNCT,None
10,17,but,CCONJ,CCONJ,None
10,18,I,PRON,PRON,None
10,19,figured,VERB,VERB,None
10,20,I,PRON,PRON,None
10,21,would,AUX,AUX,None
10,22,put,VERB,VERB,None
10,23,it,PRON,PRON,None
10,24,out,ADV,ADV,None
10,25,there,ADV,ADV,None
10,26,anyways,ADV,ADV,None
10,27,.,PUNCT,PUNCT,None
11,0,John,PROPN,PROPN,None
11,1,Donovan,PROPN,PROPN,None
11,2,from,ADP,ADP,None
11,3,Argghhh!,PROPN,PROPN,None
11,4,has,AUX,AUX,None
11,5,put,VERB,VERB,None
11,6,out,ADP,ADP,None
11,7,a,DET,DET,None
11,8,excellent,ADJ,ADJ,None
11,9,slide,NOUN,NOUN,None
11,10,show,NOUN,NOUN,None
11,11,on,SCONJ,ADP,ADP
11,12,what,PRON,PRON,None
11,13,was,AUX,AUX,None
11,14,actually,ADV,ADV,None
11,15,found,VERB,VERB,None
11,16,and,CCONJ,CCONJ,None
11,17,fought,VERB,VERB,None
11,18,for,ADP,ADP,None
11,19,in,ADP,ADP,None
11,20,Fallujah,PROPN,PROPN,None
11,21,.,PUNCT,PUNCT,None
12,0,Click,VERB,VERB,None
12,1,here,ADV,ADV,None
12,2,To,PART,PART,None
12,3,view,VERB,VERB,None
12,4,it,PRON,PRON,None
12,5,.,PUNCT,PUNCT,None
13,0,He,PRON,PRON,None
13,1,makes,VERB,VERB,None
13,2,some,DET,DET,None
13,3,good,ADJ,ADJ,None
13,4,observations,NOUN,NOUN,None
13,5,on,ADP,ADP,None
13,6,a,DET,DET,None
13,7,few,ADJ,ADJ,None
13,8,of,ADP,ADP,None
13,9,the,DET,DET,None
13,10,pic's,NOUN,PROPN,NOUN
13,11,.,PUNCT,PUNCT,None
14,0,One,NUM,NUM,None
14,1,of,ADP,ADP,None
14,2,the,DET,DET,None
14,3,pictures,NOUN,NOUN,None
14,4,shows,VERB,VERB,None
14,5,a,DET,DET,None
14,6,flag,NOUN,NOUN,None
14,7,that,PRON,PRON,None
14,8,was,AUX,AUX,None
14,9,found,VERB,VERB,None
14,10,in,ADP,ADP,None
14,11,Fallujah,PROPN,PROPN,None
14,12,.,PUNCT,PUNCT,None
15,0,On,ADP,ADP,None
15,1,the,DET,DET,None
15,2,next,ADJ,ADJ,None
15,3,two,NUM,NUM,None
15,4,pictures,NOUN,NOUN,None
15,5,he,PRON,PRON,None
15,6,took,VERB,VERB,None
15,7,screenshots,NOUN,NOUN,None
15,8,of,ADP,ADP,None
15,9,two,NUM,NUM,None
15,10,beheading,NOUN,VERB,PROPN
15,11,video's,NOUN,NOUN,None
15,12,.,PUNCT,PUNCT,None
16,0,Compare,VERB,VERB,None
16,1,the,DET,DET,None
16,2,flags,NOUN,NOUN,None
16,3,to,ADP,ADP,None
16,4,the,DET,DET,None
16,5,Fallujah,PROPN,PROPN,None
16,6,one,NOUN,NUM,NOUN
16,7,.,PUNCT,PUNCT,None
17,0,You,PRON,PRON,None
17,1,have,VERB,VERB,None
17,2,to,PART,PART,None
17,3,see,VERB,VERB,None
17,4,these,DET,DET,None
17,5,slides,NOUN,NOUN,None
17,6,....,PUNCT,PUNCT,None
17,7,they,PRON,PRON,None
17,8,are,AUX,AUX,None
17,9,amazing,ADJ,ADJ,None
17,10,.,PUNCT,PUNCT,None
18,0,This,DET,DET,None
18,1,Fallujah,PROPN,PROPN,None
18,2,operation,NOUN,NOUN,None
18,3,my,AUX,PRON,AUX
18,4,turn,VERB,NOUN,VERB
18,5,out,ADP,ADP,None
18,6,to,PART,PART,None
18,7,be,AUX,AUX,None
18,8,the,DET,DET,None
18,9,most,ADV,ADV,None
18,10,important,ADJ,ADJ,None
18,11,operation,NOUN,NOUN,None
18,12,done,VERB,VERB,None
18,13,by,ADP,ADP,None
18,14,the,DET,DET,None
18,15,US,PROPN,PROPN,None
18,16,Military,NOUN,PROPN,NOUN
18,17,since,ADP,SCONJ,ADP
18,18,the,DET,DET,None
18,19,end,NOUN,NOUN,None
18,20,of,ADP,ADP,None
18,21,the,DET,DET,None
18,22,war,NOUN,NOUN,None
18,23,.,PUNCT,PUNCT,None
19,0,Let,VERB,VERB,None
19,1,me,PRON,PRON,None
19,2,join,VERB,VERB,None
19,3,the,DET,DET,None
19,4,chorus,NOUN,NOUN,None
19,5,of,ADP,ADP,None
19,6,annoyance,NOUN,NOUN,None
19,7,over,ADP,ADP,None
19,8,Google,PROPN,PROPN,None
19,9,'s,PART,PART,None
19,10,new,ADJ,ADJ,None
19,11,toolbar,NOUN,NOUN,None
19,12,",",PUNCT,PUNCT,None
19,13,which,PRON,PRON,None
19,14,",",PUNCT,PUNCT,None
19,15,as,SCONJ,SCONJ,None
19,16,noted,VERB,VERB,None
19,17,in,ADP,ADP,None
19,18,the,DET,DET,None
19,19,linked,VERB,VERB,None
19,20,article,NOUN,NOUN,None
19,21,",",PUNCT,PUNCT,None
19,22,commits,VERB,VERB,None
19,23,just,ADV,ADV,None
19,24,about,ADV,ADV,None
19,25,every,DET,PRON,DET
19,26,sin,NOUN,NOUN,None
19,27,an,DET,DET,None
19,28,online,ADJ,ADJ,None
19,29,marketer,NOUN,NOUN,None
19,30,could,AUX,AUX,None
19,31,commit,VERB,VERB,None
19,32,",",PUNCT,PUNCT,None
19,33,and,CCONJ,CCONJ,None
19,34,makes,VERB,VERB,None
19,35,up,ADP,ADP,None
19,36,a,DET,DET,None
19,37,few,ADJ,ADJ,None
19,38,new,ADJ,ADJ,None
19,39,ones,NOUN,NOUN,None
19,40,besides,ADV,ADV,None
19,41,.,PUNCT,PUNCT,None
20,0,I,PRON,PRON,None
20,1,'m,AUX,AUX,None
20,2,not,PART,PART,None
20,3,fond,ADJ,ADJ,None
20,4,of,ADP,ADP,None
20,5,the,DET,DET,None
20,6,Google,PROPN,PROPN,None
20,7,-,PUNCT,PUNCT,None
20,8,hates,VERB,PROPN,PROPN
20,9,-,PUNCT,PUNCT,None
20,10,privacy,NOUN,NOUN,None
20,11,argument,NOUN,NOUN,None
21,0,(,PUNCT,PUNCT,None
21,1,You,PRON,PRON,None
21,2,do,AUX,AUX,None
21,3,n't,PART,PART,None
21,4,need,VERB,VERB,None
21,5,to,PART,PART,None
21,6,use,VERB,VERB,None
21,7,their,PRON,PRON,None
21,8,site,NOUN,NOUN,None
21,9,",",PUNCT,PUNCT,None
21,10,you,PRON,PRON,None
21,11,can,AUX,AUX,None
21,12,opt,VERB,VERB,None
21,13,-,PUNCT,PUNCT,None
21,14,out,ADP,NOUN,NOUN
21,15,of,SCONJ,ADP,ADP
21,16,sharing,VERB,VERB,None
21,17,your,PRON,PRON,None
21,18,information,NOUN,NOUN,None
21,19,",",PUNCT,PUNCT,None
21,20,you,PRON,PRON,None
21,21,do,AUX,AUX,None
21,22,n't,PART,PART,None
21,23,need,VERB,VERB,None
21,24,to,PART,PART,None
21,25,send,VERB,VERB,None
21,26,stuff,NOUN,NOUN,None
21,27,to,ADP,ADP,None
21,28,anyone,PRON,PRON,None
21,29,with,ADP,ADP,None
21,30,a,DET,DET,None
21,31,Gmail,PROPN,PROPN,None
21,32,account,NOUN,NOUN,None
21,33,",",PUNCT,PUNCT,None
21,34,and,CCONJ,CCONJ,None
21,35,if,SCONJ,SCONJ,None
21,36,--,PUNCT,PUNCT,None
21,37,wonder,NOUN,NOUN,None
21,38,of,ADP,ADP,None
21,39,wonders,NOUN,NOUN,None
21,40,--,PUNCT,PUNCT,None
21,41,you,PRON,PRON,None
21,42,'re,AUX,AUX,None
21,43,worried,ADJ,ADJ,None
21,44,that,SCONJ,SCONJ,None
21,45,you,PRON,PRON,None
21,46,might,AUX,AUX,None
21,47,send,VERB,VERB,None
21,48,something,PRON,PRON,None
21,49,to,ADP,ADP,None
21,50,someone,PRON,PRON,None
21,51,who,PRON,PRON,None
21,52,would,AUX,AUX,None
21,53,forward,VERB,VERB,None
21,54,an,DET,DET,None
21,55,excerpt,NOUN,NOUN,None
21,56,to,ADP,ADP,None
21,57,someone,PRON,PRON,None
21,58,who,PRON,PRON,None
21,59,would,AUX,AUX,None
21,60,then,ADV,ADV,None
21,61,store,VERB,VERB,None
21,62,it,PRON,PRON,None
21,63,on,ADP,ADP,None
21,64,a,DET,DET,None
21,65,Gmail,PROPN,PROPN,None
21,66,account,NOUN,NOUN,None
21,67,...,PUNCT,PUNCT,None
21,68,you,PRON,PRON,None
21,69,have,VERB,VERB,None
21,70,far,ADV,ADV,None
21,71,",",PUNCT,PUNCT,None
21,72,far,ADV,ADV,None
21,73,too,ADV,ADV,None
21,74,much,ADJ,ADJ,None
21,75,time,NOUN,NOUN,None
21,76,on,ADP,ADP,None
21,77,your,PRON,PRON,None
21,78,hands,NOUN,NOUN,None
21,79,),PUNCT,PUNCT,None
21,80,.,PUNCT,PUNCT,None
22,0,However,ADV,ADV,None
22,1,",",PUNCT,PUNCT,None
22,2,this,DET,DET,None
22,3,toolbar,NOUN,NOUN,None
22,4,is,AUX,AUX,None
22,5,really,ADV,ADV,None
22,6,bad,ADJ,ADJ,None
22,7,news,NOUN,NOUN,None
22,8,.,PUNCT,PUNCT,None
23,0,On,ADP,ADP,None
23,1,the,DET,DET,None
23,2,other,ADJ,ADJ,None
23,3,hand,NOUN,NOUN,None
23,4,",",PUNCT,PUNCT,None
23,5,it,PRON,PRON,None
23,6,looks,VERB,VERB,None
23,7,pretty,ADV,ADV,None
23,8,cool,ADJ,ADJ,None
23,9,.,PUNCT,PUNCT,None
24,0,Iran,PROPN,PROPN,None
24,1,says,VERB,VERB,None
24,2,it,PRON,PRON,None
24,3,is,AUX,AUX,None
24,4,creating,VERB,VERB,None
24,5,nuclear,ADJ,ADJ,None
24,6,energy,NOUN,NOUN,None
24,7,without,SCONJ,ADP,ADP
24,8,wanting,VERB,VERB,None
24,9,nuclear,ADJ,ADJ,None
24,10,weapons,NOUN,NOUN,None
24,11,.,PUNCT,PUNCT,None
25,0,The,DET,DET,None
25,1,United,ADJ,PROPN,PROPN
25,2,States,PROPN,PROPN,None
25,3,does,AUX,AUX,None
25,4,n't,PART,PART,None
25,5,believe,VERB,VERB,None
25,6,the,DET,DET,None
25,7,Iranian,ADJ,ADJ,None
25,8,Government,NOUN,PROPN,NOUN
25,9,.,PUNCT,PUNCT,None
26,0,One,PRON,PRON,None
26,1,can,AUX,AUX,None
26,2,suspect,VERB,VERB,None
26,3,the,DET,DET,None
26,4,Iranian,ADJ,ADJ,None
26,5,Government,NOUN,PROPN,NOUN
26,6,.,PUNCT,PUNCT,None
27,0,But,CCONJ,CCONJ,None
27,1,there,PRON,PRON,None
27,2,is,VERB,VERB,None
27,3,no,DET,DET,None
27,4,proof,NOUN,NOUN,None
27,5,.,PUNCT,PUNCT,None
28,0,I,PRON,PRON,None
28,1,read,VERB,VERB,None
28,2,an,DET,DET,None
28,3,Article,NOUN,NOUN,None
28,4,in,ADP,ADP,None
28,5,Time,PROPN,PROPN,None
28,6,magazine,PROPN,NOUN,NOUN
28,7,accusing,VERB,VERB,None
28,8,the,DET,DET,None
28,9,Iranian,ADJ,ADJ,None
28,10,Government,NOUN,PROPN,NOUN
28,11,of,SCONJ,ADP,ADP
28,12,being,AUX,AUX,None
28,13,willing,ADJ,ADJ,None
28,14,to,PART,PART,None
28,15,start,VERB,VERB,None
28,16,a,DET,DET,None
28,17,nuclear,ADJ,ADJ,None
28,18,war,NOUN,NOUN,None
28,19,and,CCONJ,CCONJ,None
28,20,I,PRON,PRON,None
28,21,sympathise,VERB,VERB,None
28,22,with,ADP,ADP,None
28,23,the,DET,DET,None
28,24,Article,NOUN,PROPN,NOUN
28,25,.,PUNCT,PUNCT,None
29,0,They,PRON,PRON,None
29,1,are,AUX,AUX,None
29,2,certainly,ADV,ADV,None
29,3,being,AUX,AUX,None
29,4,nasty,ADJ,ADJ,None
29,5,to,ADP,ADP,None
29,6,the,DET,DET,None
29,7,United,ADJ,PROPN,PROPN
29,8,Nations,PROPN,PROPN,None
29,9,Security,PROPN,PROPN,None
29,10,Council,PROPN,PROPN,None
29,11,in,ADP,ADP,None
29,12,connection,NOUN,NOUN,None
29,13,with,ADP,ADP,None
29,14,the,DET,DET,None
29,15,anti-proliferation,NOUN,ADJ,ADJ
29,16,treaty,NOUN,NOUN,None
29,17,.,PUNCT,PUNCT,None
30,0,The,DET,DET,None
30,1,President,PROPN,PROPN,None
30,2,has,AUX,AUX,None
30,3,also,ADV,ADV,None
30,4,said,VERB,VERB,None
30,5,he,PRON,PRON,None
30,6,would,AUX,AUX,None
30,7,like,VERB,VERB,None
30,8,to,PART,PART,None
30,9,see,VERB,VERB,None
30,10,Israel,PROPN,PROPN,None
30,11,wiped,VERB,VERB,None
30,12,off,ADP,ADP,None
30,13,the,DET,DET,None
30,14,map,NOUN,NOUN,None
30,15,which,PRON,PRON,None
30,16,he,PRON,PRON,None
30,17,could,AUX,AUX,None
30,18,n't,PART,PART,None
30,19,even,ADV,ADV,None
30,20,begin,VERB,VERB,None
30,21,to,PART,PART,None
30,22,try,VERB,VERB,None
30,23,without,ADP,ADP,None
30,24,nuclear,ADJ,ADJ,None
30,25,weapons,NOUN,NOUN,None
30,26,.,PUNCT,PUNCT,None
31,0,But,CCONJ,CCONJ,None
31,1,he,PRON,PRON,None
31,2,has,AUX,AUX,None
31,3,insisted,VERB,VERB,None
31,4,that,SCONJ,SCONJ,None
31,5,he,PRON,PRON,None
31,6,wants,VERB,VERB,None
31,7,nuclear,ADJ,ADJ,None
31,8,power,NOUN,NOUN,None
31,9,for,ADP,ADP,None
31,10,peaceful,ADJ,ADJ,None
31,11,purposes,NOUN,NOUN,None
31,12,.,PUNCT,PUNCT,None
32,0,Many,ADJ,ADJ,None
32,1,people,NOUN,NOUN,None
32,2,want,VERB,VERB,None
32,3,to,PART,PART,None
32,4,use,VERB,VERB,None
32,5,diplomacy,NOUN,NOUN,None
32,6,with,ADP,ADP,None
32,7,Iran,PROPN,PROPN,None
32,8,rather,ADP,ADV,ADV
32,9,than,ADP,ADP,None
32,10,military,ADJ,ADJ,None
32,11,pressure,NOUN,NOUN,None
32,12,.,PUNCT,PUNCT,None
33,0,But,CCONJ,CCONJ,None
33,1,will,AUX,AUX,None
33,2,diplomacy,NOUN,NOUN,None
33,3,work,VERB,VERB,None
33,4,?,PUNCT,PUNCT,None
34,0,And,CCONJ,CCONJ,None
34,1,can,AUX,AUX,None
34,2,anyone,PRON,PRON,None
34,3,use,VERB,VERB,None
34,4,military,ADJ,ADJ,None
34,5,pressure,NOUN,NOUN,None
34,6,without,ADP,ADP,None
34,7,proof,NOUN,NOUN,None
34,8,?,PUNCT,PUNCT,None
35,0,One,NUM,NUM,None
35,1,reader,NOUN,NOUN,None
35,2,pointed,VERB,VERB,None
35,3,out,ADP,ADP,None
35,4,that,SCONJ,SCONJ,None
35,5,the,DET,DET,None
35,6,President,PROPN,PROPN,None
35,7,watched,VERB,VERB,None
35,8,the,DET,DET,None
35,9,Americans,PROPN,PROPN,None
35,10,in,ADP,ADP,None
35,11,the,DET,DET,None
35,12,embassy,NOUN,NOUN,None
35,13,when,ADV,SCONJ,SCONJ
35,14,they,PRON,PRON,None
35,15,took,VERB,VERB,None
35,16,them,PRON,PRON,None
35,17,hostage,NOUN,NOUN,None
35,18,.,PUNCT,PUNCT,None
36,0,He,PRON,PRON,None
36,1,has,AUX,AUX,None
36,2,denied,VERB,VERB,None
36,3,this,PRON,PRON,None
36,4,.,PUNCT,PUNCT,None
37,0,We,PRON,PRON,None
37,1,do,AUX,AUX,None
37,2,n't,PART,PART,None
37,3,have,VERB,VERB,None
37,4,to,PART,PART,None
37,5,believe,VERB,VERB,None
37,6,him,PRON,PRON,None
37,7,.,PUNCT,PUNCT,None
38,0,But,CCONJ,CCONJ,None
38,1,we,PRON,PRON,None
38,2,ca,AUX,AUX,None
38,3,n't,PART,PART,None
38,4,prove,VERB,VERB,None
38,5,it,PRON,PRON,None
38,6,.,PUNCT,PUNCT,None
39,0,It,PRON,PRON,None
39,1,does,AUX,AUX,None
39,2,seem,VERB,VERB,None
39,3,that,SCONJ,SCONJ,None
39,4,Iranians,PROPN,PROPN,None
39,5,frequently,ADV,ADV,None
39,6,make,VERB,VERB,None
39,7,statements,NOUN,NOUN,None
39,8,and,CCONJ,CCONJ,None
39,9,then,ADV,ADV,None
39,10,hide,VERB,VERB,None
39,11,behind,ADP,ADP,None
39,12,lack,NOUN,NOUN,None
39,13,of,ADP,ADP,None
39,14,proof,NOUN,NOUN,None
39,15,.,PUNCT,PUNCT,None
40,0,Angry,ADJ,ADJ,None
40,1,crowds,NOUN,NOUN,None
40,2,chanted,VERB,VERB,None
40,3,anti-American,ADJ,ADJ,None
40,4,slogans,NOUN,NOUN,None
40,5,in,ADP,ADP,None
40,6,the,DET,DET,None
40,7,western,ADJ,ADJ,None
40,8,city,NOUN,NOUN,None
40,9,of,ADP,ADP,None
40,10,Falluja,PROPN,PROPN,None
40,11,(,PUNCT,PUNCT,None
40,12,pop.,NOUN,PROPN,VERB
40,13,"256,000",NUM,NUM,None
40,14,),PUNCT,PUNCT,None
40,15,as,SCONJ,SCONJ,None
40,16,the,DET,DET,None
40,17,security,NOUN,NOUN,None
40,18,police,NOUN,NOUN,None
40,19,killed,VERB,VERB,None
40,20,in,ADP,ADP,None
40,21,a,DET,DET,None
40,22,friendly,ADJ,ADJ,None
40,23,fire,NOUN,NOUN,None
40,24,incident,NOUN,NOUN,None
40,25,by,ADP,ADP,None
40,26,US,PROPN,PROPN,None
40,27,troops,NOUN,NOUN,None
40,28,were,AUX,AUX,None
40,29,buried,VERB,VERB,None
40,30,on,ADP,ADP,None
40,31,Saturday,PROPN,PROPN,None
40,32,.,PUNCT,PUNCT,None
41,0,Reuters,PROPN,PROPN,None
41,1,reported,VERB,VERB,None
41,2,that,SCONJ,SCONJ,None
41,3,"""",PUNCT,PUNCT,None
41,4,Sunni,ADJ,ADJ,None
41,5,clerics,NOUN,NOUN,None
41,6,in,ADP,ADP,None
41,7,the,DET,DET,None
41,8,town,NOUN,NOUN,None
41,9,issued,VERB,VERB,None
41,10,a,DET,DET,None
41,11,',PUNCT,PUNCT,None
41,12,Declaration,NOUN,NOUN,None
41,13,by,ADP,ADP,None
41,14,the,DET,DET,None
41,15,people,NOUN,NOUN,None
41,16,of,ADP,ADP,None
41,17,Fallujah,PROPN,PROPN,None
41,18,',PUNCT,PUNCT,None
41,19,condemning,VERB,VERB,None
41,20,the,DET,DET,None
41,21,deaths,NOUN,NOUN,None
41,22,of,ADP,ADP,None
41,23,the,DET,DET,None
41,24,security,NOUN,NOUN,None
41,25,guards,NOUN,NOUN,None
41,26,and,CCONJ,CCONJ,None
41,27,police,NOUN,NOUN,None
41,28,",",PUNCT,PUNCT,None
41,29,announcing,VERB,VERB,None
41,30,three,NUM,NUM,None
41,31,days,NOUN,NOUN,None
41,32,of,ADP,ADP,None
41,33,mourning,NOUN,NOUN,None
41,34,",",PUNCT,PUNCT,None
41,35,and,CCONJ,CCONJ,None
41,36,calling,VERB,VERB,None
41,37,for,ADP,ADP,None
41,38,a,DET,DET,None
41,39,general,ADJ,ADJ,None
41,40,strike,NOUN,NOUN,None
41,41,today,NOUN,NOUN,None
41,42,.,PUNCT,PUNCT,None
41,43,"""",PUNCT,PUNCT,None
42,0,It,PRON,PRON,None
42,1,read,VERB,VERB,None
42,2,",",PUNCT,PUNCT,None
42,3,"""",PUNCT,PUNCT,None
42,4,The,DET,DET,None
42,5,people,NOUN,NOUN,None
42,6,of,ADP,ADP,None
42,7,Fallujah,PROPN,PROPN,None
42,8,condemn,VERB,VERB,None
42,9,the,DET,DET,None
42,10,massacre,NOUN,NOUN,None
42,11,which,PRON,PRON,None
42,12,was,AUX,AUX,None
42,13,committed,VERB,VERB,None
42,14,on,ADP,ADP,None
42,15,Friday,PROPN,PROPN,None
42,16,against,ADP,ADP,None
42,17,people,NOUN,NOUN,None
42,18,dedicated,ADJ,VERB,VERB
42,19,to,ADP,ADP,None
42,20,the,DET,DET,None
42,21,protection,NOUN,NOUN,None
42,22,of,ADP,ADP,None
42,23,Fallujah,PROPN,PROPN,None
42,24,.,PUNCT,PUNCT,None
43,0,Let,VERB,VERB,None
43,1,aggressive,ADJ,ADJ,None
43,2,(,PUNCT,PUNCT,None
43,3,American,ADJ,ADJ,None
43,4,),PUNCT,PUNCT,None
43,5,leaders,NOUN,NOUN,None
43,6,and,CCONJ,CCONJ,None
43,7,soldiers,NOUN,NOUN,None
43,8,know,VERB,VERB,None
43,9,that,SCONJ,SCONJ,None
43,10,we,PRON,PRON,None
43,11,are,AUX,AUX,None
43,12,capable,ADJ,ADJ,None
43,13,of,SCONJ,ADP,ADP
43,14,protecting,VERB,VERB,None
43,15,the,DET,DET,None
43,16,city,NOUN,NOUN,None
43,17,'s,PART,PART,None
43,18,security,NOUN,NOUN,None
43,19,and,CCONJ,CCONJ,None
43,20,safety,NOUN,NOUN,None
43,21,",",PUNCT,PUNCT,None
43,22,and,CCONJ,CCONJ,None
43,23,ask,VERB,VERB,None
43,24,them,PRON,PRON,None
43,25,to,PART,PART,None
43,26,lift,VERB,VERB,None
43,27,their,PRON,PRON,None
43,28,hands,NOUN,NOUN,None
43,29,from,ADP,ADP,None
43,30,the,DET,DET,None
43,31,city,NOUN,NOUN,None
43,32,.,PUNCT,PUNCT,None
43,33,"""",PUNCT,PUNCT,None
44,0,The,DET,DET,None
44,1,clerics,NOUN,NOUN,None
44,2,demanded,VERB,VERB,None
44,3,talks,NOUN,NOUN,None
44,4,with,ADP,ADP,None
44,5,local,ADJ,ADJ,None
44,6,US,PROPN,PROPN,None
44,7,commanders,NOUN,NOUN,None
44,8,.,PUNCT,PUNCT,None
45,0,Falluja,PROPN,PROPN,None
45,1,has,AUX,AUX,None
45,2,long,ADV,ADV,None
45,3,been,AUX,AUX,None
45,4,roiled,VERB,VERB,None
45,5,by,ADP,ADP,None
45,6,tense,ADJ,ADJ,None
45,7,relations,NOUN,NOUN,None
45,8,with,ADP,ADP,None
45,9,the,DET,DET,None
45,10,US,PROPN,PROPN,None
45,11,soldiers,NOUN,NOUN,None
45,12,there,ADV,ADV,None
45,13,",",PUNCT,PUNCT,None
45,14,since,SCONJ,SCONJ,None
45,15,local,ADJ,ADJ,None
45,16,Sunnis,PROPN,PROPN,None
45,17,either,CCONJ,CCONJ,None
45,18,remain,VERB,VERB,None
