lemma,verb form,Sentence,dep set,count of dep set,perc of dep set,entropy,index of verb,Doc index,Sent index,verb count overall
wear,wearing,"(dress cuz i saw a really similar dress yesterday i was thinkin of wearing to our engagement party, and purple- hehe cuz i saw the purse i am obsessing over on ebay for 1/3 the price but instead of black it was purple- but you could barely tell by the main picture- but another picture had it like the EXACTSAME shade as the purple of the dress in my dreams).",prep,4,2%,1.02,14,37157,47,182
ignore,ignored,"One hack effusively claimed: 'After five decades of being bullied or ignored in multilateral trading talks, the world's poorer nations ... enjoyed the first real confirmation that the balance of power has shifted a little in their direction.'",prep,2,3%,1.03,13,30542,70,63
ignore,ignored,"One hack effusively claimed: 'After five decades of being bullied or ignored in multilateral trading talks, the world's poorer nations ... enjoyed the first real confirmation that the balance of power has shifted a little in their direction.'",prep,2,3%,1.03,13,30542,14,63
hang_out,hang_out,I definitly have gotten to know and hang out more with a certain someone.,prep_dobj,3,1%,1.03,7,1110,5,231
hang_out,hung_out,"so tht was a fun day, then on wednesday i went and hung out w/ Nicole @ my house and we talked for hours and my sis drove her home (yes she passed her road test) and then the next day i wanted to tt Dani b/c",prep_dobj,3,1%,1.03,13,17553,15,231
hang_out,Hanging_out,Hanging out in a computer lab....story of my life.,prep_dobj,3,1%,1.03,0,23492,0,231
pick_up,picked_up,then we headed home on the bart and andy picked us all up at the ashby bart station.,prep_dative,1,1%,1.06,9,36934,12,193
go_on,going_on,"I couldn't stand the thought of going on that long of a trip without music, I'd go nuts.",dobj,1,2%,1.07,7,38497,16,52
check_out,check_out,"In the meantime, check out:  urlLink Pats blog   urlLink Dons blog   urlLink Nealz blog   urlLink Phisters funnel race   urlLink Howards blog   urlLink the Puppy blender",prep,4,1%,1.07,4,5623,1,338
check_out,checking_out,"Svala is gorgeous by the way, so if her brother is anything near as hot, the band will be at least worth checking out (especially for Lee and Rodney).",prep,4,1%,1.07,24,10634,12,338
check_out,checking_out,"Following The Mission was L’Ame Immortelle – a band enjoyed by the Jax and a band I was interested in checking out because of the hype surrounding them and boy was I not disappointed – they sucked even worse than I had anticipated, though the crowd seemed to enjoy them greatly – see where I’m going here?",prep,4,1%,1.07,20,8788,41,338
check_out,checked_out,"And then, because I could, I got some fresh produce and checked out at 1am.",prep,4,1%,1.07,13,527,39,338
grant,granted,"Although I may have taken it for granted at the time, I definitely value the education that I received in religion during my elementary and secondary education.",prep,1,2%,1.08,7,13290,13,53
remind,reminding,thank-you for reminding me the importance of fellowship.,dobj_dative,5,8%,1.08,4,8462,4,60
remind,reminding,When I finish a book I liked I let it live longer by prolonging the characters life and reminding me passages from the book.,dobj_dative,5,8%,1.08,18,19902,14,60
remind,reminds,and it has pretty ballerinas and reminds me a bit of pretear.,dobj_dative,5,8%,1.08,6,14549,19,60
remind,reminds,reminds me a little of the 'shadow war' in  urlLink babylon 5  - you become totally invested in the realization of this great conflict that never happens.,dobj_dative,5,8%,1.08,0,21834,8,60
remind,reminds,"Also included in the collection is a story called 'Offloading for Mrs. Schwartz,' which revolves around a mind-erasing machine and reminds me a lot of  Eternal Sunshine of the Spotless Mind  (Oooh!",dobj_dative,5,8%,1.08,25,12291,12,60
find,found,"In other news, I came home today and found a letter to me from UPJ.",prep_dobj_dative,1,0%,1.12,9,11618,27,533
act,act,"But I wouldn't want to be in public, or have to sing any of my crappy songs or be in any of my crappy videos, or act in my crappy movies, anything like that.",prep_dobj,1,1%,1.12,29,6989,5,111
order,ordered,"New furnishings, toys, decor, and equipment all selected and/or ordered for new facilities...",prep,1,2%,1.13,12,10934,3,60
remember,remembered,"But a methodical working through of any ‘remembered’ story will uncover many forgotten details, which can then be recorded and remembered for posterity.",prep,2,1%,1.13,23,30638,141,200
remember,remember,So guys and gals enjoy yr rank but remember of consqeuences.,prep,2,1%,1.13,8,34733,9,200
screw,screwed,"This year, I have been fucked with, rejected with, screwed with, played with and almost any other adjective you can think of.",prep,2,4%,1.13,12,8845,6,55
screw,screw,"Standing alone, hearing hundreds of voices but not a single word and watching this mass of humanity that takes 'let's get drunk and screw' as a life motto, the thinker cringes.",prep,2,4%,1.13,26,22810,42,55
guess,guessing,Sign: Libra  Appearance: Tsuyu's most noticable quality would have to be the navy eyes he has that leave all guessing at what his true nature is.,prep,1,1%,1.15,23,19087,1,87
cry,Cry,"It will resemble Justin Timberlakes song, Cry Me a River.",dobj_dative,1,0%,1.16,7,37329,46,294
care,cared,"The you that we loved and we know, who smiled and cared Illness creates geodes out of perfectly beautiful people But what illness is it if you chose it of yourself So much is said of cures, healing, treatment When the real disease is still what it has always been Disease of the heart At this point, I cannot tell if you are A victim or a burden or a coward or pathetic Even accepting pain as part of life, Of believing in positive reframing, courage And the development of pearls Uncertainty is certain and the gray times of life Are what get me brooding   I never asked for much  Of what I’ve been given Rarely complained about my cheese being moved Except once or twice All my unworthy tears for minor frustration and Self-created problems Dried up the wells That are so inaccessible now When I feel like I should need them most   Ripple effect of tears and frustration Shattered dreams gathered and reglued Old pains and mistakes Brooded over like a cycling record Shame and guilt and pain Needing resolution, with roadblocks In ever foolproof plan Only a fool could block them anyhow",dobj,2,2%,1.16,12,33739,16,88
care,caring,What the fuck is wrong with caring too much?,dobj,2,2%,1.16,6,17093,15,88
touch,touching,"Apparently, this movie addresses some of those themes, and is pretty funny and touching in the process.",prep,2,4%,1.16,15,27507,4,53
touch,touching,i hope my wedding will be that touching to the guests!!,prep,2,4%,1.16,7,36960,27,53
destroy,destroy,"In other words, destroy.",prep,1,2%,1.16,4,22738,93,61
support,supporting,"Option 4 strikes me as unlikely in most cases (except Al Sharpton), and even if it were partially true for most people (I suspect it is) it strikes me as a acceptable price to pay if the platform of that politician is something worth supporting (like Al Sharpton).",prep,1,1%,1.16,49,29146,51,89
sound,sounds,"but I call him Ed because he looks and sounds EXACTLY like Edward Norton), Kyle, Ian, and two other people that I can't think of...)",prep_dobj,2,2%,1.16,9,20920,29,83
sound,sound,"Sure, we have music in America - all kinds - but have you ever noticed how the singers and bands start to all look and sound the same after a while?",prep_dobj,2,2%,1.16,26,10111,6,83
happen,happen,cos of wat happen this weekk... begin to qn God of His promises...,dobj,3,5%,1.16,3,39949,5,62
happen,happened,"I was happened to like an abandond building by a bull- dozer, like the van that missed my skull happened a two-inch gash across my chin.",dobj,3,5%,1.16,20,29349,1,62
happen,happening,if you didn't know about this water fight happening change right before it actually starts... therefore everyone wont be looking at your ass and your thong.,dobj,3,5%,1.16,9,6127,12,62
come,come,I open the sliding glass door and in come about 30 cats.,prep_dobj,5,1%,1.17,8,17619,8,336
come,comes,"With each year, comes less guilt about not meeting my parents expectations of me.",prep_dobj,5,1%,1.17,4,7127,13,336
come,comes,And as quickly you are gone When my sky turns pale and light We are never the same at dawn As we were that very night  With night time comes my dreams,prep_dobj,5,1%,1.17,30,13661,3,336
come,coming,"Here it is: I become an arms supplier, selling my supplies to foreign up & coming political leaders in bulk [ an un-bias political trend spotter if you will ],  making a nice profit for myself.",prep_dobj,5,1%,1.17,17,38751,1,336
come,came,"'Dreaming Up Reality'  I was browsing through my friends' blogs and came across  urlLink an entry  that echoed what I have been going through in my life, and so here are my two cents.",prep_dobj,5,1%,1.17,15,24729,0,336
create,created,"They view this generation as bratty, because all these protests and opinions are biting the hands that fed them and created their free world for them in the first place.",prep_dobj_dative,2,1%,1.17,21,24857,5,191
create,create,"I am not to sure where and if anyone will go with me, but I need some place exciting to go, so PLEASE send me some ideas and create wonderful adventures for me to expereince.",prep_dobj_dative,2,1%,1.17,30,34410,11,191
damn,Damned,(this is the  Fantasia Down  chapter)  'Damned in Any Language (A Plague on Words)' opens the theme of temptation of sin upon humans.,prep,1,2%,1.17,12,33856,24,63
need,need,"It fades, and you better make sure that person is your best friend in the end, because thats all you're going to ever get or need in the long run.",prep,2,1%,1.18,29,7169,17,136
need,needs,"I could stay where I am now and provide for my familys needs for the next 30 years,  But, will I be happy?",prep,2,1%,1.18,12,1525,7,136
swim,swim,I'm gonna:   Read 3 books  Drink 100 jack and cokes  run 50 miles  swim 10 miles  kickbox for 10 hours  hang out with jim at least 5 times  spend at least $300 at boswells  goto LA at least 1 time to see my lil brother  watch no less then 3 movies  hang out with pants so much that she wishes i worked more  take at least 1 dare  sustain at least 1 injury  forget at least 2 days,prep_dobj,2,2%,1.18,20,10895,2,110
swim,swimming,"Anyway I am rather excited and I am looking very forward to a swim in the ocean, I love swimming in the ocean ( very fond memories from my childhood) and I am hoping that this end of the pacific will not be as bloody cold as it is at home!",prep_dobj,2,2%,1.18,20,20135,13,110
shop,shopping,"The customers were beginning to build, everyone looking excited at the prospect of shopping beautiful produce for an equally beautiful 3 day holiday weekend.",prep_dobj,1,0%,1.18,14,20148,5,202
shit,shit,"'So what i'm going to do is go downstairs, and shit myself, then I'm going to vomit, and then I figure I'm going to be ok.'      -Greg",dobj,4,7%,1.19,13,36040,0,59
shit,Shit,Shit him n HER!,dobj,4,7%,1.19,0,27102,19,59
shit,shit,I love you girl~!~      Brittany~ Alwayz been tight and shit blue balls.,dobj,4,7%,1.19,10,18516,15,59
shit,shit,"I swear, if he had known I was sixteen, he would have shit a brick!!!!",dobj,4,7%,1.19,14,9983,390,59
produce,produce,"When he catches you, you can protest your innocence and produce the receipt for it.",dobj_dative,1,2%,1.19,11,20882,4,52
spend,spending,"At my current rate I will end up spending like $100 bucks a month on MP3's, which is coming a long way from the good 'ol college network days.",prep,4,2%,1.2,8,36170,4,247
spend,spending,It's so cheap to drink at home instead of spending like 3 dollars on an espresso drink at a coffee place.,prep,4,2%,1.2,10,12211,8,247
spend,spend,I think I'll take Friday off to recoup and spend with the kids.,prep,4,2%,1.2,10,17299,19,247
spend,spending,"Far from what I expected, I ended up losing weight and spending about the same amount of money, go figure.",prep,4,2%,1.2,12,32,4,247
fuck,Fuck,"blah blah blah)   “Fuck for forest” are concerned youngsters, fighting to preserve the environment.",prep,5,3%,1.2,6,18950,2,200
fuck,fucking,Some people have no interest in fucking with their mind and body and that's a great thing.,prep,5,3%,1.2,6,27301,1,200
fuck,fucking,You can understand then why their sound engineer beat the hell out of someone who tried fucking with the main board.,prep,5,3%,1.2,16,24153,18,200
fuck,fucked,"Although credit has to go to  Victor  who, while everyone else took about 5 minutes to decide on their luggage nomination, took about 0.005 seconds to proclaim  Kitten  as the most undeserving and fucked in the head!",prep,5,3%,1.2,39,38128,8,200
fuck,fuck,"'people say cherish the school life for you'll only realize how good it is when it is gone but i dont care fuck off you stupid stinky school, with your restrictions and gay uniforms and gay rules and gay culture and gay girls who don't wanna fuck, just fuck off.'",prep,5,3%,1.2,25,22993,0,200
smile,smiling,"I said smiling, 'Glen, plack please' as a joke and he smiled",prep_dobj,1,1%,1.2,2,8087,24,105
wait,waited,"Got to his appointment on time, waited a half hour for a ten minute appointment.",prep_dobj,5,1%,1.22,7,23861,9,422
wait,waited,"We waited, and waited, sat down on a couch and waited in total maybe 25 minutes?",prep_dobj,5,1%,1.22,12,30050,15,422
wait,wait,wait hmg nag nag like old woman...,prep_dobj,5,1%,1.22,0,38372,26,422
wait,waiting,We flirted with the idea of waiting a few hours for the chance to scream at Nick and his party people as they arrived to celebrate his fantastic new release.,prep_dobj,5,1%,1.22,6,6441,5,422
wait,waiting,"After waiting days for the response to my note to Biscomerica, I got a flat reply.",prep_dobj,5,1%,1.22,1,6842,1,422
travel,traveling,"When I got back, Bir Krsna Maharaj arrived (New Goloka is his home, and he was back from traveling himself) and spent a few minutes with Gurudeva.",dobj,3,5%,1.23,21,32051,36,61
travel,travel,"Am planning to visit her in Bristol one day, so we can get a Euro Rail pass and travel round Europle.",dobj,3,5%,1.23,19,308,15,61
travel,travelling,"I have to learn how to sit down, think out my visions and ideals, and realize that travelling the road to their actualization takes hope, perserverance, and patience.",dobj,3,5%,1.23,19,24842,3,61
complain,complain,"so i said YES unwillingly.sigh.helped him with his laptop n all tht.then went for lunch with him,his gf,n phoebe.luckily phoebe went with me,if not i die on the spot of boredom.hehe.makan lunch d,then went back to skool to study.till around 4 sumthin,all also gotta go home d,so ok ler,all belah liao,left me n pin jack....then we went to gurney drive there...sit down by the seaside n chit chat a bit ler...it's a long time since the last time we sat by the sea n talk.sat there till 7 sumthin,sky also turned dark d,then went to my mom's shop d ler.went there,do my work,study,then my mom come n talk to me n complain this n tht,then i was like listenin then after tht",dobj,5,7%,1.24,146,36689,5,70
complain,complain,"On the whole, typical Virgos pursue the following leisure interests:  * theater, concerts, plays, pageants  * books, magazines, dictionaries, encyclopedias  * detailed crafts, especially weaving  * alternative medicines, psychology  * gardening, health foods, flowers  * computers with all the paraphernalia    Virgoan Likes and Dislikes    Likes  * making lists * a well-stocked medicine cabinet * self-improvement courses * punctuality * mimicking others * grooming self, taking showers,using nice soaps * dealing with details * tiny animals * helping others * wearing well-tailored clothes in muted colors and textures   Dislikes  * crowds and noise; brash people * slang, vulgarity, slovenliness,and dirt * people who whine and complain a lot * sitting still for a long time * disrupted schedules * lids left off boxes, or tops off toothpaste * being obligated to others * people who move Virgo's personal things * hypocrisy and deceit * any admission of weakness or failure * bright, bold, primary colors",dobj,5,7%,1.24,141,18350,98,70
complain,complaining,After hanging around wasting away and hearing complaining the entire time we play more volleyball and I own it up again.,dobj,5,7%,1.24,7,31585,30,70
complain,complaining,Here is the Hypnotizing   formula that brings the nothing that is its self and flows a way with infer and smother these singular phrasings under wilt it branches towards the widening of stream aloft goes bracing and here is the equation of clarity and bring about until parcels hold against the marble of solid trees over an ocean swinging current and starch button and breaking bridges the double plastic reduction that only places of stop not force will refer here in the remainder of the middle passages like moonshot again plastic dirt much like so very drip spout with doughnut box and slippers inside complaining case of pillows with interrupt and the letter pause,dobj,5,7%,1.24,105,13507,0,70
complain,complained,She was only moderately depressed and complained only half of the time I was there.,dobj,5,7%,1.24,6,15447,43,70
thank,thank,wanna thank like tons of ppl larh!!!,prep,2,0%,1.24,1,19084,2,546
thank,Thank,Thank for looking out Ernie!,prep,2,0%,1.24,0,36642,1,546
dress,Dress,"Yes, David Sedaris is back to his old tricks in his new book 'Dress Your Family in Corduroy and Denim'.",prep_dobj,2,2%,1.24,15,12245,0,85
dress,dressing,"dressing herself in clothes soaked in the screams of her gaping chest cavity  a dull, rusted knife stabbing her   between the ribs but he feels nothing his knife is sharp and new 'such a quick stab, you won't feel it'  not knowing, in his own bliss,  She's stabbed him and  filled him with poisonous oxygen  that soaks his lungs, provides life only to kill later she sleeps in lakes and awakes in deserts with skeletons surrounding her  they recite her sin over and over with murder in mind, they never stop.",prep_dobj,2,2%,1.24,0,18499,0,85
watch,watched,"I went up to the doors and watched them handcuff the culprit, and a woman standing next to me was almost in tears because she thought the police were going to break his arm.",dobj_dative,1,0%,1.26,7,14501,2,1011
receive,received,"However, they seem to have a different idea of the word 'hearsay' than the dictionary:  1: Unverified information heard or received from another; rumor.",prep,3,3%,1.26,26,32962,5,97
receive,received,"Mr. Wilmont's comments were well expressed and received (unlike some public hearings I have attended where people were ranting and raving), and his comments are acurately and fully presented in the article.",prep,3,3%,1.26,8,3327,7,97
receive,received,A satirist's monologue may be most potent when delivered to a live audience; yet the choice whether this will in fact be the manner in which the message is delivered and received is one the First Amendment prohibits the government from making.,prep,3,3%,1.26,33,16759,934,97
sleep,Sleeping,"Sleeping Awake By Max Willson  The following story is mostly true, but the title was blatantly plagiarized from a P.O.D. song and the story itself has been heavily dramatized, exaggerated, and generally jazzed up because I think it sounds better this way.",prep_dobj,4,1%,1.27,0,33714,0,341
sleep,slept,"I also saw a decent movie, turned down some drugs, saw one of the funniest episodes of South Park that I've ever seen and slept like a baby.",prep_dobj,4,1%,1.27,27,29451,40,341
sleep,sleeping,I love sleep; I love my bed; I love sleeping lots in my bed.,prep_dobj,4,1%,1.27,11,25206,1,341
sleep,sleeping,"But again we are fooled, as we find sleeping more than 30 minutes at a time, nearly impossible.",prep_dobj,4,1%,1.27,9,21144,29,341
think,thinking,"It is tragic that Fitzgerald died thinking himself a failure considering how many admire his work and have emulated his style, and most of all that high fashion will forever refer to flowing, glamourous, beautiful costumes as Fitzgeraldian.",dobj_dative,1,0%,1.27,6,27322,28,814
stand,stood,Not this one he bounced himself back on his legs and walked back over to where he was and stood his place.,dobj,4,4%,1.27,19,39404,14,105
stand,standing,"So here I am, 2 months later, keeping with the 'principle' spirit and standing my ground!",dobj,4,4%,1.27,17,34451,11,105
stand,stand,the feedback i get is that i look too proud and stand offish...!,dobj,4,4%,1.27,11,21993,39,105
stand,stand,"So if you didn't have a VIP pass, it was a typical stand-all-night-in-line Hollywood evening.",dobj,4,4%,1.27,14,8582,9,105
relax,relaxing,To see my mom and friends and family...its going to be great and of course relaxing I hope.,prep_dobj,3,4%,1.28,17,39380,1,83
relax,relaxed,"Got a haircut, did a little shopping, and relaxed a little with a Sunday afternoon nap.",prep_dobj,3,4%,1.28,10,4528,10,83
relax,relax,"When bedtime came around my head was still pounding, so I decided to do a bit of yoga to get centered and relax it into submission.",prep_dobj,3,4%,1.28,23,6289,4,83
chat,chatted,"Such as with the Cathedral, I'd seen it before, so rather than go inside again (there was not much to see anyway, most of the inside had collapsed), we found a nice spot facing the river Medway, sat down, and chatted about 'this', 'that' and 'the other' until we got hungry.",prep_dobj,5,5%,1.28,49,11822,17,107
chat,chatting,"Out of habit, I wake up and go online because the good feelings from chatting with people and reading journal entries make me forget my anger.",prep_dobj,5,5%,1.28,15,24954,20,107
chat,chatting,den started chatting wit him..,prep_dobj,5,5%,1.28,2,17761,25,107
chat,chatted,"So we chatted a bit then went back down to the bar and got some drinks and chatted some more, about our backgrounds and sex and fetishes.",prep_dobj,5,5%,1.28,17,37639,50,107
chat,chatted,Other than that I've played go-fer for Gary and chatted with several people abount random things.,prep_dobj,5,5%,1.28,12,23501,5,107
laugh,Laughing,Laughing my ass off HUGS DAN,prep_dobj,5,2%,1.29,0,38870,32,275
laugh,laugh,"My name also changed several times through out the night  i started out rae rae, but then I was Poke (seriously, this 'let's watch Rachel cringe and laugh at her hysterically' thing is REALLY not funny.)",prep_dobj,5,2%,1.29,33,4917,5,275
laugh,laughing,really  brilliantpoppy : a looked over at him..stopped my discussion  brilliantpoppy : and said to him stop laughing at me LwStud: good for you  brilliantpoppy : and hes all like,prep_dobj,5,2%,1.29,21,25762,10,275
laugh,laughed,"So I got home yesterday and then called Fifer and after dropping off my brother at the Summit football game, I went to her house and we ate dinner and talked/laughed our asses off a lot.",prep_dobj,5,2%,1.29,33,20885,9,275
laugh,laughed,"Yes, now I am posting this info in my blog under full awareness that I am probably going to be slaughtered by all the people whom which I have ridiculed and laughed at, while they have defended themselves, about going to see Harry Potter.",prep_dobj,5,2%,1.29,32,37675,14,275
dance,dance,"He taught me how to swing dance, and I gotta admit, when a man knows how to treat a lady as a lady, and dance with her as a lady... dude thats impressive.",prep_dobj,2,2%,1.3,28,33742,66,128
dance,danced,"I have slipped the surly bonds of earth And danced the skies on laughter-silvered wings; Sunward I've climbed, and joined the tumbling mirth Of sun-split clouds - and done a hundred things You have not dreamed of - wheeled and soared and swung High in the sunlit silence.",prep_dobj,2,2%,1.3,9,33633,18,128
catch_up,catch_up,The phones are silent on this Thursday (shhhh..knock wood on that one) so I am going to try to take this opportunity to write and catch my character up in the current BlackHawke storyline.,prep_dobj,1,2%,1.3,29,23843,3,54
cause,cause,"Now, he reminded me of one of my cousin Steve's friends cause of his personality, but he has the hairstyle where you shave the sides of your head and leve the hair one inch on each side of your hairline, including the back, and he has a mustach and goutee sort of thing, and he's about 5'8', or 9', whatever.",prep,3,2%,1.3,13,22562,10,167
cause,cause,"I want to be able to think without you coming to my mind, cause to you our love was blind, you couldnt tell how much i really loved you.",prep,3,2%,1.3,14,18510,139,167
cause,cause,"I felt bad for him after that though, cause after that, he just kind of sat there fiddling with his computer screens, not saying much.",prep,3,2%,1.3,9,9983,394,167
jump,jumping,"We ran freely around the neighborhood, playing in the creek, sledding down the hills, jumping rope in the park,  biking around the town…  Wish somehow we could find that sort of freedom again.",prep_dobj,1,1%,1.3,17,10113,15,75
blogge,blogging,Just felt like blogging a bit about what is going on at my job.,prep_dobj,1,1%,1.3,3,17258,0,129
