Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Mask_Tags,Combined_Algorithm_Tags
11,17,fought,VERB,VERB,,VERB
11,18,for,ADP,ADP,,ADP
11,19,in,ADP,ADP,,ADP
11,20,Fallujah,PROPN,PROPN,,PROPN
11,21,.,PUNCT,PUNCT,,PUNCT
12,0,Click,VERB,VERB,,VERB
12,1,here,ADV,ADV,,ADV
12,2,To,PART,PART,,PART
12,3,view,VERB,VERB,,VERB
12,4,it,PRON,PRON,,PRON
12,5,.,PUNCT,PUNCT,,PUNCT
13,0,He,PRON,PRON,,PRON
13,1,makes,VERB,VERB,,VERB
13,2,some,DET,DET,,DET
13,3,good,ADJ,ADJ,,ADJ
13,4,observations,NOUN,NOUN,,NOUN
13,5,on,ADP,ADP,,ADP
13,6,a,DET,DET,,DET
13,7,few,ADJ,ADJ,,ADJ
13,8,of,ADP,ADP,,ADP
13,9,the,DET,DET,,DET
13,10,pic's,NOUN,PROPN,NOUN,PROPN
13,11,.,PUNCT,PUNCT,,PUNCT
14,0,One,NUM,NUM,,NUM
14,1,of,ADP,ADP,,ADP
14,2,the,DET,DET,,DET
14,3,pictures,NOUN,NOUN,,NOUN
14,4,shows,VERB,VERB,,VERB
14,5,a,DET,DET,,DET
14,6,flag,NOUN,NOUN,,NOUN
14,7,that,PRON,PRON,,PRON
14,8,was,AUX,AUX,,AUX
14,9,found,VERB,VERB,,VERB
14,10,in,ADP,ADP,,ADP
14,11,Fallujah,PROPN,PROPN,,PROPN
14,12,.,PUNCT,PUNCT,,PUNCT
15,0,On,ADP,ADP,,ADP
15,1,the,DET,DET,,DET
15,2,next,ADJ,ADJ,,ADJ
15,3,two,NUM,NUM,,NUM
15,4,pictures,NOUN,NOUN,,NOUN
15,5,he,PRON,PRON,,PRON
15,6,took,VERB,VERB,,VERB
15,7,screenshots,NOUN,NOUN,,NOUN
15,8,of,ADP,ADP,,ADP
15,9,two,NUM,NUM,,NUM
15,10,beheading,NOUN,VERB,PROPN,VERB
15,11,video's,NOUN,NOUN,,NOUN
15,12,.,PUNCT,PUNCT,,PUNCT
16,0,Compare,VERB,VERB,,VERB
16,1,the,DET,DET,,DET
16,2,flags,NOUN,NOUN,,NOUN
16,3,to,ADP,ADP,,ADP
16,4,the,DET,DET,,DET
16,5,Fallujah,PROPN,PROPN,,PROPN
16,6,one,NOUN,NUM,NOUN,NUM
16,7,.,PUNCT,PUNCT,,PUNCT
17,0,You,PRON,PRON,,PRON
17,1,have,VERB,VERB,,VERB
17,2,to,PART,PART,,PART
17,3,see,VERB,VERB,,VERB
17,4,these,DET,DET,,DET
17,5,slides,NOUN,NOUN,,NOUN
17,6,....,PUNCT,PUNCT,,PUNCT
17,7,they,PRON,PRON,,PRON
17,8,are,AUX,AUX,,AUX
17,9,amazing,ADJ,ADJ,,ADJ
17,10,.,PUNCT,PUNCT,,PUNCT
18,0,This,DET,DET,,DET
18,1,Fallujah,PROPN,PROPN,,PROPN
18,2,operation,NOUN,NOUN,,NOUN
18,3,my,AUX,PRON,AUX,PRON
18,4,turn,VERB,NOUN,VERB,NOUN
18,5,out,ADP,ADP,,ADP
18,6,to,PART,PART,,PART
18,7,be,AUX,AUX,,AUX
18,8,the,DET,DET,,DET
18,9,most,ADV,ADV,,ADV
18,10,important,ADJ,ADJ,,ADJ
18,11,operation,NOUN,NOUN,,NOUN
18,12,done,VERB,VERB,,VERB
18,13,by,ADP,ADP,,ADP
18,14,the,DET,DET,,DET
18,15,US,PROPN,PROPN,,PROPN
18,16,Military,NOUN,PROPN,NOUN,PROPN
18,17,since,ADP,SCONJ,ADP,SCONJ
18,18,the,DET,DET,,DET
18,19,end,NOUN,NOUN,,NOUN
18,20,of,ADP,ADP,,ADP
18,21,the,DET,DET,,DET
18,22,war,NOUN,NOUN,,NOUN
18,23,.,PUNCT,PUNCT,,PUNCT
19,0,Let,VERB,VERB,,VERB
19,1,me,PRON,PRON,,PRON
19,2,join,VERB,VERB,,VERB
19,3,the,DET,DET,,DET
19,4,chorus,NOUN,NOUN,,NOUN
19,5,of,ADP,ADP,,ADP
19,6,annoyance,NOUN,NOUN,,NOUN
19,7,over,ADP,ADP,,ADP
19,8,Google,PROPN,PROPN,,PROPN
19,9,'s,PART,PART,,PART
19,10,new,ADJ,ADJ,,ADJ
19,11,toolbar,NOUN,NOUN,,NOUN
19,12,",",PUNCT,PUNCT,,PUNCT
19,13,which,PRON,PRON,,PRON
19,14,",",PUNCT,PUNCT,,PUNCT
19,15,as,SCONJ,SCONJ,,SCONJ
19,16,noted,VERB,VERB,,VERB
19,17,in,ADP,ADP,,ADP
19,18,the,DET,DET,,DET
19,19,linked,VERB,VERB,,VERB
19,20,article,NOUN,NOUN,,NOUN
19,21,",",PUNCT,PUNCT,,PUNCT
19,22,commits,VERB,VERB,,VERB
19,23,just,ADV,ADV,,ADV
19,24,about,ADV,ADV,,ADV
19,25,every,DET,PRON,DET,PRON
19,26,sin,NOUN,NOUN,,NOUN
19,27,an,DET,DET,,DET
19,28,online,ADJ,ADJ,,ADJ
19,29,marketer,NOUN,NOUN,,NOUN
19,30,could,AUX,AUX,,AUX
19,31,commit,VERB,VERB,,VERB
19,32,",",PUNCT,PUNCT,,PUNCT
19,33,and,CCONJ,CCONJ,,CCONJ
19,34,makes,VERB,VERB,,VERB
19,35,up,ADP,ADP,,ADP
19,36,a,DET,DET,,DET
19,37,few,ADJ,ADJ,,ADJ
19,38,new,ADJ,ADJ,,ADJ
19,39,ones,NOUN,NOUN,,NOUN
19,40,besides,ADV,ADV,,ADV
19,41,.,PUNCT,PUNCT,,PUNCT
20,0,I,PRON,PRON,,PRON
20,1,'m,AUX,AUX,,AUX
20,2,not,PART,PART,,PART
20,3,fond,ADJ,ADJ,,ADJ
20,4,of,ADP,ADP,,ADP
20,5,the,DET,DET,,DET
20,6,Google,PROPN,PROPN,,PROPN
20,7,-,PUNCT,PUNCT,,PUNCT
20,8,hates,VERB,PROPN,PROPN,PROPN
20,9,-,PUNCT,PUNCT,,PUNCT
20,10,privacy,NOUN,NOUN,,NOUN
20,11,argument,NOUN,NOUN,,NOUN
21,0,(,PUNCT,PUNCT,,PUNCT
21,1,You,PRON,PRON,,PRON
21,2,do,AUX,AUX,,AUX
21,3,n't,PART,PART,,PART
21,4,need,VERB,VERB,,VERB
21,5,to,PART,PART,,PART
21,6,use,VERB,VERB,,VERB
21,7,their,PRON,PRON,,PRON
21,8,site,NOUN,NOUN,,NOUN
21,9,",",PUNCT,PUNCT,,PUNCT
21,10,you,PRON,PRON,,PRON
21,11,can,AUX,AUX,,AUX
21,12,opt,VERB,VERB,,VERB
21,13,-,PUNCT,PUNCT,,PUNCT
21,14,out,ADP,NOUN,NOUN,NOUN
21,15,of,SCONJ,ADP,ADP,ADP
21,16,sharing,VERB,VERB,,VERB
21,17,your,PRON,PRON,,PRON
21,18,information,NOUN,NOUN,,NOUN
21,19,",",PUNCT,PUNCT,,PUNCT
21,20,you,PRON,PRON,,PRON
21,21,do,AUX,AUX,,AUX
21,22,n't,PART,PART,,PART
21,23,need,VERB,VERB,,VERB
21,24,to,PART,PART,,PART
21,25,send,VERB,VERB,,VERB
21,26,stuff,NOUN,NOUN,,NOUN
21,27,to,ADP,ADP,,ADP
21,28,anyone,PRON,PRON,,PRON
21,29,with,ADP,ADP,,ADP
21,30,a,DET,DET,,DET
21,31,Gmail,PROPN,PROPN,,PROPN
21,32,account,NOUN,NOUN,,NOUN
21,33,",",PUNCT,PUNCT,,PUNCT
21,34,and,CCONJ,CCONJ,,CCONJ
21,35,if,SCONJ,SCONJ,,SCONJ
21,36,--,PUNCT,PUNCT,,PUNCT
21,37,wonder,NOUN,NOUN,,NOUN
21,38,of,ADP,ADP,,ADP
21,39,wonders,NOUN,NOUN,,NOUN
21,40,--,PUNCT,PUNCT,,PUNCT
21,41,you,PRON,PRON,,PRON
21,42,'re,AUX,AUX,,AUX
21,43,worried,ADJ,ADJ,,ADJ
21,44,that,SCONJ,SCONJ,,SCONJ
21,45,you,PRON,PRON,,PRON
21,46,might,AUX,AUX,,AUX
21,47,send,VERB,VERB,,VERB
21,48,something,PRON,PRON,,PRON
21,49,to,ADP,ADP,,ADP
21,50,someone,PRON,PRON,,PRON
21,51,who,PRON,PRON,,PRON
21,52,would,AUX,AUX,,AUX
21,53,forward,VERB,VERB,,VERB
21,54,an,DET,DET,,DET
21,55,excerpt,NOUN,NOUN,,NOUN
21,56,to,ADP,ADP,,ADP
21,57,someone,PRON,PRON,,PRON
21,58,who,PRON,PRON,,PRON
21,59,would,AUX,AUX,,AUX
21,60,then,ADV,ADV,,ADV
21,61,store,VERB,VERB,,VERB
21,62,it,PRON,PRON,,PRON
21,63,on,ADP,ADP,,ADP
21,64,a,DET,DET,,DET
21,65,Gmail,PROPN,PROPN,,PROPN
21,66,account,NOUN,NOUN,,NOUN
21,67,...,PUNCT,PUNCT,,PUNCT
21,68,you,PRON,PRON,,PRON
21,69,have,VERB,VERB,,VERB
21,70,far,ADV,ADV,,ADV
21,71,",",PUNCT,PUNCT,,PUNCT
21,72,far,ADV,ADV,,ADV
21,73,too,ADV,ADV,,ADV
21,74,much,ADJ,ADJ,,ADJ
21,75,time,NOUN,NOUN,,NOUN
21,76,on,ADP,ADP,,ADP
21,77,your,PRON,PRON,,PRON
21,78,hands,NOUN,NOUN,,NOUN
21,79,),PUNCT,PUNCT,,PUNCT
21,80,.,PUNCT,PUNCT,,PUNCT
22,0,However,ADV,ADV,,ADV
22,1,",",PUNCT,PUNCT,,PUNCT
22,2,this,DET,DET,,DET
22,3,toolbar,NOUN,NOUN,,NOUN
22,4,is,AUX,AUX,,AUX
22,5,really,ADV,ADV,,ADV
22,6,bad,ADJ,ADJ,,ADJ
22,7,news,NOUN,NOUN,,NOUN
22,8,.,PUNCT,PUNCT,,PUNCT
23,0,On,ADP,ADP,,ADP
23,1,the,DET,DET,,DET
23,2,other,ADJ,ADJ,,ADJ
23,3,hand,NOUN,NOUN,,NOUN
23,4,",",PUNCT,PUNCT,,PUNCT
23,5,it,PRON,PRON,,PRON
23,6,looks,VERB,VERB,,VERB
23,7,pretty,ADV,ADV,,ADV
23,8,cool,ADJ,ADJ,,ADJ
23,9,.,PUNCT,PUNCT,,PUNCT
24,0,Iran,PROPN,PROPN,,PROPN
24,1,says,VERB,VERB,,VERB
24,2,it,PRON,PRON,,PRON
24,3,is,AUX,AUX,,AUX
24,4,creating,VERB,VERB,,VERB
24,5,nuclear,ADJ,ADJ,,ADJ
24,6,energy,NOUN,NOUN,,NOUN
24,7,without,SCONJ,ADP,ADP,ADP
24,8,wanting,VERB,VERB,,VERB
24,9,nuclear,ADJ,ADJ,,ADJ
24,10,weapons,NOUN,NOUN,,NOUN
24,11,.,PUNCT,PUNCT,,PUNCT
25,0,The,DET,DET,,DET
25,1,United,ADJ,PROPN,PROPN,PROPN
25,2,States,PROPN,PROPN,,PROPN
25,3,does,AUX,AUX,,AUX
25,4,n't,PART,PART,,PART
25,5,believe,VERB,VERB,,VERB
25,6,the,DET,DET,,DET
25,7,Iranian,ADJ,ADJ,,ADJ
25,8,Government,NOUN,PROPN,NOUN,PROPN
25,9,.,PUNCT,PUNCT,,PUNCT
26,0,One,PRON,PRON,,PRON
26,1,can,AUX,AUX,,AUX
26,2,suspect,VERB,VERB,,VERB
26,3,the,DET,DET,,DET
26,4,Iranian,ADJ,ADJ,,ADJ
26,5,Government,NOUN,PROPN,NOUN,PROPN
26,6,.,PUNCT,PUNCT,,PUNCT
27,0,But,CCONJ,CCONJ,,CCONJ
27,1,there,PRON,PRON,,PRON
27,2,is,VERB,VERB,,VERB
27,3,no,DET,DET,,DET
27,4,proof,NOUN,NOUN,,NOUN
27,5,.,PUNCT,PUNCT,,PUNCT
28,0,I,PRON,PRON,,PRON
28,1,read,VERB,VERB,,VERB
28,2,an,DET,DET,,DET
28,3,Article,NOUN,NOUN,,NOUN
28,4,in,ADP,ADP,,ADP
28,5,Time,PROPN,PROPN,,PROPN
28,6,magazine,PROPN,NOUN,NOUN,NOUN
28,7,accusing,VERB,VERB,,VERB
28,8,the,DET,DET,,DET
28,9,Iranian,ADJ,ADJ,,ADJ
28,10,Government,NOUN,PROPN,NOUN,PROPN
28,11,of,SCONJ,ADP,ADP,ADP
28,12,being,AUX,AUX,,AUX
28,13,willing,ADJ,ADJ,,ADJ
28,14,to,PART,PART,,PART
28,15,start,VERB,VERB,,VERB
28,16,a,DET,DET,,DET
28,17,nuclear,ADJ,ADJ,,ADJ
28,18,war,NOUN,NOUN,,NOUN
28,19,and,CCONJ,CCONJ,,CCONJ
28,20,I,PRON,PRON,,PRON
28,21,sympathise,VERB,VERB,,VERB
28,22,with,ADP,ADP,,ADP
28,23,the,DET,DET,,DET
28,24,Article,NOUN,PROPN,NOUN,PROPN
28,25,.,PUNCT,PUNCT,,PUNCT
29,0,They,PRON,PRON,,PRON
29,1,are,AUX,AUX,,AUX
29,2,certainly,ADV,ADV,,ADV
29,3,being,AUX,AUX,,AUX
29,4,nasty,ADJ,ADJ,,ADJ
29,5,to,ADP,ADP,,ADP
29,6,the,DET,DET,,DET
29,7,United,ADJ,PROPN,PROPN,PROPN
29,8,Nations,PROPN,PROPN,,PROPN
29,9,Security,PROPN,PROPN,,PROPN
29,10,Council,PROPN,PROPN,,PROPN
29,11,in,ADP,ADP,,ADP
29,12,connection,NOUN,NOUN,,NOUN
29,13,with,ADP,ADP,,ADP
29,14,the,DET,DET,,DET
29,15,anti-proliferation,NOUN,ADJ,ADJ,ADJ
29,16,treaty,NOUN,NOUN,,NOUN
29,17,.,PUNCT,PUNCT,,PUNCT
30,0,The,DET,DET,,DET
30,1,President,PROPN,PROPN,,PROPN
30,2,has,AUX,AUX,,AUX
30,3,also,ADV,ADV,,ADV
30,4,said,VERB,VERB,,VERB
30,5,he,PRON,PRON,,PRON
30,6,would,AUX,AUX,,AUX
30,7,like,VERB,VERB,,VERB
30,8,to,PART,PART,,PART
30,9,see,VERB,VERB,,VERB
30,10,Israel,PROPN,PROPN,,PROPN
30,11,wiped,VERB,VERB,,VERB
30,12,off,ADP,ADP,,ADP
30,13,the,DET,DET,,DET
30,14,map,NOUN,NOUN,,NOUN
30,15,which,PRON,PRON,,PRON
30,16,he,PRON,PRON,,PRON
30,17,could,AUX,AUX,,AUX
30,18,n't,PART,PART,,PART
30,19,even,ADV,ADV,,ADV
30,20,begin,VERB,VERB,,VERB
30,21,to,PART,PART,,PART
30,22,try,VERB,VERB,,VERB
30,23,without,ADP,ADP,,ADP
30,24,nuclear,ADJ,ADJ,,ADJ
30,25,weapons,NOUN,NOUN,,NOUN
30,26,.,PUNCT,PUNCT,,PUNCT
31,0,But,CCONJ,CCONJ,,CCONJ
31,1,he,PRON,PRON,,PRON
31,2,has,AUX,AUX,,AUX
31,3,insisted,VERB,VERB,,VERB
31,4,that,SCONJ,SCONJ,,SCONJ
31,5,he,PRON,PRON,,PRON
31,6,wants,VERB,VERB,,VERB
31,7,nuclear,ADJ,ADJ,,ADJ
31,8,power,NOUN,NOUN,,NOUN
31,9,for,ADP,ADP,,ADP
31,10,peaceful,ADJ,ADJ,,ADJ
31,11,purposes,NOUN,NOUN,,NOUN
31,12,.,PUNCT,PUNCT,,PUNCT
32,0,Many,ADJ,ADJ,,ADJ
32,1,people,NOUN,NOUN,,NOUN
32,2,want,VERB,VERB,,VERB
32,3,to,PART,PART,,PART
32,4,use,VERB,VERB,,VERB
32,5,diplomacy,NOUN,NOUN,,NOUN
32,6,with,ADP,ADP,,ADP
32,7,Iran,PROPN,PROPN,,PROPN
32,8,rather,ADP,ADV,ADV,ADV
32,9,than,ADP,ADP,,ADP
32,10,military,ADJ,ADJ,,ADJ
32,11,pressure,NOUN,NOUN,,NOUN
32,12,.,PUNCT,PUNCT,,PUNCT
33,0,But,CCONJ,CCONJ,,CCONJ
33,1,will,AUX,AUX,,AUX
33,2,diplomacy,NOUN,NOUN,,NOUN
33,3,work,VERB,VERB,,VERB
33,4,?,PUNCT,PUNCT,,PUNCT
34,0,And,CCONJ,CCONJ,,CCONJ
34,1,can,AUX,AUX,,AUX
34,2,anyone,PRON,PRON,,PRON
34,3,use,VERB,VERB,,VERB
34,4,military,ADJ,ADJ,,ADJ
34,5,pressure,NOUN,NOUN,,NOUN
34,6,without,ADP,ADP,,ADP
34,7,proof,NOUN,NOUN,,NOUN
34,8,?,PUNCT,PUNCT,,PUNCT
35,0,One,NUM,NUM,,NUM
35,1,reader,NOUN,NOUN,,NOUN
35,2,pointed,VERB,VERB,,VERB
35,3,out,ADP,ADP,,ADP
35,4,that,SCONJ,SCONJ,,SCONJ
35,5,the,DET,DET,,DET
35,6,President,PROPN,PROPN,,PROPN
35,7,watched,VERB,VERB,,VERB
35,8,the,DET,DET,,DET
35,9,Americans,PROPN,PROPN,,PROPN
35,10,in,ADP,ADP,,ADP
35,11,the,DET,DET,,DET
35,12,embassy,NOUN,NOUN,,NOUN
35,13,when,ADV,SCONJ,SCONJ,SCONJ
35,14,they,PRON,PRON,,PRON
35,15,took,VERB,VERB,,VERB
35,16,them,PRON,PRON,,PRON
35,17,hostage,NOUN,NOUN,,NOUN
35,18,.,PUNCT,PUNCT,,PUNCT
36,0,He,PRON,PRON,,PRON
36,1,has,AUX,AUX,,AUX
36,2,denied,VERB,VERB,,VERB
36,3,this,PRON,PRON,,PRON
36,4,.,PUNCT,PUNCT,,PUNCT
37,0,We,PRON,PRON,,PRON
37,1,do,AUX,AUX,,AUX
37,2,n't,PART,PART,,PART
37,3,have,VERB,VERB,,VERB
37,4,to,PART,PART,,PART
37,5,believe,VERB,VERB,,VERB
37,6,him,PRON,PRON,,PRON
37,7,.,PUNCT,PUNCT,,PUNCT
38,0,But,CCONJ,CCONJ,,CCONJ
38,1,we,PRON,PRON,,PRON
38,2,ca,AUX,AUX,,AUX
38,3,n't,PART,PART,,PART
38,4,prove,VERB,VERB,,VERB
38,5,it,PRON,PRON,,PRON
38,6,.,PUNCT,PUNCT,,PUNCT
39,0,It,PRON,PRON,,PRON
39,1,does,AUX,AUX,,AUX
39,2,seem,VERB,VERB,,VERB
39,3,that,SCONJ,SCONJ,,SCONJ
39,4,Iranians,PROPN,PROPN,,PROPN
39,5,frequently,ADV,ADV,,ADV
39,6,make,VERB,VERB,,VERB
39,7,statements,NOUN,NOUN,,NOUN
39,8,and,CCONJ,CCONJ,,CCONJ
39,9,then,ADV,ADV,,ADV
39,10,hide,VERB,VERB,,VERB
39,11,behind,ADP,ADP,,ADP
39,12,lack,NOUN,NOUN,,NOUN
39,13,of,ADP,ADP,,ADP
39,14,proof,NOUN,NOUN,,NOUN
39,15,.,PUNCT,PUNCT,,PUNCT
40,0,Angry,ADJ,ADJ,,ADJ
40,1,crowds,NOUN,NOUN,,NOUN
40,2,chanted,VERB,VERB,,VERB
40,3,anti-American,ADJ,ADJ,,ADJ
40,4,slogans,NOUN,NOUN,,NOUN
40,5,in,ADP,ADP,,ADP
40,6,the,DET,DET,,DET
40,7,western,ADJ,ADJ,,ADJ
40,8,city,NOUN,NOUN,,NOUN
40,9,of,ADP,ADP,,ADP
40,10,Falluja,PROPN,PROPN,,PROPN
40,11,(,PUNCT,PUNCT,,PUNCT
40,12,pop.,NOUN,PROPN,VERB,PROPN
40,13,"256,000",NUM,NUM,,NUM
40,14,),PUNCT,PUNCT,,PUNCT
40,15,as,SCONJ,SCONJ,,SCONJ
40,16,the,DET,DET,,DET
40,17,security,NOUN,NOUN,,NOUN
40,18,police,NOUN,NOUN,,NOUN
40,19,killed,VERB,VERB,,VERB
40,20,in,ADP,ADP,,ADP
40,21,a,DET,DET,,DET
40,22,friendly,ADJ,ADJ,,ADJ
40,23,fire,NOUN,NOUN,,NOUN
40,24,incident,NOUN,NOUN,,NOUN
40,25,by,ADP,ADP,,ADP
40,26,US,PROPN,PROPN,,PROPN
40,27,troops,NOUN,NOUN,,NOUN
40,28,were,AUX,AUX,,AUX
40,29,buried,VERB,VERB,,VERB
40,30,on,ADP,ADP,,ADP
40,31,Saturday,PROPN,PROPN,,PROPN
40,32,.,PUNCT,PUNCT,,PUNCT
41,0,Reuters,PROPN,PROPN,,PROPN
