,Unnamed: 0,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma,algorithm_1,algorithm_2,algorithm_3,algorithm_4,algorithm_5,algorithm_6,algorithm_7,algorithm_8,algorithm_9
65,65,4,1,BuzzMachine,PROPN,PROPN,NOUN,NOUN,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,BuzzMachine,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
66,66,4,2,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
67,67,4,3,argues,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,argue,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
68,68,4,4,that,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,that,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ,SCONJ
69,69,4,5,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
70,70,4,6,'s,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,'s,PART,PART,PART,PART,PART,PART,PART,PART,PART
71,71,4,7,rush,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,rush,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
72,72,4,8,toward,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,toward,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
73,73,4,9,ubiquity,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ubiquity,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
74,74,4,10,might,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,might,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
75,75,4,11,backfire,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,backfire,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
76,76,4,12,--,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,--,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
77,77,4,13,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
78,78,4,14,we,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,we,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
79,79,4,15,'ve,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,have,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
80,80,4,16,all,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,all,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
81,81,4,17,heard,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,hear,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
82,82,4,18,before,ADV,ADV,ADV,ADV,ADP,ADV,ADV,ADV,ADV,ADV,ADV,before,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
83,83,4,19,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
84,84,4,20,but,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,but,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ
85,85,4,21,it,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,it,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
86,86,4,22,'s,AUX,AUX,AUX,AUX,VERB,AUX,VERB,VERB,VERB,VERB,VERB,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
87,87,4,23,particularly,ADV,ADV,PUNCT,PUNCT,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,particularly,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
88,88,4,24,well,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADV,ADJ,ADJ,ADJ,ADJ,well,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
89,89,4,25,-,PUNCT,PUNCT,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,-,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
90,90,4,26,put,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,put,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
91,91,4,27,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
92,92,4,28,this,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this,DET,DET,DET,DET,DET,DET,DET,DET,DET
93,93,4,29,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
94,94,4,30,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
95,95,5,0,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN
96,96,5,1,is,AUX,AUX,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
97,97,5,2,a,DET,DET,DET,DET,DET,DET,ADV,ADV,ADV,ADV,ADV,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
98,98,5,3,nice,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nice,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ
99,99,5,4,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
100,100,5,5,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
101,101,5,6,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
102,102,6,0,Does,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,do,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
103,103,6,1,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
104,104,6,2,use,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,use,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
105,105,6,3,it,PRON,PRON,PRON,PRON,PRON,PRON,PROPN,PROPN,PROPN,PROPN,PROPN,it,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
106,106,6,4,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
107,107,6,5,anything,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anything,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
108,108,6,6,else,ADJ,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,else,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
109,109,6,7,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
110,110,7,0,They,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,they,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
111,111,7,1,own,VERB,VERB,AUX,AUX,AUX,AUX,VERB,VERB,VERB,VERB,VERB,own,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
112,112,7,2,blogger,PROPN,NOUN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,blogger,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
113,113,7,3,",",PUNCT,PUNCT,PROPN,PROPN,PROPN,NOUN,NOUN,PUNCT,PUNCT,PUNCT,PUNCT,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
114,114,7,4,of,ADP,ADP,ADP,ADP,ADP,ADP,ADV,ADP,ADP,ADP,ADP,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
115,115,7,5,course,NOUN,NOUN,NOUN,NOUN,NOUN,PRON,NOUN,NOUN,NOUN,PRON,NOUN,course,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
116,116,7,6,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
117,117,8,0,Is,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
118,118,8,1,that,PRON,PRON,PRON,PRON,PROPN,PROPN,PRON,PROPN,PROPN,PROPN,PROPN,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
119,119,8,2,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a,DET,DET,DET,DET,DET,DET,DET,DET,DET
120,120,8,3,money,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,money,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
121,121,8,4,maker,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,maker,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN
122,122,8,5,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT
123,123,9,0,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON
124,124,9,1,'m,AUX,AUX,AUX,AUX,VERB,AUX,VERB,VERB,VERB,VERB,VERB,be,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX
125,125,9,2,staying,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,stay,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB
126,126,9,3,away,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,away,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV
127,127,9,4,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP
