,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,BERT tag,BERT replacements,entropy,%OPENCLASS,POS PREDICTIONS,ROBERTA REPLACEMENTS
10,same,same,0.025641026,0.0,4,"you can tell that he's really clever and witty... quite taken with that.. want to go to new york to see the city he lives in, if it has the same vibe.. and want to try to explore some  more music..",982,20,34,"('you', 'can', 'tell', 'that', 'he', ""'s"", 'really', 'clever', 'and', 'witty', '...', 'quite', 'taken', 'with', 'that', '..', 'want', 'to', 'go', 'to', 'new', 'york', 'to', 'see', 'the', 'city', 'he', 'lives', 'in', ',', 'if', 'it', 'has', 'the', 'same', 'vibe', '..', 'and', 'want', 'to', 'try', 'to', 'explore', 'some', ' ', 'more', 'music', '..')",156,ADJ,"['right', 'same', 'best', 'perfect', 'good']",0.172036949,0.981132075,ADJ,"['same', 'right', 'good', 'cool', 'best']"
11,same,same,0.025641026,0.0,4,"something should be done, like say 'write about an animal the same color as your favorite color and starts w/ the same letter as your first name and their experience at the fair' or something like that (shut up, you try and think of something specific and relevant)...this parenthetical statement kind of justifies the broad essay...ack.",895,9,23,"('something', 'should', 'be', 'done', ',', 'like', 'say', ""'"", 'write', 'about', 'an', 'animal', 'the', 'same', 'color', 'as', 'your', 'favorite', 'color', 'and', 'starts', 'w/', 'the', 'same', 'letter', 'as', 'your', 'first', 'name', 'and', 'their', 'experience', 'at', 'the', 'fair', ""'"", 'or', 'something', 'like', 'that', '(', 'shut', 'up', ',', 'you', 'try', 'and', 'think', 'of', 'something', 'specific', 'and', 'relevant)', '...', 'this', 'parenthetical', 'statement', 'kind', 'of', 'justifies', 'the', 'broad', 'essay', '...', 'ack', '.')",156,ADJ,"['same', 'opposite', 'similar', 'wrong', 'following']",0.172036949,0.981132075,ADJ,"['same', 'first', 'last', 'letter', 'opposite']"
12,same,same,0.025641026,0.0,4,"I have been doing the same thing with another man, stuart.",209,18,5,"('I', 'have', 'been', 'doing', 'the', 'same', 'thing', 'with', 'another', 'man', ',', 'stuart', '.')",156,ADJ,"['same', 'right', 'wrong', 'opposite', 'whole']",0.172036949,0.981132075,ADJ,"['same', 'exact', 'whole', 'right', 'very']"
13,same,same,0.025641026,0.0,4,"Her husband said it best, though, when he said, 'we are very sad to lose our son in the war, but we are more sad to know that families all over america are having the same thing happen to them right now.'",48,65,40,"('Her', 'husband', 'said', 'it', 'best', ',', 'though', ',', 'when', 'he', 'said', ',', ""'"", 'we', 'are', 'very', 'sad', 'to', 'lose', 'our', 'son', 'in', 'the', 'war', ',', 'but', 'we', 'are', 'more', 'sad', 'to', 'know', 'that', 'families', 'all', 'over', 'america', 'are', 'having', 'the', 'same', 'thing', 'happen', 'to', 'them', 'right', 'now', '.', ""'"")",156,ADJ,"['same', 'worst', 'bad', 'best', 'wrong']",0.172036949,0.981132075,ADJ,"['same', 'worst', 'terrible', 'horrible', 'very']"
14,part,Part,0.026490066,0.0,4,Part 2: putting your h-bomb together the heart of the h-bomb is the fusion process.,2,167,0,"('Part', '2', ':', 'putting', 'your', 'h', '-', 'bomb', 'together', 'the', 'heart', 'of', 'the', 'h', '-', 'bomb', 'is', 'the', 'fusion', 'process', '.')",151,NOUN,"['Step', 'Stage', 'Rule', 'Table', 'Note']",0.176472059,0.967948718,NOUN,"['Step', 'Part', 'step', 'Chapter', 'part']"
15,part,part,0.026490066,0.0,4,"When we part and walk away, the warmth remains on our lips.",75,23,2,"('When', 'we', 'part', 'and', 'walk', 'away', ',', 'the', 'warmth', 'remains', 'on', 'our', 'lips', '.')",151,VERB,"['turn', 'nod', 'stand', 'smile', 'rise']",0.176472059,0.967948718,VERB,"['smile', 'turn', 'leave', 'stop', 'drink']"
16,part,part,0.026490066,0.0,4,Money that i found hard to part with.,351,33,6,"('Money', 'that', 'i', 'found', 'hard', 'to', 'part', 'with', '.')",151,VERB,"['deal', 'live', 'work', 'cope', 'identify']",0.176472059,0.967948718,VERB,"['live', 'deal', 'work', 'part', 'do']"
17,part,parted,0.026490066,0.0,4,"He cut it to a healthy length, parted it down the middle and added subtle layers.",524,35,8,"('He', 'cut', 'it', 'to', 'a', 'healthy', 'length', ',', 'parted', 'it', 'down', 'the', 'middle', 'and', 'added', 'subtle', 'layers', '.')",151,VERB,"['cut', 'sliced', 'split', 'folded', 'rolled']",0.176472059,0.967948718,VERB,"['split', 'cut', 'spread', 'torn', 'tied']"
18,number,number,0.029850746,0.0,2,"There is a greatly decreased number of tuesday/thursday classes and some of my favorite teachers arn't teaching the classes i need to take, which is okay because the classes arn't at time i can take them anyways.",271,8,5,"('There', 'is', 'a', 'greatly', 'decreased', 'number', 'of', 'tuesday', '/', 'thursday', 'classes', 'and', 'some', 'of', 'my', 'favorite', 'teachers', ""arn't"", 'teaching', 'the', 'classes', 'i', 'need', 'to', 'take', ',', 'which', 'is', 'okay', 'because', 'the', 'classes', ""arn't"", 'at', 'time', 'i', 'can', 'take', 'them', 'anyways', '.')",67,NOUN,"['number', 'amount', 'rate', 'supply', 'frequency']",0.193642805,0.971014493,NOUN,"['number', 'amount', 'volume', 'percentage', 'rate']"
19,number,number,0.029850746,0.0,2,"Two words, or rather a word and a number:  doom.",847,0,9,"('Two', 'words', ',', 'or', 'rather', 'a', 'word', 'and', 'a', 'number', ':', ' ', 'doom', '.')",67,NOUN,"['word', 'phrase', 'sentence', 'name', 'thought']",0.193642805,0.971014493,NOUN,"['word', 'phrase', 'sound', 'one', 'half']"
20,movie,Movie,0.006134969,0.024539877,1,"Movie watching is a solitary act anyway, unless, of course, you are at home snuggled up on a couch.",527,20,0,"('Movie', 'watching', 'is', 'a', 'solitary', 'act', 'anyway', ',', 'unless', ',', 'of', 'course', ',', 'you', 'are', 'at', 'home', 'snuggled', 'up', 'on', 'a', 'couch', '.')",163,NOUN,"['The', 'People', 'TV', 'But', 'Anyone']",0.219910006,1.0,NOUN,"['TV', 'Television', 'Movie', 'Film', 'Movies']"
21,hole,holed,0.039215686,0.0,2,"i almost holed out for eagle on #12, a par 5.",886,18,2,"('i', 'almost', 'holed', 'out', 'for', 'eagle', 'on', '#', '12', ',', 'a', 'par', '5', '.')",51,VERB,"['went', 'came', 'was', 'were', 'missed']",0.238684511,1.0,VERB,"['went', 'missed', 'ran', 'came', 'left']"
22,hole,holed,0.039215686,0.0,2,"Eg's family have arrived and are doing well, holed up at oakford mews, off commercial rd in south yarra.",399,3,10,"('Eg', ""'s"", 'family', 'have', 'arrived', 'and', 'are', 'doing', 'well', ',', 'holed', 'up', 'at', 'oakford', 'mews', ',', 'off', 'commercial', 'rd', 'in', 'south', 'yarra', '.')",51,VERB,"['staying', 'showing', 'settling', 'ending', 'growing']",0.238684511,1.0,VERB,"['meeting', 'set', 'meet', 'met', 'setting']"
23,bar,barring,0.012345679,0.024691358,1,"Um, i guess i've never been out on easter sunday to realize that we still observe this holiday by barring heathens from their purchases.",496,21,21,"('Um', ',', 'i', 'guess', 'i', ""'ve"", 'never', 'been', 'out', 'on', 'easter', 'sunday', 'to', 'realize', 'that', 'we', 'still', 'observe', 'this', 'holiday', 'by', 'barring', 'heathens', 'from', 'their', 'purchases', '.')",81,SCONJ,"['removing', 'picking', 'saving', 'stealing', 'separating']",0.262549101,0.964285714,SCONJ,"['keeping', 'taking', 'telling', 'buying', 'visiting']"
24,perfect,perfected,0.051724138,0.0,3,"I said, 'no you didn't' and then explained how bill gates just made a pc version of the perfected mac interface because people were sick of having to remember which drive to boot up and save on.",492,54,22,"('I', 'said', ',', ""'"", 'no', 'you', 'did', ""n't"", ""'"", 'and', 'then', 'explained', 'how', 'bill', 'gates', 'just', 'made', 'a', 'pc', 'version', 'of', 'the', 'perfected', 'mac', 'interface', 'because', 'people', 'were', 'sick', 'of', 'having', 'to', 'remember', 'which', 'drive', 'to', 'boot', 'up', 'and', 'save', 'on', '.')",58,ADJ,"['old', 'original', 'standard', 'classic', 'new']",0.29367631,0.983050847,ADJ,"['old', 'original', 'classic', 'standard', 'same']"
25,perfect,perfect,0.051724138,0.0,3,"the driving force is to have a neat labelled pigeon-hole-type box for the relationship that others will understand with the minimum of explanation; but if every relationship (an analogue quantity if every there was one) is forced into one of any number of discrete boxes (digital classification) then the fit will never ne perfect (analogue-to-digitl conversion, and information is irrevocably lost).",169,8,62,"('the', 'driving', 'force', 'is', 'to', 'have', 'a', 'neat', 'labelled', 'pigeon', '-', 'hole', '-', 'type', 'box', 'for', 'the', 'relationship', 'that', 'others', 'will', 'understand', 'with', 'the', 'minimum', 'of', 'explanation', ';', 'but', 'if', 'every', 'relationship', '(', 'an', 'analogue', 'quantity', 'if', 'every', 'there', 'was', 'one', ')', 'is', 'forced', 'into', 'one', 'of', 'any', 'number', 'of', 'discrete', 'boxes', '(', 'digital', 'classification', ')', 'then', 'the', 'fit', 'will', 'never', 'ne', 'perfect', '(', 'analogue', '-', 'to', '-', 'digitl', 'conversion', ',', 'and', 'information', 'is', 'irrevocably', 'lost', ')', '.')",58,PUNCT,['##gategateduterbulagation'],0.29367631,0.983050847,ADJ,"['true', 'in', 'ify', 'made', 'right']"
26,perfect,perfect,0.051724138,0.0,3,"Their friends say that a. and b. are perfect together, they compliment each other, and that they are deeply in love.",519,17,8,"('Their', 'friends', 'say', 'that', 'a.', 'and', 'b.', 'are', 'perfect', 'together', ',', 'they', 'compliment', 'each', 'other', ',', 'and', 'that', 'they', 'are', 'deeply', 'in', 'love', '.')",58,ADJ,"['good', 'happy', 'great', 'beautiful', 'perfect']",0.29367631,0.983050847,ADJ,"['happy', 'great', 'beautiful', 'cute', 'adorable']"
27,wrong,wrong,0.029411765,0.0,2,wads wrong with eating tomato! heck la..den we left first..went co-op shop..damn lor..bought choc..but share..so not too bad.crunch.nice la..today class was from 9-6pm..but fruits still the best.,115,5,1,"('wads', 'wrong', 'with', 'eating', 'tomato', '!', 'heck', 'la', '..', 'den', 'we', 'left', 'first', '..', 'went', 'co', '-', 'op', 'shop', '..', 'damn', 'lor', '..', 'bought', 'choc', '..', 'but', 'share', '..', 'so', 'not', 'too', 'bad.crunch.nice', 'la', '..', 'today', 'class', 'was', 'from', '9', '-', '6pm', '..', 'but', 'fruits', 'still', 'the', 'best', '.')",68,VERB,"['filled', 'heavyy', 'stuffed,']",0.301375961,0.971428571,VERB,"['started', 'start', 'up', 'me', 'out']"
28,wrong,wrong,0.029411765,0.0,2,cooked carrots lose the texture which is the main attraction for me.  20 million bunny rabbits cant be wrong :)  2.,861,11,21,"('cooked', 'carrots', 'lose', 'the', 'texture', 'which', 'is', 'the', 'main', 'attraction', 'for', 'me', '.', ' ', '20', 'million', 'bunny', 'rabbits', 'ca', 'nt', 'be', 'wrong', ':)', ' ', '2', '.')",68,PUNCT,"['(', ':fggin']",0.301375961,0.971428571,ADJ,"['enough', 'bad', 'wrong', 'much', 'hurt']"
29,water,watered,0.060606061,0.0,4,It made me sad to think that things would be so watered down for the people ate at this place.,281,25,11,"('It', 'made', 'me', 'sad', 'to', 'think', 'that', 'things', 'would', 'be', 'so', 'watered', 'down', 'for', 'the', 'people', 'ate', 'at', 'this', 'place', '.')",66,VERB,"['settled', 'run', 'upside', 'shut', 'closed']",0.32984607,1.0,VERB,"['turned', 'broken', 'let', 'run', 'closed']"
30,water,watering,0.060606061,0.0,4,"It smells like home, like a weekday dinnertime when a family's house is quiet after a day of harried activities and mouths are watering.",491,3,25,"('It', 'smells', 'like', 'home', ',', 'like', 'a', 'weekday', 'dinnertime', 'when', 'a', 'family', ""'s"", 'house', 'is', 'quiet', 'after', 'a', 'day', 'of', 'harried', 'activities', 'and', 'mouths', 'are', 'watering', '.')",66,ADJ,"['open', 'full', 'dry', 'moving', 'busy']",0.32984607,1.0,ADJ,"['full', 'open', 'covered', 'busy', 'empty']"
31,water,watered,0.060606061,0.0,4,"It did nothing for them because kids don't watch videos anymore, they want the (non) reality shows or the watered down, over-produced, uncreative pop star in their mist, and they only want the 10 best knows videos of the day.",485,23,23,"('It', 'did', 'nothing', 'for', 'them', 'because', 'kids', 'do', ""n't"", 'watch', 'videos', 'anymore', ',', 'they', 'want', 'the', '(', 'non', ')', 'reality', 'shows', 'or', 'the', 'watered', 'down', ',', 'over', '-', 'produced', ',', 'uncreative', 'pop', 'star', 'in', 'their', 'mist', ',', 'and', 'they', 'only', 'want', 'the', '10', 'best', 'knows', 'videos', 'of', 'the', 'day', '.')",66,VERB,"['stripped', 'let', 'run', 'worn', 'turned']",0.32984607,1.0,VERB,"['run', 'cut', 'put', 'let', 'low']"
32,water,water,0.060606061,0.0,4,"'that guy was so dumb, i killed him b/c he tryed to water my flowers,i told him to stay away but he kept on screwin with them, so i got out my sword cuz i dont believe in gun, and i be-headed him'.",718,43,16,"(""'"", 'that', 'guy', 'was', 'so', 'dumb', ',', 'i', 'killed', 'him', 'b', '/', 'c', 'he', 'tryed', 'to', 'water', 'my', 'flowers', ',', 'i', 'told', 'him', 'to', 'stay', 'away', 'but', 'he', 'kept', 'on', 'screwin', 'with', 'them', ',', 'so', 'i', 'got', 'out', 'my', 'sword', 'cuz', 'i', 'do', 'nt', 'believe', 'in', 'gun', ',', 'and', 'i', 'be', '-', 'headed', 'him', ""'"", '.')",66,VERB,"['steal', 'take', 'get', 'buy', 'kill']",0.32984607,1.0,VERB,"['take', 'eat', 'grab', 'get', 'destroy']"
33,store,store,0.05,0.0,4,"They all have a few things in common: lockers (which i wondered about before, but now i've used them a few times to store things i bought--and at about $1 a day they're a pretty good deal), payphones (something you don't see a lot of overground), washrooms (some are better than others), a lotto booth and usually a little convenience store, gift shop, flower shop and/or food seller.",53,14,27,"('They', 'all', 'have', 'a', 'few', 'things', 'in', 'common', ':', 'lockers', '(', 'which', 'i', 'wondered', 'about', 'before', ',', 'but', 'now', 'i', ""'ve"", 'used', 'them', 'a', 'few', 'times', 'to', 'store', 'things', 'i', 'bought', '--', 'and', 'at', 'about', '$', '1', 'a', 'day', 'they', ""'re"", 'a', 'pretty', 'good', 'deal', ')', ',', 'payphones', '(', 'something', 'you', 'do', ""n't"", 'see', 'a', 'lot', 'of', 'overground', ')', ',', 'washrooms', '(', 'some', 'are', 'better', 'than', 'others', ')', ',', 'a', 'lotto', 'booth', 'and', 'usually', 'a', 'little', 'convenience', 'store', ',', 'gift', 'shop', ',', 'flower', 'shop', 'and/or', 'food', 'seller', '.')",80,PART,"['store', 'buy', 'sell', 'replace', 'get']",0.382410573,1.0,PART,"['store', 'keep', 'put', 'leave', 'carry']"
34,store,stored,0.05,0.0,4,Where all my contacts (and the free pass-sms to 'chicago') were stored.,386,13,17,"('Where', 'all', 'my', 'contacts', '(', 'and', 'the', 'free', 'pass', '-', 'sms', 'to', ""'"", 'chicago', ""'"", ')', 'were', 'stored', '.')",80,VERB,"['located', 'gone', 'safe', 'kept', 'situated']",0.382410573,1.0,VERB,"['located', 'kept', 'hidden', 'found', 'from']"
35,store,store,0.05,0.0,4,"(safety note: concentrated hydrofluoric acid is so corrosive that it will eat its way through glass, so store it only in plastic.",2,74,20,"('(', 'safety', 'note', ':', 'concentrated', 'hydrofluoric', 'acid', 'is', 'so', 'corrosive', 'that', 'it', 'will', 'eat', 'its', 'way', 'through', 'glass', ',', 'so', 'store', 'it', 'only', 'in', 'plastic', '.')",80,VERB,"['does', 'is', 'leaving', 'coating', 'storing']",0.382410573,1.0,VERB,"['use', 'apply', 'put', 'store', 'place']"
36,store,stored,0.05,0.0,4,so i don't need to carry change or fish around for my wallet or 'stored-value' ticket.,28,9,30,"('so', 'i', 'do', ""n't"", 'need', 'to', 'carry', 'change', 'or', 'fish', 'around', 'for', 'my', 'wallet', 'or', ""'"", 'stored', '-', 'value', ""'"", 'ticket', '.')",80,,,0.382410573,1.0,,['']
37,trip,tripped,0.078125,0.0,5,"Well, first thing in the morning nearly tripped...",724,9,8,"('Well', ',', 'first', 'thing', 'in', 'the', 'morning', 'nearly', 'tripped', '...')",64,NOUN,"['dawn', 'noon', 'midnight', 'immediately', 'sunrise']",0.395537806,0.984615385,NUM,"['6', '8', '10', 'eight', '5']"
38,trip,tripped,0.078125,0.0,5,"Early in the morning, go down the road to hop on my father's car, and nearly tripped on a couple of 'invisible' stones!",724,4,19,"('Early', 'in', 'the', 'morning', ',', 'go', 'down', 'the', 'road', 'to', 'hop', 'on', 'my', 'father', ""'s"", 'car', ',', 'and', 'nearly', 'tripped', 'on', 'a', 'couple', 'of', ""'"", 'invisible', ""'"", 'stones', '!')",64,VERB,"['trip', 'fall', 'step', 'stumble', 'walk']",0.395537806,0.984615385,VERB,"['land', 'crash', 'fall', 'fell', 'jump']"
39,trip,tripped,0.078125,0.0,5,"Mliara tripped on a piece of rock and fell, blood was spotted on her knees.",219,84,1,"('Mliara', 'tripped', 'on', 'a', 'piece', 'of', 'rock', 'and', 'fell', ',', 'blood', 'was', 'spotted', 'on', 'her', 'knees', '.')",64,VERB,"['tripped', 'slipped', 'landed', 'stumbled', 'stepped']",0.395537806,0.984615385,VERB,"['stood', 'sat', 'fell', 'got', 'ran']"
40,trip,tripped,0.078125,0.0,5,"But while walking through the corn field caitlin tripped over a bar typed object, it was a water spicket.",705,77,8,"('But', 'while', 'walking', 'through', 'the', 'corn', 'field', 'caitlin', 'tripped', 'over', 'a', 'bar', 'typed', 'object', ',', 'it', 'was', 'a', 'water', 'spicket', '.')",64,PUNCT,"[""'cing,yingg""]",0.395537806,0.984615385,VERB,"['came', 'fell', 'ran', 'walked', 'turned']"
41,trip,trip,0.078125,0.0,5,"and flintheart glomgold swipes my stud finder, as the beagle boys make off with my car, and magica despell turns me straight (ewww.), and launchpad and doofus continually trip in the corner while webby plays dress-up with bubba.",633,11,34,"('and', 'flintheart', 'glomgold', 'swipes', 'my', 'stud', 'finder', ',', 'as', 'the', 'beagle', 'boys', 'make', 'off', 'with', 'my', 'car', ',', 'and', 'magica', 'despell', 'turns', 'me', 'straight', '(', 'ewww', '.', ')', ',', 'and', 'launchpad', 'and', 'doofus', 'continually', 'trip', 'in', 'the', 'corner', 'while', 'webby', 'plays', 'dress', '-', 'up', 'with', 'bubba', '.', '   ')",64,VERB,"['stand', 'sit', 'hide', 'play', 'appear']",0.395537806,0.984615385,VERB,"['dance', 'sit', 'stand', 'wait', 'fight']"
42,cool,cooling,0.037313433,0.02238806,5,"this post is my take on who is 'hot' and who is 'cooling off', based on performance over the last week or so.",855,0,15,"('this', 'post', 'is', 'my', 'take', 'on', 'who', 'is', ""'"", 'hot', ""'"", 'and', 'who', 'is', ""'"", 'cooling', 'off', ""'"", ',', 'based', 'on', 'performance', 'over', 'the', 'last', 'week', 'or', 'so', '.')",134,VERB,"['pissed', 'bad', 'better', 'showing', 'well']",0.446032746,0.957142857,VERB,"['way', 'hot', 'well', 'better', 'cut']"
43,cool,cool,0.037313433,0.02238806,5,A friend of mine from  urllink geoje-do  (cool blog about teaching experiences on geoje-do  urllink here ) came up this weekend with a couple of buds from the island.,58,8,12,"('A', 'friend', 'of', 'mine', 'from', ' ', 'urllink', 'geoje', '-', 'do', ' ', '(', 'cool', 'blog', 'about', 'teaching', 'experiences', 'on', 'geoje', '-', 'do', ' ', 'urllink', 'here', ')', 'came', 'up', 'this', 'weekend', 'with', 'a', 'couple', 'of', 'buds', 'from', 'the', 'island', '.')",134,DET,"['a', 'the', 'I', 'no', 'see']",0.446032746,0.957142857,PRON,"['my', 'a', 'his', 'my', 'to']"
44,cool,Cooling,0.037313433,0.02238806,5,"Cooling off: hitters:  pittsburgh in general- 2-8 last 10 games, mackowiak, ward, and   jack wilson went a combined 15/81 last week, and 3 games v. oak   this week don't look promising either.",855,17,0,"('Cooling', 'off', ':', 'hitters', ':', ' ', 'pittsburgh', 'in', 'general-', '2', '-', '8', 'last', '10', 'games', ',', 'mackowiak', ',', 'ward', ',', 'and', '  ', 'jack', 'wilson', 'went', 'a', 'combined', '15/81', 'last', 'week', ',', 'and', '3', 'games', 'v.', 'oak', '  ', 'this', 'week', 'do', ""n't"", 'look', 'promising', 'either', '.')",134,ADV,"['First', 'Day', 'Better', 'Worst', 'Week']",0.446032746,0.957142857,VERB,"['First', 'write', 'first', 'face', 'check']"
45,cool,cool,0.037313433,0.02238806,5,I said 'be my queen if you know what i mean and let us do the wild thing  wild thing  wild thing     shoppin' at the mall looking for some gear to buy  i saw this girl she cool rocked my world,631,4,43,"('I', 'said', ""'"", 'be', 'my', 'queen', 'if', 'you', 'know', 'what', 'i', 'mean', 'and', 'let', 'us', 'do', 'the', 'wild', 'thing', ' ', 'wild', 'thing', ' ', 'wild', 'thing', '    ', 'shoppin', ""'"", 'at', 'the', 'mall', 'looking', 'for', 'some', 'gear', 'to', 'buy', ' ', 'i', 'saw', 'this', 'girl', 'she', 'cool', 'rocked', 'my', 'world')",134,VERB,"['loved', 'knew', 'was', 'said', 'had']",0.446032746,0.957142857,ADV,"['just', 'literally', 'really', 'totally', 'completely']"
46,cool,cooling,0.037313433,0.02238806,5,"It's 4:00pm, i figured it would start cooling off but my house defies me again and shows it self for the oven that it is.",264,4,9,"('It', ""'s"", '4:00pm', ',', 'i', 'figured', 'it', 'would', 'start', 'cooling', 'off', 'but', 'my', 'house', 'defies', 'me', 'again', 'and', 'shows', 'it', 'self', 'for', 'the', 'oven', 'that', 'it', 'is', '.')",134,PRON,"['me', 'you', 'right', 'it', 'itself']",0.446032746,0.957142857,ADV,"['right', 'me', 'cool', 'coming', 'well']"
47,thought,thought,0.070422535,0.0,5,"The reminder served to halt all trains of thought and brought great, sobbing tears to my eyes.",472,3,8,"('The', 'reminder', 'served', 'to', 'halt', 'all', 'trains', 'of', 'thought', 'and', 'brought', 'great', ',', 'sobbing', 'tears', 'to', 'my', 'eyes', '.')",71,NOUN,"['emotion', 'grief', 'thought', 'tears', 'emotions']",0.472795735,1.0,NOUN,"['thought', 'thoughts', 'mind', 'words', 'thinking']"
