,Sentence_Count,Token_ID,Word,UD_POS,SPACY_POS,Only_Mask_Tags_1,Only_Mask_Tags_2,Only_Mask_Tags_3,Only_Mask_Tags_4,Only_Mask_Tags_5,Only_Mask_Tags_6,Only_Mask_Tags_7,Only_Mask_Tags_8,Only_Mask_Tags_9,lemma
71,4,7,rush,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,rush
72,4,8,toward,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,toward
73,4,9,ubiquity,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,ubiquity
74,4,10,might,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,might
75,4,11,backfire,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,backfire
76,4,12,--,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,--
77,4,13,which,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,which
78,4,14,we,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,we
79,4,15,'ve,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,have
80,4,16,all,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,all
81,4,17,heard,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,hear
82,4,18,before,ADV,ADV,ADV,ADV,ADP,ADV,ADV,ADV,ADV,ADV,ADV,before
83,4,19,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,","
84,4,20,but,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,but
85,4,21,it,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,it
86,4,22,'s,AUX,AUX,AUX,AUX,VERB,AUX,VERB,VERB,VERB,VERB,VERB,be
87,4,23,particularly,ADV,ADV,PUNCT,PUNCT,ADV,PUNCT,PUNCT,ADV,ADV,ADV,ADV,particularly
88,4,24,well,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADV,ADJ,ADJ,ADJ,ADJ,well
89,4,25,-,PUNCT,PUNCT,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,-
90,4,26,put,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,put
91,4,27,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in
92,4,28,this,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,this
93,4,29,post,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,post
94,4,30,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
95,5,0,Google,PROPN,PROPN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,Google
96,5,1,is,AUX,AUX,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,be
97,5,2,a,DET,DET,DET,DET,DET,DET,ADV,ADV,ADV,ADV,ADV,a
98,5,3,nice,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,nice
99,5,4,search,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,search
100,5,5,engine,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,engine
101,5,6,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
102,6,0,Does,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,do
103,6,1,anybody,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anybody
104,6,2,use,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,use
105,6,3,it,PRON,PRON,PRON,PRON,PRON,PRON,PROPN,PROPN,PROPN,PROPN,PROPN,it
106,6,4,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for
107,6,5,anything,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,anything
108,6,6,else,ADJ,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,else
109,6,7,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?
110,7,0,They,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,they
111,7,1,own,VERB,VERB,AUX,AUX,AUX,AUX,VERB,VERB,VERB,VERB,VERB,own
112,7,2,blogger,PROPN,NOUN,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,blogger
113,7,3,",",PUNCT,PUNCT,PROPN,PROPN,PROPN,NOUN,NOUN,PUNCT,PUNCT,PUNCT,PUNCT,","
114,7,4,of,ADP,ADP,ADP,ADP,ADP,ADP,ADV,ADP,ADP,ADP,ADP,of
115,7,5,course,NOUN,NOUN,NOUN,NOUN,NOUN,PRON,NOUN,NOUN,NOUN,PRON,NOUN,course
116,7,6,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
117,8,0,Is,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,be
118,8,1,that,PRON,PRON,PRON,PRON,PROPN,PROPN,PRON,PROPN,PROPN,PROPN,PROPN,that
119,8,2,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
120,8,3,money,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,money
121,8,4,maker,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,maker
122,8,5,?,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,?
123,9,0,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,I
124,9,1,'m,AUX,AUX,AUX,AUX,VERB,AUX,VERB,VERB,VERB,VERB,VERB,be
125,9,2,staying,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,stay
126,9,3,away,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,away
127,9,4,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,from
128,9,5,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,the
129,9,6,stock,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,stock
130,9,7,.,PUNCT,PUNCT,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,.
131,10,0,I,PRON,PRON,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,I
132,10,1,doubt,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,doubt
133,10,2,the,DET,DET,DET,DET,DET,DET,DET,DET,DET,SCONJ,SCONJ,the
134,10,3,very,ADV,ADV,ADV,ADV,ADV,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,very
135,10,4,few,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,few
136,10,5,who,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,who
137,10,6,actually,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,actually
138,10,7,read,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,read
139,10,8,my,PRON,PRON,PRON,PRON,DET,DET,DET,PRON,PRON,PRON,PRON,my
140,10,9,blog,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,blog
141,10,10,have,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,have
142,10,11,not,PART,PART,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,not
143,10,12,come,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,come
144,10,13,across,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,across
145,10,14,this,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,this
146,10,15,yet,ADV,ADV,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,yet
147,10,16,",",PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,","
148,10,17,but,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,but
149,10,18,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,ADV,I
150,10,19,figured,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,figure
151,10,20,I,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,I
152,10,21,would,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,would
153,10,22,put,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,put
154,10,23,it,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,it
155,10,24,out,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,out
156,10,25,there,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,there
157,10,26,anyways,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,anyways
158,10,27,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
159,11,0,John,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,John
160,11,1,Donovan,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Donovan
161,11,2,from,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,from
162,11,3,Argghhh!,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Argghhh!
163,11,4,has,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,AUX,have
164,11,5,put,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,put
165,11,6,out,ADP,ADP,ADV,ADV,ADP,ADP,ADP,ADP,ADP,ADP,ADP,out
166,11,7,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
167,11,8,excellent,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,excellent
168,11,9,slide,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,slide
169,11,10,show,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,show
170,11,11,on,SCONJ,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on
171,11,12,what,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,what
172,11,13,was,AUX,AUX,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,be
173,11,14,actually,ADV,ADV,AUX,AUX,AUX,ADV,ADV,ADV,ADV,ADV,ADV,actually
174,11,15,found,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,find
175,11,16,and,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,CCONJ,and
176,11,17,fought,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,fight
177,11,18,for,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,for
178,11,19,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in
179,11,20,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah
180,11,21,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
181,12,0,Click,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,NOUN,NOUN,VERB,click
182,12,1,here,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,ADV,NOUN,ADV,here
183,12,2,To,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,PART,to
184,12,3,view,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,view
185,12,4,it,PRON,PRON,ADV,ADV,ADV,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,it
186,12,5,.,PUNCT,PUNCT,NOUN,NOUN,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,ADV,.
187,13,0,He,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PROPN,he
188,13,1,makes,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,make
189,13,2,some,DET,DET,DET,DET,ADV,ADV,ADV,ADV,ADV,ADV,ADV,some
190,13,3,good,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,good
191,13,4,observations,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,observation
192,13,5,on,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on
193,13,6,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
194,13,7,few,ADJ,ADJ,ADJ,ADJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,few
195,13,8,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of
196,13,9,the,DET,DET,PRON,PRON,PRON,PRON,DET,PRON,PRON,PRON,PRON,the
197,13,10,pic's,NOUN,PROPN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,pic
198,13,11,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
199,14,0,One,NUM,NUM,NUM,NUM,NUM,NUM,PRON,PRON,NUM,PRON,NUM,one
200,14,1,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of
201,14,2,the,DET,DET,DET,DET,DET,DET,DET,DET,PRON,PRON,PRON,the
202,14,3,pictures,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,picture
203,14,4,shows,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,show
204,14,5,a,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,DET,a
205,14,6,flag,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,flag
206,14,7,that,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,that
207,14,8,was,AUX,AUX,AUX,AUX,PRON,AUX,PRON,AUX,PRON,PRON,PRON,be
208,14,9,found,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,find
209,14,10,in,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,in
210,14,11,Fallujah,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,Fallujah
211,14,12,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
212,15,0,On,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,on
213,15,1,the,DET,DET,DET,DET,DET,DET,DET,DET,PRON,PRON,PRON,the
214,15,2,next,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,ADJ,next
215,15,3,two,NUM,NUM,ADJ,ADJ,NUM,NUM,NUM,NUM,NUM,NUM,NUM,two
216,15,4,pictures,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,picture
217,15,5,he,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,PRON,he
218,15,6,took,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,VERB,take
219,15,7,screenshots,NOUN,NOUN,NUM,NUM,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,screenshot
220,15,8,of,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,ADP,of
221,15,9,two,NUM,NUM,DET,DET,DET,DET,DET,DET,DET,DET,DET,two
222,15,10,beheading,NOUN,VERB,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,PROPN,ADJ,beheading
223,15,11,video's,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,video
224,15,12,.,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,PUNCT,.
